E	j	j
V RHE		mA cm-2
ML_030
0.96238	-0.0045	-0.32119
0.96029	-0.00467	-0.33323
0.95839	-0.00453	-0.32342
0.95629	-0.00467	-0.33335
0.95437	-0.00453	-0.32389
0.95229	-0.0047	-0.33543
0.95039	-0.00453	-0.32368
0.9483	-0.00465	-0.33223
0.94639	-0.0045	-0.32107
0.9443	-0.00464	-0.33173
0.9424	-0.00458	-0.32693
0.94031	-0.00468	-0.33457
0.93841	-0.00462	-0.3297
0.93632	-0.00475	-0.33909
0.93442	-0.00464	-0.33118
0.93232	-0.00476	-0.33966
0.93039	-0.00467	-0.3339
0.92829	-0.00478	-0.34174
0.92638	-0.0047	-0.33538
0.92431	-0.00477	-0.34097
0.9224	-0.00462	-0.32994
0.9203	-0.00467	-0.33378
0.9184	-0.00462	-0.32999
0.9163	-0.00473	-0.33808
0.91441	-0.00465	-0.33187
0.91232	-0.00479	-0.34248
0.91042	-0.00467	-0.33393
0.90833	-0.00476	-0.33973
0.90642	-0.00467	-0.33343
0.9043	-0.0048	-0.3425
0.90239	-0.00467	-0.33393
0.9003	-0.00474	-0.33885
0.8984	-0.00464	-0.33161
0.8963	-0.00473	-0.33811
0.8944	-0.00462	-0.33018
0.89231	-0.00471	-0.33677
0.89041	-0.00468	-0.33433
0.88832	-0.00483	-0.34532
0.88642	-0.00473	-0.33753
0.88434	-0.0048	-0.3431
0.88242	-0.00474	-0.33835
0.88031	-0.00484	-0.34561
0.87838	-0.00472	-0.33746
0.8763	-0.0048	-0.34286
0.8744	-0.00473	-0.33785
0.87231	-0.00484	-0.34571
0.8704	-0.00469	-0.33531
0.86831	-0.00478	-0.34162
0.86641	-0.00476	-0.34004
0.86432	-0.00483	-0.34504
0.86242	-0.00478	-0.34157
0.86033	-0.00488	-0.34848
0.85843	-0.00477	-0.34081
0.85634	-0.00484	-0.34563
0.85443	-0.00482	-0.3441
0.85233	-0.00487	-0.348
0.85043	-0.00479	-0.34191
0.84834	-0.00489	-0.3495
0.84644	-0.0048	-0.34303
0.84436	-0.00483	-0.34499
0.84245	-0.00475	-0.33947
0.84036	-0.00486	-0.34743
0.83845	-0.00481	-0.34358
0.83636	-0.00488	-0.34852
0.83446	-0.00481	-0.34375
0.83238	-0.00488	-0.34883
0.83048	-0.00484	-0.34571
0.82836	-0.00489	-0.349
0.82644	-0.00483	-0.34513
0.82435	-0.00492	-0.35149
0.82244	-0.00486	-0.34733
0.82036	-0.00489	-0.34962
0.81845	-0.00476	-0.34021
0.81635	-0.00487	-0.34809
0.81445	-0.00481	-0.34351
0.81236	-0.00486	-0.34728
0.81047	-0.00483	-0.34494
0.80837	-0.00488	-0.34831
0.80647	-0.00483	-0.34501
0.80437	-0.00488	-0.34838
0.80244	-0.00481	-0.3436
0.80033	-0.00489	-0.34953
0.79843	-0.00483	-0.34468
0.79634	-0.00486	-0.34723
0.79444	-0.00481	-0.34367
0.79234	-0.0048	-0.34274
0.79045	-0.00479	-0.342
0.78835	-0.00491	-0.35072
0.78646	-0.00486	-0.34716
0.78437	-0.00494	-0.35292
0.78248	-0.00486	-0.34723
0.78038	-0.00488	-0.3486
0.77848	-0.00484	-0.34566
0.77635	-0.00493	-0.35244
0.77443	-0.00484	-0.34604
0.77235	-0.00489	-0.34903
0.77045	-0.00487	-0.34778
0.76836	-0.00494	-0.35259
0.76644	-0.00484	-0.34582
0.76435	-0.00489	-0.34922
0.76245	-0.00489	-0.3496
0.76037	-0.00497	-0.35519
0.75847	-0.00491	-0.35087
0.75638	-0.00498	-0.35567
0.75448	-0.00491	-0.35082
0.75239	-0.00502	-0.35837
0.75046	-0.00489	-0.34934
0.74839	-0.005	-0.35686
0.74648	-0.00496	-0.35397
0.74439	-0.00504	-0.36016
0.74249	-0.00492	-0.3517
0.74039	-0.00499	-0.35615
0.7385	-0.00497	-0.35502
0.73641	-0.00505	-0.36042
0.7345	-0.00498	-0.35576
0.73241	-0.00508	-0.36288
0.73051	-0.00506	-0.36135
0.72843	-0.00514	-0.36699
0.72649	-0.00508	-0.36262
0.72438	-0.00514	-0.36713
0.72249	-0.00511	-0.36498
0.72038	-0.00518	-0.37
0.71849	-0.00513	-0.36656
0.71642	-0.00521	-0.3721
0.71449	-0.00513	-0.36654
0.7124	-0.00521	-0.37189
0.71049	-0.00517	-0.36924
0.70841	-0.00526	-0.37554
0.7065	-0.00524	-0.37413
0.70443	-0.00531	-0.37939
0.70252	-0.00526	-0.37566
0.70042	-0.00536	-0.38252
0.6985	-0.00532	-0.37994
0.69643	-0.00538	-0.38441
0.69452	-0.0053	-0.37886
0.69243	-0.00537	-0.38367
0.69052	-0.00529	-0.37755
0.69229	-0.00287	-0.20487
0.69423	-0.00325	-0.23211
0.69634	-0.00277	-0.19799
0.69832	-0.0026	-0.18583
0.70029	-0.00246	-0.17575
0.70237	-0.00225	-0.16101
0.70429	-0.00221	-0.1581
0.70638	-0.00203	-0.14465
0.70828	-0.00196	-0.13987
0.71037	-0.0018	-0.12828
0.71227	-0.00177	-0.12618
0.71437	-0.00161	-0.11529
0.71629	-0.00162	-0.11548
0.71837	-0.00152	-0.10857
0.72029	-0.00153	-0.10943
0.72236	-0.0014	-0.09976
0.72427	-0.00137	-0.09804
0.72638	-0.00124	-0.08891
0.72831	-0.00127	-0.09075
0.7304	-0.00112	-0.07998
0.73231	-0.00114	-0.08139
0.73438	-0.00102	-0.07317
0.73629	-0.00104	-0.07441
0.73837	-8.97249E-4	-0.06409
0.74028	-8.86212E-4	-0.0633
0.74238	-8.52432E-4	-0.06089
0.74429	-8.80192E-4	-0.06287
0.74637	-7.74837E-4	-0.05535
0.74827	-7.81526E-4	-0.05582
0.75035	-6.99249E-4	-0.04995
0.75228	-7.21658E-4	-0.05155
0.75436	-6.24998E-4	-0.04464
0.75627	-6.57441E-4	-0.04696
0.75835	-5.57437E-4	-0.03982
0.76027	-5.96569E-4	-0.04261
0.76234	-4.61113E-4	-0.03294
0.76425	-4.67133E-4	-0.03337
0.76634	-4.13619E-4	-0.02954
0.76825	-4.54089E-4	-0.03243
0.77033	-3.75825E-4	-0.02684
0.77224	-4.32349E-4	-0.03088
0.77432	-3.75156E-4	-0.0268
0.77624	-4.00241E-4	-0.02859
0.77836	-2.91876E-4	-0.02085
0.78027	-3.43048E-4	-0.0245
0.78237	-2.68463E-4	-0.01918
0.78426	-3.09602E-4	-0.02211
0.78635	-2.03913E-4	-0.01457
0.78824	-2.18294E-4	-0.01559
0.79033	-9.88919E-5	-0.00706
0.79224	-1.33007E-4	-0.0095
0.79433	-7.31384E-5	-0.00522
0.79624	-1.60767E-4	-0.01148
0.79832	-7.14661E-5	-0.0051
0.80023	-1.50064E-4	-0.01072
0.80234	-2.1966E-5	-0.00157
0.80427	-7.54797E-5	-0.00539
0.80636	1.38213E-5	9.87238E-4
0.80827	-7.58141E-5	-0.00542
0.81035	6.23181E-5	0.00445
0.81225	2.61964E-5	0.00187
0.81435	1.26869E-4	0.00906
0.81625	7.97101E-5	0.00569
0.81835	1.88075E-4	0.01343
0.82024	5.83046E-5	0.00416
0.82234	1.73359E-4	0.01238
0.82423	1.05798E-4	0.00756
0.82632	2.45937E-4	0.01757
0.82826	1.76704E-4	0.01262
0.83037	2.83397E-4	0.02024
0.83227	1.92089E-4	0.01372
0.83434	3.42262E-4	0.02445
0.83627	2.72359E-4	0.01945
0.83834	3.87414E-4	0.02767
0.84025	3.03464E-4	0.02168
0.84233	4.67015E-4	0.03336
0.84425	3.69353E-4	0.02638
0.84633	4.73036E-4	0.03379
0.84824	3.87414E-4	0.02767
0.85032	5.36583E-4	0.03833
0.85224	4.18184E-4	0.02987
0.85432	5.87421E-4	0.04196
0.85624	4.921E-4	0.03515
0.85831	6.42942E-4	0.04592
0.86023	5.24877E-4	0.03749
0.8623	6.90101E-4	0.04929
0.86423	5.59661E-4	0.03998
0.86629	7.77395E-4	0.05553
0.86821	7.12175E-4	0.05087
0.87029	8.28233E-4	0.05916
0.87221	6.68026E-4	0.04772
0.87428	8.26226E-4	0.05902
0.8762	6.94114E-4	0.04958
0.87828	8.53986E-4	0.061
0.88024	7.14516E-4	0.05104
0.88231	9.00811E-4	0.06434
0.88424	7.64351E-4	0.0546
0.88631	9.14858E-4	0.06535
0.88822	8.23216E-4	0.0588
0.89028	0.001	0.07146
0.89221	8.68368E-4	0.06203
0.89429	0.00106	0.07579
0.8962	8.97132E-4	0.06408
0.89828	0.00108	0.07722
0.9002	9.66365E-4	0.06903
0.90226	0.00112	0.0798
0.90421	0.00101	0.07216
0.9063	0.00117	0.08389
0.90823	0.00105	0.07521
0.91029	0.00115	0.08205
0.91222	0.00103	0.07323
0.91428	0.00121	0.08668
0.91621	0.00112	0.07966
0.91827	0.00128	0.09172
0.92022	0.00114	0.08135
0.92227	0.0013	0.09277
0.92421	0.00119	0.08498
0.92626	0.00131	0.09368
0.9282	0.00116	0.0831
0.93028	0.00134	0.09595
0.93224	0.0012	0.08565
0.9343	0.00138	0.09822
0.93623	0.00124	0.08869
0.93829	0.00142	0.10161
0.94022	0.00128	0.09117
0.94227	0.00148	0.10539
0.94422	0.00137	0.0976
0.94627	0.00156	0.11122
0.94822	0.00132	0.09456
0.95025	0.00149	0.10661
0.9522	0.00131	0.09361
0.95425	0.00155	0.11102
0.9562	0.00142	0.10149
0.95826	0.00156	0.11172
0.9602	0.00142	0.10176
0.96225	0.00162	0.11552
0.96419	0.00141	0.10042
0.96623	0.00166	0.11841
0.9682	0.00145	0.10364
0.97022	0.00172	0.12283
0.97219	0.00151	0.10801
0.97422	0.00168	0.12017
0.97618	0.00147	0.10515
0.97821	0.00171	0.1223
0.98017	0.00152	0.10854
0.98224	0.00172	0.12316
0.98422	0.00156	0.1115
0.98624	0.00178	0.12713
0.9882	0.00159	0.11356
0.99023	0.0018	0.12882
0.9922	0.00159	0.11365
0.99421	0.00185	0.13183
0.99618	0.00169	0.12072
0.99821	0.0019	0.13544
1.00019	0.00169	0.1207
1.0022	0.00189	0.13494
1.00418	0.00167	0.11946
1.00621	0.00187	0.13386
1.00822	0.0017	0.12135
1.01024	0.00194	0.13862
1.01221	0.00174	0.12445
1.01422	0.00193	0.13752
1.01621	0.00172	0.12256
1.01821	0.00199	0.14187
1.0202	0.00179	0.12777
1.02221	0.00201	0.14371
1.02419	0.00179	0.12811
1.02621	0.002	0.14285
1.02818	0.00181	0.12935
1.0302	0.00205	0.14645
1.03221	0.00179	0.12808
1.03424	0.00203	0.14473
1.03623	0.00185	0.13224
1.03822	0.00208	0.14848
1.04022	0.0019	0.13599
1.04222	0.00216	0.15429
1.0442	0.00194	0.13893
1.04619	0.0022	0.15689
1.0482	0.00199	0.14234
1.05019	0.00218	0.15541
1.0522	0.00197	0.14074
1.05418	0.00218	0.15563
1.0562	0.00198	0.14108
1.05818	0.00222	0.15837
1.0602	0.00201	0.14363
1.06218	0.00223	0.15916
1.0642	0.00204	0.14547
1.06617	0.00229	0.16337
1.06817	0.00207	0.14817
1.07015	0.0023	0.16423
1.07217	0.00216	0.15415
1.07415	0.00237	0.16893
1.07617	0.00211	0.15044
1.07815	0.00233	0.16652
1.08016	0.00208	0.14879
1.08213	0.00232	0.16547
1.08419	0.0021	0.14977
1.08617	0.00232	0.16602
1.0882	0.00218	0.15536
1.09017	0.00238	0.17013
1.09219	0.00217	0.15517
1.09416	0.00243	0.1735
1.09617	0.00221	0.15787
1.09814	0.00249	0.17789
1.10017	0.00225	0.16093
1.10214	0.00246	0.17586
1.10416	0.00226	0.16139
1.10612	0.00249	0.17775
1.10814	0.00226	0.16172
1.11017	0.0025	0.17859
1.11221	0.00225	0.16074
1.11418	0.00249	0.1778
1.11619	0.00226	0.16127
1.11816	0.00249	0.17796
1.12019	0.00229	0.16382
1.12215	0.00256	0.1825
1.12419	0.00229	0.16392
1.12616	0.00249	0.17777
1.12819	0.00226	0.1615
1.13015	0.0025	0.17878
1.13218	0.00226	0.1617
1.13415	0.0025	0.17859
1.13622	0.00228	0.16296
1.13818	0.00252	0.18014
1.14021	0.00232	0.16564
1.14218	0.00257	0.18351
1.1442	0.00236	0.1687
1.14616	0.00256	0.18267
1.14818	0.00239	0.17056
1.15016	0.00261	0.18618
1.15218	0.00238	0.16994
1.15415	0.00257	0.18375
1.15618	0.00238	0.1701
1.15815	0.00261	0.1863
1.16017	0.00237	0.16963
1.16216	0.00258	0.18413
1.16417	0.00238	0.17034
1.16615	0.00259	0.18532
1.16817	0.00236	0.16889
1.17013	0.00261	0.18671
1.17215	0.0024	0.17142
1.17412	0.00262	0.187
1.17615	0.00242	0.17264
1.17812	0.00262	0.18743
1.18013	0.0024	0.17139
1.1821	0.00264	0.18883
1.18413	0.00241	0.17209
1.18613	0.00265	0.18893
1.18817	0.0024	0.17149
1.19014	0.00264	0.18876
1.19216	0.00243	0.17331
1.19413	0.00269	0.19196
1.19615	0.00248	0.17694
1.19812	0.00265	0.1896
1.20014	0.00249	0.17785
1.20211	0.00275	0.19626
1.20414	0.0025	0.17839
1.2061	0.00269	0.19211
1.20813	0.00246	0.17581
1.21009	0.00273	0.19512
1.21216	0.00253	0.18086
1.21414	0.00277	0.1977
1.21617	0.00253	0.18102
1.21812	0.00276	0.19691
1.22016	0.00255	0.18181
1.22211	0.00277	0.19815
1.22415	0.00257	0.18334
1.22611	0.0028	0.19978
1.22815	0.00256	0.18281
1.23009	0.00276	0.19712
1.23217	0.00265	0.18936
1.23409	0.00278	0.19844
1.23614	0.00263	0.18809
1.23812	0.00281	0.20059
1.24018	0.00264	0.18833
1.24213	0.00283	0.20238
1.24418	0.00264	0.18831
1.24611	0.00287	0.20475
1.24817	0.0027	0.19273
1.25009	0.00294	0.20971
1.25216	0.00279	0.19908
1.25409	0.00297	0.21182
1.25616	0.00277	0.19789
1.25808	0.00298	0.21277
1.26015	0.00278	0.19863
1.26207	0.00302	0.21557
1.26417	0.00285	0.20338
1.26607	0.00298	0.21272
1.26815	0.00287	0.20534
1.27006	0.00306	0.21855
1.27214	0.00292	0.20883
1.27405	0.00313	0.22371
1.27613	0.00295	0.21046
1.27804	0.00317	0.22663
1.28014	0.00302	0.21583
1.28203	0.00316	0.22591
1.28413	0.00303	0.21652
1.28603	0.00317	0.22613
1.28814	0.00306	0.21858
1.29007	0.00326	0.2326
1.29217	0.00311	0.2219
1.29404	0.0033	0.23587
1.29616	0.0032	0.22823
1.29804	0.0033	0.23602
1.30014	0.00321	0.22926
1.30204	0.0034	0.24264
1.30413	0.00328	0.23425
1.30602	0.00342	0.24419
1.30812	0.00329	0.23466
1.31002	0.00343	0.24526
1.31213	0.00334	0.23848
1.31404	0.00347	0.2478
1.31616	0.00333	0.23802
1.31805	0.00346	0.24715
1.32015	0.00336	0.24008
1.32203	0.00354	0.25303
1.32415	0.00347	0.24815
1.32604	0.00358	0.25546
1.32813	0.00354	0.25305
1.33004	0.00362	0.25864
1.33215	0.00352	0.25124
1.33402	0.0036	0.25702
1.33612	0.00355	0.25389
1.33802	0.00367	0.26225
1.34015	0.00355	0.25374
1.34206	0.00369	0.26354
1.34415	0.00358	0.25594
1.34604	0.00367	0.26201
1.34814	0.0036	0.25706
1.35003	0.00371	0.2649
1.35213	0.00367	0.26196
1.35403	0.00378	0.27028
1.35613	0.00369	0.26361
1.35803	0.00381	0.27238
1.36013	0.00371	0.26521
1.36201	0.00382	0.2729
1.36412	0.00374	0.26703
1.36602	0.00383	0.27369
1.36813	0.00377	0.26899
1.37001	0.00388	0.2773
1.37212	0.00381	0.27188
1.37401	0.00385	0.2751
1.3761	0.00385	0.27465
1.37801	0.00395	0.28189
1.38009	0.0039	0.27852
1.38199	0.00401	0.28611
1.3841	0.00387	0.27639
1.38598	0.004	0.28542
1.38808	0.00393	0.281
1.38997	0.00404	0.28874
1.39212	0.00399	0.28499
1.39401	0.00409	0.29209
1.39612	0.00399	0.2853
1.398	0.00406	0.28989
1.40009	0.00404	0.28843
1.40199	0.00416	0.29746
1.40408	0.00413	0.29512
1.40598	0.00422	0.30138
1.40809	0.00413	0.29479
1.40997	0.00421	0.30081
1.41207	0.00413	0.29515
1.41398	0.00417	0.29777
1.41607	0.00414	0.29598
1.41803	0.00423	0.30248
1.42012	0.00413	0.29467
1.422	0.00422	0.30124
1.42411	0.00419	0.29923
1.426	0.00424	0.30305
1.42809	0.00421	0.30052
1.42999	0.00432	0.30857
1.4321	0.00431	0.30766
1.43399	0.00431	0.30797
1.43609	0.00422	0.30145
1.43798	0.00433	0.30917
1.44008	0.00432	0.30857
1.442	0.00436	0.31149
1.44412	0.00434	0.30993
1.44601	0.00439	0.31333
1.44811	0.00437	0.31244
1.45	0.00445	0.31796
1.45209	0.0044	0.31414
1.45399	0.00446	0.31868
1.45609	0.00448	0.32028
1.45798	0.00453	0.32365
1.46008	0.00445	0.31789
1.46198	0.00451	0.32197
1.46408	0.00448	0.31992
1.46597	0.00455	0.32515
1.46807	0.00456	0.32556
1.46997	0.00457	0.32613
1.47208	0.00462	0.33017
1.47396	0.00469	0.33473
1.47605	0.00463	0.33074
1.47795	0.0047	0.33585
1.48006	0.0047	0.3355
1.48194	0.00477	0.34087
1.48405	0.00471	0.33621
1.48594	0.00478	0.34132
1.48804	0.00473	0.33791
1.48993	0.00477	0.34101
1.49202	0.00476	0.33968
1.49396	0.00482	0.34426
1.49607	0.00482	0.34393
1.49795	0.00492	0.35136
1.50005	0.00488	0.34842
1.50194	0.00498	0.35563
1.50404	0.00503	0.35946
1.50594	0.00509	0.36373
1.50802	0.00513	0.36646
1.50992	0.00516	0.36873
1.51204	0.00517	0.36947
1.51393	0.0052	0.37124
1.51601	0.00522	0.37291
1.51791	0.00528	0.37726
1.52002	0.0053	0.37833
1.52192	0.00534	0.38163
1.52401	0.00537	0.38337
1.52591	0.00548	0.39152
1.52799	0.0055	0.39276
1.52988	0.00562	0.40112
1.53198	0.00568	0.40595
1.5339	0.00578	0.41304
1.53598	0.00586	0.41887
1.53789	0.0059	0.42171
1.53997	0.00594	0.42427
1.54187	0.00607	0.4334
1.54399	0.00614	0.43863
1.54592	0.00624	0.44568
1.548	0.0063	0.44976
1.5499	0.00648	0.46307
1.55199	0.00658	0.47033
1.55388	0.00668	0.47712
1.55597	0.0068	0.48536
1.55787	0.00705	0.50339
1.55997	0.00714	0.5102
1.56187	0.00729	0.52052
1.56394	0.00748	0.5344
1.56585	0.00766	0.5469
1.56793	0.00789	0.56343
1.56984	0.00813	0.58094
1.57193	0.00834	0.59554
1.57383	0.00862	0.61573
1.5759	0.00888	0.63424
1.5778	0.00918	0.6556
1.57987	0.00953	0.68075
1.5818	0.00992	0.7084
1.58387	0.01034	0.7385
1.58577	0.01074	0.76726
1.58784	0.01112	0.79414
1.58975	0.01163	0.83055
1.59181	0.01221	0.87209
1.59374	0.01273	0.90898
1.59583	0.01331	0.95078
1.59774	0.01401	1.00074
1.5998	0.01467	1.04797
1.60171	0.0155	1.10712
1.60376	0.01622	1.15829
1.60567	0.01709	1.22086
1.60774	0.01799	1.28467
1.60964	0.019	1.35718
1.6117	0.0199	1.4217
1.61363	0.02098	1.4983
1.61568	0.02208	1.57704
1.6176	0.02312	1.65165
1.61972	0.02415	1.72494
1.62166	0.02521	1.80103
1.62372	0.02623	1.8737
1.62567	0.0272	1.94291
1.62774	0.02809	2.00646
1.62969	0.02889	2.06389
1.63176	0.02971	2.1218
1.63371	0.03042	2.17252
1.63578	0.03104	2.21696
1.63771	0.0317	2.26435
1.63976	0.03238	2.31319
1.64165	0.03317	2.36964
1.64373	0.03407	2.43359
1.64565	0.03509	2.50646
1.64768	0.03623	2.58811
1.64958	0.03747	2.67619
1.65162	0.03881	2.77183
1.65351	0.0403	2.87838
1.65554	0.0419	2.99269
1.65745	0.0436	3.114
1.65949	0.04534	3.23842
1.66139	0.04725	3.37512
1.66344	0.04924	3.51715
1.66534	0.05128	3.66283
1.66739	0.05342	3.81551
1.6693	0.05565	3.97467
1.67134	0.05798	4.14144
1.67324	0.06045	4.31782
1.6753	0.06292	4.49423
1.6772	0.06545	4.67517
1.67924	0.06805	4.86089
1.68116	0.07068	5.04824
1.68321	0.07348	5.24851
1.68512	0.07636	5.45394
1.68716	0.07928	5.66312
1.68911	0.08228	5.87684
1.68994	0.07864	5.61692
1.688	0.06923	4.94503
1.68542	0.06165	4.40376
1.68296	0.05642	4.03004
1.68093	0.05219	3.72812
1.67885	0.04815	3.43929
1.67688	0.04435	3.16792
1.67474	0.04075	2.91096
1.67276	0.03754	2.68152
1.67063	0.03457	2.46935
1.66866	0.0318	2.27164
1.66656	0.02913	2.08038
1.6646	0.02669	1.90658
1.6625	0.02443	1.74484
1.66054	0.02232	1.59441
1.65845	0.02022	1.44435
1.6565	0.01831	1.30801
1.65441	0.01656	1.18256
1.65246	0.01489	1.06357
1.65037	0.01327	0.94758
1.64842	0.0118	0.84306
1.64633	0.01036	0.73986
1.64436	0.00907	0.64769
1.64229	0.00773	0.55225
1.64034	0.00651	0.46508
1.63826	0.00534	0.38129
1.63633	0.0042	0.29973
1.63425	0.00304	0.21686
1.63232	0.00198	0.14172
1.63025	8.29905E-4	0.05928
1.62831	-1.26318E-4	-0.00902
1.62624	-0.00104	-0.07462
1.62432	-0.00205	-0.14656
1.62222	-0.00295	-0.21065
1.62024	-0.00381	-0.27234
1.61816	-0.00459	-0.32764
1.61621	-0.00528	-0.37724
1.61413	-0.00587	-0.41938
1.61218	-0.00638	-0.45596
1.61009	-0.00684	-0.48859
1.60813	-0.00714	-0.50966
1.60605	-0.00734	-0.52414
1.60411	-0.00746	-0.5326
1.60202	-0.00752	-0.5373
1.60007	-0.00745	-0.53224
1.59799	-0.00733	-0.52381
1.59602	-0.00721	-0.5152
1.59393	-0.00704	-0.50312
1.592	-0.00673	-0.48049
1.58992	-0.00642	-0.4589
1.58801	-0.00619	-0.44203
1.58592	-0.00586	-0.41876
1.58402	-0.00554	-0.39559
1.58195	-0.00532	-0.3803
1.58003	-0.00511	-0.36479
1.57796	-0.00487	-0.34776
1.57605	-0.00466	-0.33266
1.57398	-0.00448	-0.32014
1.57207	-0.00431	-0.30767
1.56998	-0.00416	-0.29699
1.56807	-0.00398	-0.28447
1.566	-0.00387	-0.27666
1.56409	-0.00372	-0.26565
1.56201	-0.00364	-0.2597
1.5601	-0.00356	-0.25449
1.55801	-0.00351	-0.25103
1.55611	-0.00343	-0.24503
1.55403	-0.00338	-0.24147
1.55212	-0.00335	-0.23927
1.55002	-0.00329	-0.23476
1.54815	-0.00323	-0.23103
1.54605	-0.00326	-0.23318
1.5441	-0.00329	-0.23466
1.542	-0.00326	-0.23299
1.54011	-0.00316	-0.22599
1.53802	-0.00319	-0.2279
1.53611	-0.00315	-0.22487
1.53402	-0.00311	-0.22236
1.53213	-0.00306	-0.21868
1.53003	-0.0031	-0.22145
1.52814	-0.0031	-0.22117
1.52603	-0.0031	-0.22109
1.52414	-0.00305	-0.21808
1.52205	-0.00313	-0.22336
1.52014	-0.00312	-0.22262
1.51804	-0.00315	-0.22494
1.51614	-0.00313	-0.22389
1.51404	-0.00312	-0.22293
1.51215	-0.00309	-0.22076
1.51005	-0.0031	-0.22167
1.50816	-0.00308	-0.22021
1.50606	-0.00315	-0.22518
1.50417	-0.00317	-0.22611
1.50207	-0.00317	-0.22657
1.50018	-0.00312	-0.22308
1.49808	-0.00314	-0.22425
1.49618	-0.0031	-0.2216
1.49405	-0.0031	-0.22164
1.49214	-0.00306	-0.2183
1.49005	-0.00311	-0.22243
1.48815	-0.00305	-0.21799
1.48605	-0.00305	-0.21768
1.48416	-0.003	-0.21438
1.48206	-0.00303	-0.21641
1.48017	-0.00303	-0.21656
1.47806	-0.00304	-0.21742
1.47617	-0.00302	-0.21562
1.47407	-0.00305	-0.21811
1.47219	-0.00303	-0.21617
1.47009	-0.00301	-0.21534
1.46818	-0.00298	-0.21266
1.46607	-0.00299	-0.21383
1.4642	-0.00298	-0.2129
1.46209	-0.00299	-0.21355
1.4602	-0.00293	-0.20898
1.45809	-0.00292	-0.20839
1.45621	-0.0029	-0.20707
1.4541	-0.00296	-0.21168
1.45221	-0.00295	-0.21085
1.45011	-0.00298	-0.21288
1.44822	-0.00296	-0.21125
1.44614	-0.00297	-0.2124
1.44424	-0.00297	-0.21218
1.44208	-0.003	-0.21455
1.4402	-0.00299	-0.21355
1.43809	-0.00303	-0.21636
1.4362	-0.00297	-0.21221
1.4341	-0.00298	-0.21292
1.43221	-0.00296	-0.21171
1.43009	-0.00299	-0.21335
1.42821	-0.00295	-0.21082
1.4261	-0.00301	-0.21474
1.42422	-0.00298	-0.21257
1.42211	-0.00302	-0.21548
1.42023	-0.00299	-0.21355
1.41812	-0.00304	-0.21679
1.41618	-0.00302	-0.21591
1.41406	-0.00302	-0.21603
1.41219	-0.00297	-0.21245
1.41008	-0.00303	-0.21672
1.4082	-0.00298	-0.21304
1.40609	-0.00303	-0.21651
1.4042	-0.00302	-0.21536
1.4021	-0.00309	-0.22076
1.40021	-0.00308	-0.21966
1.39811	-0.00312	-0.22296
1.39623	-0.00308	-0.22035
1.39411	-0.00313	-0.22336
1.39223	-0.0031	-0.2215
1.39007	-0.00313	-0.22375
1.38818	-0.0031	-0.2216
1.38607	-0.00312	-0.22262
1.38421	-0.00311	-0.22195
1.38209	-0.00312	-0.22296
1.38021	-0.00306	-0.21856
1.37809	-0.00314	-0.22463
1.37621	-0.0031	-0.22172
1.3741	-0.00313	-0.22358
1.37222	-0.00311	-0.22222
1.37012	-0.00311	-0.22179
1.36825	-0.00314	-0.22439
1.36611	-0.00318	-0.2274
1.36423	-0.00315	-0.22511
1.36212	-0.00318	-0.227
1.36025	-0.0032	-0.2286
1.35812	-0.00317	-0.2264
1.35624	-0.00311	-0.22227
1.35413	-0.0031	-0.22152
1.35225	-0.00318	-0.2268
1.35013	-0.00315	-0.2253
1.34827	-0.00316	-0.22563
1.34615	-0.0032	-0.22862
1.34425	-0.00309	-0.22078
1.34217	-0.00313	-0.22391
1.34025	-0.00314	-0.22458
1.33811	-0.00315	-0.22513
1.33625	-0.00313	-0.22375
1.33412	-0.00319	-0.22769
1.33226	-0.00311	-0.22241
1.33013	-0.00314	-0.22446
1.32826	-0.00311	-0.22238
1.32612	-0.00317	-0.22671
1.32426	-0.00311	-0.22207
1.32214	-0.00314	-0.22394
1.32028	-0.00311	-0.22198
1.31815	-0.00311	-0.22212
1.31629	-0.0031	-0.22136
1.31411	-0.00311	-0.22181
1.31225	-0.00307	-0.21909
1.31012	-0.00307	-0.21899
1.30826	-0.00307	-0.21937
1.30612	-0.00303	-0.21663
1.30427	-0.00301	-0.21503
1.30212	-0.00302	-0.21567
1.30027	-0.00302	-0.21541
1.29813	-0.00306	-0.21859
1.29628	-0.00303	-0.21648
1.29415	-0.00307	-0.21909
1.2923	-0.00304	-0.21711
1.29014	-0.00303	-0.21675
1.28826	-0.00305	-0.21775
1.28611	-0.00304	-0.21711
1.28427	-0.00306	-0.21875
1.28211	-0.00301	-0.21524
1.28028	-0.00303	-0.21644
1.27811	-0.00299	-0.21376
1.27628	-0.003	-0.21412
1.27412	-0.00298	-0.21273
1.27229	-0.00299	-0.21359
1.27013	-0.00301	-0.21486
1.2683	-0.00303	-0.21677
1.26615	-0.00299	-0.21343
1.26431	-0.00305	-0.21785
1.26213	-0.00298	-0.21292
1.26031	-0.00301	-0.21529
1.25814	-0.00299	-0.2139
1.25632	-0.00301	-0.21476
1.25415	-0.00298	-0.2129
1.25232	-0.00293	-0.2092
1.25016	-0.00295	-0.21046
1.24833	-0.003	-0.21462
1.24617	-0.00298	-0.21252
1.24434	-0.00301	-0.21531
1.24218	-0.00298	-0.21254
1.24036	-0.00305	-0.21816
1.23816	-0.00301	-0.2151
1.23631	-0.00307	-0.21897
