E	j	j
V RHE		mA cm-2
ML_030
1.07207	0.00256	0.18303
1.07424	0.00257	0.18341
1.07607	0.00252	0.17973
1.07822	0.00254	0.18164
1.08005	0.00249	0.17806
1.08222	0.00258	0.18451
1.08408	0.00253	0.18062
1.08626	0.00255	0.182
1.08809	0.00254	0.18174
1.09025	0.00258	0.18427
1.09208	0.00255	0.18215
1.09423	0.00261	0.1863
1.09607	0.00256	0.1831
1.09823	0.00265	0.18893
1.10006	0.00262	0.18747
1.10222	0.00266	0.19027
1.10406	0.00261	0.18654
1.10621	0.00269	0.19213
1.10805	0.00264	0.18855
1.11026	0.0027	0.19316
1.1121	0.00265	0.18958
1.11426	0.00268	0.19122
1.11609	0.00263	0.18771
1.11825	0.00267	0.19084
1.12008	0.00267	0.19058
1.12224	0.00273	0.19505
1.12409	0.00267	0.19048
1.12625	0.00268	0.19149
1.12808	0.00264	0.18876
1.13024	0.00267	0.19067
1.13207	0.00267	0.19053
1.13424	0.00267	0.19051
1.1361	0.00263	0.18805
1.13828	0.00269	0.19237
1.14011	0.00264	0.18872
1.14226	0.00271	0.1933
1.14409	0.00269	0.19184
1.14624	0.00273	0.19536
1.14809	0.00273	0.19493
1.15024	0.00275	0.19665
1.15208	0.00272	0.19407
1.15424	0.00271	0.1938
1.15606	0.00267	0.19058
1.15823	0.00273	0.19517
1.16005	0.0027	0.19263
1.16223	0.00273	0.19524
1.16406	0.00267	0.1906
1.16622	0.00274	0.19567
1.16805	0.00269	0.1922
1.17021	0.00275	0.19665
1.17204	0.0027	0.19263
1.1742	0.0028	0.19978
1.17604	0.00276	0.19703
1.1782	0.00275	0.19674
1.18003	0.00272	0.19404
1.18219	0.00272	0.19404
1.18402	0.00274	0.19562
1.18622	0.00278	0.19858
1.18806	0.00275	0.1966
1.19023	0.00279	0.19932
1.19206	0.00275	0.19615
1.19422	0.00275	0.19626
1.19604	0.00274	0.19586
1.19821	0.00277	0.19801
1.20004	0.00278	0.19825
1.20221	0.00278	0.19846
1.20403	0.00274	0.19545
1.2062	0.00277	0.19815
1.20802	0.00276	0.19724
1.21018	0.00281	0.20066
1.21205	0.00279	0.19894
1.21423	0.00286	0.20412
1.21606	0.00283	0.20219
1.21823	0.00282	0.20178
1.22005	0.00277	0.19779
1.22222	0.00288	0.20572
1.22404	0.00284	0.20269
1.2262	0.00294	0.2101
1.22804	0.00287	0.20484
1.2302	0.00291	0.20776
1.23204	0.00288	0.20551
1.23419	0.00292	0.20823
1.23602	0.00287	0.20494
1.23823	0.00295	0.21053
1.24007	0.00291	0.20788
1.24222	0.00301	0.21485
1.24406	0.0029	0.20728
1.24621	0.00299	0.2133
1.24805	0.00294	0.20964
1.2502	0.00305	0.21779
1.25204	0.00304	0.21695
1.2542	0.00309	0.22042
1.25603	0.00301	0.21497
1.25819	0.00313	0.22328
1.26003	0.003	0.21399
1.26217	0.00311	0.2219
1.26404	0.00305	0.21791
1.26618	0.00314	0.22424
1.26803	0.00308	0.21999
1.27017	0.00322	0.23031
1.27202	0.00316	0.22586
1.27415	0.00327	0.23365
1.276	0.00321	0.22911
1.27815	0.00333	0.23752
1.28001	0.00323	0.23062
1.28214	0.00336	0.24013
1.284	0.00326	0.23253
1.28614	0.00337	0.24041
1.28801	0.00327	0.23382
1.29016	0.00339	0.24225
1.29203	0.00329	0.23473
1.29416	0.00344	0.24569
1.29603	0.00334	0.23872
1.29814	0.00351	0.25042
1.30002	0.00341	0.24345
1.30213	0.00359	0.25654
1.30402	0.00347	0.24763
1.30612	0.0036	0.25702
1.30801	0.00344	0.24545
1.31011	0.00359	0.25668
1.31201	0.00351	0.25061
1.31413	0.00364	0.26024
1.31604	0.00353	0.25193
1.31815	0.00364	0.25996
1.32003	0.00349	0.24911
1.32212	0.00371	0.26497
1.32403	0.00359	0.2562
1.32612	0.00373	0.26638
1.32802	0.00366	0.26129
1.33013	0.00379	0.27059
1.33202	0.00363	0.25948
1.33411	0.00382	0.27302
1.33602	0.0037	0.2644
1.3381	0.00384	0.27427
1.34004	0.00373	0.26631
