E	j	j C	j C	j  Ageo
V RHE	mA cm-2	mA mF-1	mA mF-1	mA cm-2
ML_040		I norm by capacitance @ 1.2 VRHE	I norm by capacitance @ 0.5 VRHE	I norm by Ageo
1.21166	9.56348E-4	0.0162	0.02271	0.04782
1.21219	9.80657E-4	0.01661	0.02329	0.04903
1.21269	9.86059E-4	0.0167	0.02342	0.0493
1.2132	9.34673E-4	0.01583	0.0222	0.04673
1.2137	9.0843E-4	0.01539	0.02157	0.04542
1.21419	9.54114E-4	0.01616	0.02266	0.04771
1.21468	9.27537E-4	0.01571	0.02203	0.04638
1.21519	8.94925E-4	0.01516	0.02125	0.04475
1.21569	8.96526E-4	0.01519	0.02129	0.04483
1.21619	8.79719E-4	0.0149	0.02089	0.04399
1.21668	8.57911E-4	0.01453	0.02037	0.0429
1.21719	8.76718E-4	0.01485	0.02082	0.04384
1.21768	9.13599E-4	0.01547	0.02169	0.04568
1.21818	8.47107E-4	0.01435	0.02012	0.04236
1.21868	8.7135E-4	0.01476	0.02069	0.04357
1.21918	8.63047E-4	0.01462	0.02049	0.04315
1.21968	8.3637E-4	0.01417	0.01986	0.04182
1.22018	8.32268E-4	0.0141	0.01976	0.04161
1.22067	8.54877E-4	0.01448	0.0203	0.04274
1.22117	7.94088E-4	0.01345	0.01886	0.0397
1.22167	8.11361E-4	0.01374	0.01927	0.04057
1.22216	8.14895E-4	0.0138	0.01935	0.04074
1.22267	8.21464E-4	0.01391	0.01951	0.04107
1.22317	7.84851E-4	0.01329	0.01864	0.03924
1.22366	8.03158E-4	0.0136	0.01907	0.04016
1.22416	8.03091E-4	0.0136	0.01907	0.04015
1.22467	7.95822E-4	0.01348	0.0189	0.03979
1.22516	7.9032E-4	0.01339	0.01877	0.03952
1.22565	8.18797E-4	0.01387	0.01944	0.04094
1.22616	8.35303E-4	0.01415	0.01984	0.04177
1.22666	8.22532E-4	0.01393	0.01953	0.04113
1.22716	8.02124E-4	0.01359	0.01905	0.04011
1.22765	7.85184E-4	0.0133	0.01865	0.03926
1.22816	7.79649E-4	0.01321	0.01851	0.03898
1.22867	7.77515E-4	0.01317	0.01846	0.03888
1.22916	7.0979E-4	0.01202	0.01685	0.03549
1.22967	6.52435E-4	0.01105	0.01549	0.03262
1.23016	7.06155E-4	0.01196	0.01677	0.03531
1.23066	7.04755E-4	0.01194	0.01674	0.03524
1.23116	6.60105E-4	0.01118	0.01568	0.03301
1.23166	6.78678E-4	0.0115	0.01612	0.03393
1.23216	6.8378E-4	0.01158	0.01624	0.03419
1.23265	6.63606E-4	0.01124	0.01576	0.03318
1.23316	6.92617E-4	0.01173	0.01645	0.03463
1.23365	7.18793E-4	0.01217	0.01707	0.03594
1.23415	6.78612E-4	0.01149	0.01611	0.03393
1.23465	6.92383E-4	0.01173	0.01644	0.03462
1.23514	7.21061E-4	0.01221	0.01712	0.03605
1.23564	6.64906E-4	0.01126	0.01579	0.03325
1.23614	6.32995E-4	0.01072	0.01503	0.03165
1.23664	6.89616E-4	0.01168	0.01638	0.03448
1.23713	6.60838E-4	0.01119	0.01569	0.03304
1.23767	6.46099E-4	0.01094	0.01534	0.0323
1.23818	6.83914E-4	0.01158	0.01624	0.0342
1.23869	6.86948E-4	0.01164	0.01631	0.03435
1.23919	6.54469E-4	0.01109	0.01554	0.03272
1.23968	6.78145E-4	0.01149	0.0161	0.03391
1.24017	6.72909E-4	0.0114	0.01598	0.03365
1.24068	6.20757E-4	0.01051	0.01474	0.03104
1.24118	6.65707E-4	0.01128	0.01581	0.03329
1.24168	6.65973E-4	0.01128	0.01581	0.0333
1.24217	6.93684E-4	0.01175	0.01647	0.03468
1.24268	6.90016E-4	0.01169	0.01639	0.0345
1.24317	6.85514E-4	0.01161	0.01628	0.03428
1.24367	6.44132E-4	0.01091	0.0153	0.03221
1.24417	6.72209E-4	0.01139	0.01596	0.03361
1.24468	6.92483E-4	0.01173	0.01644	0.03462
1.24518	6.68908E-4	0.01133	0.01588	0.03345
1.24568	6.5657E-4	0.01112	0.01559	0.03283
1.24616	6.84914E-4	0.0116	0.01626	0.03425
1.24667	6.67674E-4	0.01131	0.01585	0.03338
1.24717	6.62772E-4	0.01123	0.01574	0.03314
1.24767	6.37263E-4	0.01079	0.01513	0.03186
1.24816	6.44832E-4	0.01092	0.01531	0.03224
1.24867	6.24025E-4	0.01057	0.01482	0.0312
1.24916	6.52402E-4	0.01105	0.01549	0.03262
1.24966	6.69975E-4	0.01135	0.01591	0.0335
1.25016	6.40998E-4	0.01086	0.01522	0.03205
1.25067	6.51602E-4	0.01104	0.01547	0.03258
1.25116	6.97085E-4	0.01181	0.01655	0.03485
1.25166	6.88882E-4	0.01167	0.01636	0.03444
1.25216	7.06955E-4	0.01197	0.01679	0.03535
1.25266	7.42035E-4	0.01257	0.01762	0.0371
1.25315	7.31631E-4	0.01239	0.01737	0.03658
1.25366	7.19893E-4	0.01219	0.01709	0.03599
1.25416	7.24829E-4	0.01228	0.01721	0.03624
1.25465	6.89849E-4	0.01168	0.01638	0.03449
1.25516	6.21724E-4	0.01053	0.01476	0.03109
1.25566	6.71842E-4	0.01138	0.01595	0.03359
1.25615	6.81012E-4	0.01153	0.01617	0.03405
1.25665	6.72409E-4	0.01139	0.01597	0.03362
1.25715	6.86381E-4	0.01163	0.0163	0.03432
1.25766	6.78345E-4	0.01149	0.01611	0.03392
1.25815	6.57804E-4	0.01114	0.01562	0.03289
1.25865	6.26159E-4	0.01061	0.01487	0.03131
1.25915	6.95184E-4	0.01177	0.01651	0.03476
1.25964	6.42965E-4	0.01089	0.01527	0.03215
1.26015	6.60205E-4	0.01118	0.01568	0.03301
1.26064	7.09923E-4	0.01202	0.01686	0.0355
1.26115	6.75477E-4	0.01144	0.01604	0.03377
1.26164	6.68041E-4	0.01132	0.01586	0.0334
1.26214	6.99119E-4	0.01184	0.0166	0.03496
1.26263	6.80612E-4	0.01153	0.01616	0.03403
