E	j	j C	j C	j  Ageo
V RHE	mA cm-2	mA mF-1	mA mF-1	mA cm-2
ML_047		I norm by capacitance @ 1.2 VRHE	I norm by capacitance @ 0.5 VRHE	I norm by Ageo
1.25562	4.5813E-4	0.00708	0.01032	0.02411
1.25612	4.59764E-4	0.00711	0.01036	0.0242
1.25661	4.3052E-4	0.00665	0.0097	0.02266
1.25711	4.32087E-4	0.00668	0.00974	0.02274
1.25762	4.88841E-4	0.00756	0.01102	0.02573
1.25811	4.09145E-4	0.00632	0.00922	0.02153
1.25861	4.50194E-4	0.00696	0.01014	0.02369
1.25912	4.06577E-4	0.00628	0.00916	0.0214
1.2596	4.35755E-4	0.00674	0.00982	0.02293
1.26011	4.60264E-4	0.00711	0.01037	0.02422
1.2606	5.06815E-4	0.00783	0.01142	0.02667
1.2611	4.82539E-4	0.00746	0.01087	0.0254
1.2616	4.02076E-4	0.00621	0.00906	0.02116
1.26209	4.81205E-4	0.00744	0.01084	0.02533
1.2626	4.21516E-4	0.00651	0.0095	0.02219
1.2631	4.26051E-4	0.00659	0.0096	0.02242
1.26361	4.06477E-4	0.00628	0.00916	0.02139
1.26411	4.07111E-4	0.00629	0.00917	0.02143
1.26461	4.36122E-4	0.00674	0.00983	0.02295
1.26511	4.5753E-4	0.00707	0.01031	0.02408
1.26561	3.97774E-4	0.00615	0.00896	0.02094
1.26611	4.33287E-4	0.0067	0.00976	0.0228
1.26662	4.24751E-4	0.00656	0.00957	0.02236
1.26711	3.85303E-4	0.00596	0.00868	0.02028
1.2676	4.07278E-4	0.00629	0.00918	0.02144
1.26811	3.80501E-4	0.00588	0.00857	0.02003
1.2686	4.55462E-4	0.00704	0.01026	0.02397
1.2691	3.8727E-4	0.00599	0.00873	0.02038
1.2696	3.85636E-4	0.00596	0.00869	0.0203
1.2701	4.35822E-4	0.00674	0.00982	0.02294
1.2706	4.09879E-4	0.00634	0.00924	0.02157
1.27109	4.29453E-4	0.00664	0.00968	0.0226
1.2716	3.79734E-4	0.00587	0.00856	0.01999
1.27209	4.52094E-4	0.00699	0.01019	0.02379
1.27259	4.42957E-4	0.00685	0.00998	0.02331
1.27309	4.55162E-4	0.00703	0.01026	0.02396
1.27358	4.62465E-4	0.00715	0.01042	0.02434
1.27408	4.54528E-4	0.00703	0.01024	0.02392
1.27459	4.63398E-4	0.00716	0.01044	0.02439
1.27508	4.63232E-4	0.00716	0.01044	0.02438
1.27558	4.87874E-4	0.00754	0.01099	0.02568
