E	j	j C	j C	j  Ageo
V RHE	mA cm-2	mA mF-1	mA mF-1	mA cm-2
ML_039		I norm by capacitance @ 1.2 VRHE	I norm by capacitance @ 0.5 VRHE	I norm by Ageo
1.19088	-0.02698	-0.81428	-1.08573	-1.92693
1.19988	0.00541	0.1633	0.21774	0.38645
1.2012	0.00456	0.13779	0.18372	0.32607
1.20173	0.00369	0.11128	0.14838	0.26334
1.20222	0.00327	0.09884	0.13179	0.23391
1.20271	0.00301	0.09084	0.12113	0.21497
1.20321	0.00279	0.08423	0.11231	0.19933
1.20371	0.0026	0.07856	0.10474	0.1859
1.20421	0.00257	0.07742	0.10323	0.18322
1.2047	0.00248	0.07489	0.09985	0.17721
1.2052	0.00237	0.0716	0.09546	0.16943
1.2057	0.00235	0.0708	0.09441	0.16755
1.2062	0.00226	0.06812	0.09083	0.16121
1.2067	0.00222	0.06695	0.08926	0.15842
1.20719	0.00213	0.06437	0.08583	0.15234
1.20769	0.00213	0.06428	0.08571	0.15212
1.20819	0.00207	0.06236	0.08315	0.14757
1.20869	0.00203	0.06116	0.08155	0.14474
1.20919	0.00204	0.06151	0.08201	0.14556
1.20969	0.00199	0.0601	0.08013	0.14221
1.21019	0.00195	0.05883	0.07844	0.13922
1.21069	0.00197	0.05938	0.07917	0.14051
1.21118	0.00195	0.05872	0.0783	0.13896
1.21171	0.00191	0.0577	0.07694	0.13655
1.21224	0.00191	0.05777	0.07702	0.1367
1.21274	0.00193	0.05818	0.07757	0.13767
1.21324	0.00184	0.05559	0.07412	0.13155
1.21374	0.00184	0.05551	0.07401	0.13136
1.21423	0.00183	0.05516	0.07355	0.13054
1.21473	0.00177	0.05342	0.07123	0.12642
1.21523	0.00173	0.05225	0.06967	0.12365
1.21573	0.00177	0.05333	0.0711	0.1262
1.21623	0.00173	0.05224	0.06966	0.12362
1.21673	0.00171	0.05165	0.06887	0.12222
1.21723	0.00172	0.05181	0.06908	0.12259
1.21772	0.00169	0.05104	0.06805	0.12078
1.21823	0.00166	0.05005	0.06674	0.11844
1.21872	0.00169	0.05103	0.06804	0.12076
1.21922	0.00167	0.05026	0.06702	0.11894
1.21972	0.00164	0.04956	0.06608	0.11728
1.22022	0.00164	0.04949	0.06599	0.11713
1.22071	0.00168	0.0506	0.06747	0.11975
1.22121	0.00166	0.04996	0.06661	0.11822
1.22171	0.00163	0.0491	0.06547	0.1162
1.2222	0.00168	0.05059	0.06746	0.11972
1.22271	0.00164	0.04944	0.06592	0.117
1.22321	0.00162	0.04886	0.06515	0.11563
1.2237	0.00165	0.04993	0.06657	0.11815
1.2242	0.00159	0.04797	0.06396	0.11352
1.22472	0.00157	0.04752	0.06336	0.11245
1.22521	0.00157	0.04742	0.06322	0.11221
1.2257	0.00161	0.0486	0.0648	0.115
1.2262	0.0016	0.04817	0.06423	0.114
1.22672	0.00159	0.04809	0.06412	0.1138
1.22721	0.00154	0.04642	0.06189	0.10985
1.22771	0.00148	0.04456	0.05941	0.10545
1.22821	0.00148	0.04476	0.05969	0.10593
1.22871	0.0015	0.04528	0.06037	0.10715
1.2292	0.00149	0.04507	0.06009	0.10666
1.22971	0.0015	0.04519	0.06026	0.10695
1.23021	0.00154	0.04649	0.06198	0.11001
1.2307	0.00149	0.0451	0.06013	0.10672
1.2312	0.00146	0.04407	0.05876	0.10428
1.2317	0.00148	0.04463	0.05951	0.10562
1.2322	0.00146	0.04398	0.05865	0.10408
1.2327	0.00146	0.04411	0.05882	0.10439
1.2332	0.00148	0.04476	0.05968	0.10591
1.23369	0.00144	0.04354	0.05805	0.10303
1.23419	0.00143	0.04303	0.05737	0.10183
1.2347	0.00146	0.04406	0.05875	0.10427
1.23519	0.00147	0.04423	0.05897	0.10467
1.23569	0.00144	0.04335	0.05779	0.10257
1.23619	0.00143	0.04311	0.05748	0.10202
1.23669	0.00147	0.04435	0.05914	0.10495
1.2372	0.00143	0.04325	0.05766	0.10234
1.23773	0.00144	0.04337	0.05783	0.10264
