E	j	j C	j C	j  Ageo
V RHE	mA cm-2	mA mF-1	mA mF-1	mA cm-2
ML_059		I norm by capacitance @ 1.2 VRHE	I norm by capacitance @ 0.5 VRHE	I norm by Ageo
1.20038	0.0073	0.06603	0.08359	0.40569
1.20177	0.00205	0.01854	0.02347	0.11391
1.20181	-0.00328	-0.02968	-0.03758	-0.18237
1.20152	-0.00281	-0.02538	-0.03213	-0.15595
1.20187	7.88619E-4	0.00713	0.00903	0.04381
1.20279	0.00238	0.02156	0.02729	0.13246
1.20359	9.94528E-4	0.00899	0.01138	0.05525
1.20399	-7.28677E-4	-0.00659	-0.00834	-0.04048
1.20424	-7.3788E-4	-0.00667	-0.00845	-0.04099
1.20468	3.38619E-4	0.00306	0.00388	0.01881
1.20529	9.13899E-4	0.00826	0.01046	0.05077
1.20589	5.23421E-4	0.00473	0.00599	0.02908
1.20637	-4.66906E-5	-4.22196E-4	-5.34459E-4	-0.00259
1.20678	-6.55976E-5	-5.93161E-4	-7.50884E-4	-0.00364
1.20726	2.5282E-4	0.00229	0.00289	0.01405
1.20779	4.42324E-4	0.004	0.00506	0.02457
1.20832	3.45421E-4	0.00312	0.00395	0.01919
1.20881	2.03669E-4	0.00184	0.00233	0.01131
1.20929	1.83761E-4	0.00166	0.0021	0.01021
1.20978	2.39549E-4	0.00217	0.00274	0.01331
1.21028	3.27982E-4	0.00297	0.00375	0.01822
1.21079	3.24747E-4	0.00294	0.00372	0.01804
1.2113	2.41116E-4	0.00218	0.00276	0.0134
1.21181	2.13572E-4	0.00193	0.00244	0.01187
1.21232	2.7903E-4	0.00252	0.00319	0.0155
1.21284	2.94336E-4	0.00266	0.00337	0.01635
1.21334	2.86033E-4	0.00259	0.00327	0.01589
1.21384	2.74729E-4	0.00248	0.00314	0.01526
1.21434	2.68193E-4	0.00243	0.00307	0.0149
1.21484	2.48986E-4	0.00225	0.00285	0.01383
1.21533	2.80764E-4	0.00254	0.00321	0.0156
1.21583	2.9617E-4	0.00268	0.00339	0.01645
1.21633	2.7753E-4	0.00251	0.00318	0.01542
1.21683	2.68059E-4	0.00242	0.00307	0.01489
1.21732	2.19575E-4	0.00199	0.00251	0.0122
1.21782	2.40482E-4	0.00217	0.00275	0.01336
