E	j	j C	j C	j  Ageo
V RHE	mA cm-2	mA mF-1	mA mF-1	mA cm-2
ML_074		I norm by capacitance @ 1.2 VRHE	I norm by capacitance @ 0.5 VRHE	I norm by Ageo
1.2521	-4.74E-05	-0.00425	-0.00687	-0.00226
1.25261	-2.99E-05	-0.00269	-0.00433	-0.00142
1.2531	-4.28E-05	-0.00384	-0.0062	-0.00204
1.2536	-7.79E-05	-0.00699	-0.01129	-0.00371
1.2541	-6.09E-05	-0.00546	-0.00882	-0.0029
1.25459	-8.11E-05	-0.00728	-0.01175	-0.00386
1.25509	-8.11E-05	-0.00728	-0.01175	-0.00386
1.2556	-3.98E-05	-0.00357	-0.00577	-0.0019
1.25609	-6.91E-05	-0.0062	-0.01001	-0.00329
1.25658	-1.19E-04	-0.01064	-0.01718	-0.00565
1.25709	-7.49E-05	-0.00672	-0.01085	-0.00357
1.25759	-8.83E-05	-0.00793	-0.01279	-0.00421
1.25808	-1.05E-04	-0.00945	-0.01525	-0.00501
1.25858	-8.28E-05	-0.00744	-0.012	-0.00394
1.25908	-5.26E-05	-0.00472	-0.00761	-0.0025
1.25958	-9.52E-05	-0.00855	-0.01379	-0.00453
1.26008	-8.37E-05	-0.00751	-0.01212	-0.00398
1.26058	-7.05E-05	-0.00633	-0.01021	-0.00336
1.26108	-8.54E-05	-0.00766	-0.01237	-0.00407
1.26158	-6.55E-05	-0.00588	-0.00949	-0.00312
1.26207	-4.37E-05	-0.00392	-0.00633	-0.00208
1.26257	-8.36E-05	-0.00751	-0.01212	-0.00398
1.26307	-9.06E-05	-0.00813	-0.01313	-0.00431
1.26358	-4.85E-05	-0.00436	-0.00703	-0.00231
1.26408	-4.61E-05	-0.00414	-0.00668	-0.00219
1.26459	-6.27E-05	-0.00563	-0.00908	-0.00299
1.26509	-4.26E-05	-0.00382	-0.00617	-0.00203
1.26558	-4.01E-05	-0.0036	-0.00581	-0.00191
1.26608	-8.23E-05	-0.00739	-0.01192	-0.00392
1.26658	-6.11E-05	-0.00548	-0.00885	-0.00291
1.26709	-2.75E-05	-0.00247	-0.00399	-0.00131
1.26758	-5.45E-05	-0.00489	-0.0079	-0.0026
1.26808	-3.87E-05	-0.00347	-0.0056	-0.00184
1.26858	-4.56E-05	-0.00409	-0.0066	-0.00217
1.26908	-5.71E-05	-0.00512	-0.00827	-0.00272
1.26958	-6.12E-05	-0.00549	-0.00887	-0.00291
1.27007	-4.67E-05	-0.00419	-0.00677	-0.00222
1.27057	-7.13E-05	-0.0064	-0.01033	-0.0034
1.27107	-8.53E-05	-0.00766	-0.01236	-0.00406
1.27157	-3.66E-05	-0.00328	-0.0053	-0.00174
1.27207	-3.84E-05	-0.00344	-0.00556	-0.00183
1.27257	-7.43E-05	-0.00667	-0.01076	-0.00354
1.27307	-5.91E-05	-0.0053	-0.00856	-0.00281
1.27356	-2.89E-05	-0.0026	-0.00419	-0.00138
1.27406	-7.31E-05	-0.00656	-0.0106	-0.00348
1.27456	-4.70E-05	-0.00422	-0.00681	-0.00224
1.27506	-3.86E-05	-0.00346	-0.00559	-0.00184
1.27556	-5.96E-05	-0.00535	-0.00863	-0.00284
1.27607	-6.07E-05	-0.00545	-0.0088	-0.00289
1.27658	-4.83E-05	-0.00433	-0.007	-0.0023
1.27706	-4.86E-05	-0.00436	-0.00703	-0.00231
1.27756	-9.04E-06	-8.12E-04	-0.00131	-4.31E-04
1.27806	-4.98E-06	-4.47E-04	-7.21E-04	-2.37E-04
1.27856	-1.15E-05	-0.00103	-0.00167	-5.48E-04
1.27906	-5.28E-05	-0.00474	-0.00765	-0.00251
1.27957	-2.81E-05	-0.00252	-0.00407	-0.00134
1.28006	-4.49E-05	-0.00403	-0.0065	-0.00214
1.28055	-8.20E-05	-0.00736	-0.01188	-0.0039
1.28106	-5.31E-05	-0.00477	-0.0077	-0.00253
1.28156	-3.45E-05	-0.0031	-0.005	-0.00164
1.28205	-1.07E-04	-0.0096	-0.01549	-0.00509
1.28255	-8.86E-05	-0.00795	-0.01284	-0.00422
1.28305	-1.10E-04	-0.00991	-0.016	-0.00526
1.28355	-1.28E-04	-0.0115	-0.01857	-0.0061
1.28404	-1.01E-04	-0.00905	-0.0146	-0.0048
1.28455	-8.64E-05	-0.00775	-0.01251	-0.00411
1.28505	-1.08E-04	-0.0097	-0.01566	-0.00515
1.28555	-1.14E-04	-0.01022	-0.01649	-0.00542
1.28605	-7.07E-05	-0.00634	-0.01024	-0.00337
1.28655	-8.70E-05	-0.00781	-0.0126	-0.00414
1.28704	-8.86E-05	-0.00796	-0.01284	-0.00422
1.28754	-7.68E-05	-0.00689	-0.01112	-0.00366
1.28804	-8.67E-05	-0.00778	-0.01256	-0.00413
1.28854	-1.15E-04	-0.01031	-0.01663	-0.00547
1.28908	-8.07E-05	-0.00724	-0.01169	-0.00384
1.28958	-6.44E-05	-0.00578	-0.00933	-0.00307
1.29009	-8.11E-05	-0.00728	-0.01175	-0.00386
1.29059	-5.94E-05	-0.00533	-0.00861	-0.00283
1.29109	-4.31E-05	-0.00387	-0.00624	-0.00205
1.29159	-5.97E-05	-0.00536	-0.00865	-0.00284
1.29209	-5.65E-05	-0.00507	-0.00819	-0.00269
1.29259	-1.92E-05	-0.00172	-0.00278	-9.15E-04
1.29308	-5.54E-05	-0.00498	-0.00803	-0.00264
1.29358	-4.22E-05	-0.00379	-0.00611	-0.00201
1.29408	-2.69E-05	-0.00241	-0.00389	-0.00128
1.29457	-5.30E-05	-0.00476	-0.00768	-0.00253
1.29507	-8.02E-05	-0.0072	-0.01161	-0.00382
1.29557	-5.71E-05	-0.00513	-0.00828	-0.00272
1.29607	-4.77E-05	-0.00428	-0.0069	-0.00227
1.29657	-7.00E-05	-0.00629	-0.01015	-0.00333
1.29706	-4.45E-05	-0.00399	-0.00645	-0.00212
1.29756	-1.41E-05	-0.00127	-0.00205	-6.74E-04
1.29806	-6.88E-05	-0.00618	-0.00997	-0.00328
1.29856	-5.69E-05	-0.00511	-0.00825	-0.00271
1.29906	-1.67E-05	-0.0015	-0.00242	-7.96E-04
1.29955	-5.79E-05	-0.00519	-0.00838	-0.00276
1.30005	-4.95E-05	-0.00444	-0.00717	-0.00236
1.30055	-3.79E-05	-0.0034	-0.00548	-0.0018
1.30105	-4.95E-05	-0.00444	-0.00717	-0.00236
1.30156	-4.40E-05	-0.00395	-0.00637	-0.00209
1.30206	-4.36E-05	-0.00391	-0.00632	-0.00208
1.30255	-3.29E-05	-0.00296	-0.00477	-0.00157
1.30304	-2.84E-05	-0.00254	-0.00411	-0.00135
1.30355	-1.52E-05	-0.00137	-0.00221	-7.26E-04
1.30406	-2.23E-05	-0.002	-0.00323	-0.00106
1.30456	-1.98E-05	-0.00178	-0.00288	-9.45E-04
1.30506	-1.09E-05	-9.79E-04	-0.00158	-5.20E-04
1.30556	8.26E-06	7.42E-04	0.0012	3.93E-04
1.30606	-2.97E-05	-0.00267	-0.00431	-0.00142
1.30656	-1.27E-05	-0.00114	-0.00185	-6.07E-04
1.30706	-6.18E-06	-5.54E-04	-8.95E-04	-2.94E-04
1.30756	-3.55E-05	-0.00318	-0.00514	-0.00169
1.30805	-4.10E-05	-0.00368	-0.00594	-0.00195
1.30856	-3.38E-05	-0.00304	-0.0049	-0.00161
1.30905	-8.99E-05	-0.00807	-0.01303	-0.00428
1.30955	-7.83E-05	-0.00703	-0.01134	-0.00373
1.31005	-6.30E-05	-0.00565	-0.00913	-0.003
1.31054	-8.91E-05	-0.008	-0.0129	-0.00424
1.31104	-1.10E-04	-0.00988	-0.01594	-0.00524
1.31154	-7.33E-05	-0.00658	-0.01062	-0.00349
1.31204	-4.40E-05	-0.00395	-0.00638	-0.0021
1.31254	-7.63E-05	-0.00685	-0.01105	-0.00363
1.31304	-5.84E-05	-0.00524	-0.00846	-0.00278
1.31354	-3.64E-05	-0.00327	-0.00528	-0.00173
1.31403	-9.10E-05	-0.00817	-0.01319	-0.00434
1.31457	-6.31E-05	-0.00566	-0.00914	-0.003
1.31508	-3.62E-05	-0.00325	-0.00525	-0.00172
1.31558	-5.07E-05	-0.00455	-0.00735	-0.00242
1.31608	-2.23E-05	-0.002	-0.00323	-0.00106
1.31658	-6.68E-06	-5.99E-04	-9.67E-04	-3.18E-04
1.31708	-5.88E-05	-0.00527	-0.00851	-0.0028
1.31758	-5.62E-05	-0.00505	-0.00815	-0.00268
1.31808	-4.83E-05	-0.00433	-0.00699	-0.0023
1.31858	-6.95E-05	-0.00624	-0.01006	-0.00331
1.31908	-8.70E-05	-0.00781	-0.01261	-0.00414
1.31957	-6.01E-05	-0.00539	-0.0087	-0.00286
1.32007	-4.93E-05	-0.00442	-0.00714	-0.00235
1.32057	-7.95E-05	-0.00714	-0.01152	-0.00379
1.32107	-5.89E-05	-0.00528	-0.00853	-0.0028
1.32157	-6.27E-05	-0.00563	-0.00908	-0.00298
1.32207	-7.77E-05	-0.00698	-0.01126	-0.0037
1.32257	-6.69E-05	-0.006	-0.00969	-0.00318
1.32307	-2.95E-05	-0.00265	-0.00428	-0.00141
1.32357	-7.35E-05	-0.0066	-0.01065	-0.0035
1.32406	-7.04E-05	-0.00632	-0.01019	-0.00335
