E	j	j C	j C	j  Ageo
V RHE	mA cm-2	mA mF-1	mA mF-1	mA cm-2
ML_072		I norm by capacitance @ 1.2 VRHE	I norm by capacitance @ 0.5 VRHE	I norm by Ageo
1.25574	7.51072E-4	0.00776	0.01478	0.04418
1.25624	7.76715E-4	0.00802	0.01528	0.04569
1.25673	7.56941E-4	0.00782	0.01489	0.04453
1.25724	7.64543E-4	0.0079	0.01504	0.04497
1.25773	7.79882E-4	0.00806	0.01535	0.04588
1.25823	7.6321E-4	0.00788	0.01502	0.04489
1.25873	7.92854E-4	0.00819	0.0156	0.04664
1.25922	7.94088E-4	0.0082	0.01563	0.04671
1.25972	7.8165E-4	0.00807	0.01538	0.04598
1.26022	8.24932E-4	0.00852	0.01623	0.04853
1.26072	8.17863E-4	0.00845	0.01609	0.04811
1.26122	7.87952E-4	0.00814	0.0155	0.04635
1.26172	7.88519E-4	0.00815	0.01552	0.04638
1.26222	8.10294E-4	0.00837	0.01594	0.04766
1.26273	7.50838E-4	0.00776	0.01477	0.04417
1.26323	7.36733E-4	0.00761	0.0145	0.04334
1.26373	7.77048E-4	0.00803	0.01529	0.04571
1.26423	7.89186E-4	0.00815	0.01553	0.04642
1.26473	7.48204E-4	0.00773	0.01472	0.04401
1.26523	7.4507E-4	0.0077	0.01466	0.04383
1.26573	7.33198E-4	0.00757	0.01443	0.04313
1.26623	7.04988E-4	0.00728	0.01387	0.04147
1.26673	7.45203E-4	0.0077	0.01466	0.04384
1.26723	7.37967E-4	0.00762	0.01452	0.04341
1.26773	7.22795E-4	0.00747	0.01422	0.04252
1.26822	7.50838E-4	0.00776	0.01477	0.04417
1.26872	7.53706E-4	0.00779	0.01483	0.04434
1.26922	7.50405E-4	0.00775	0.01477	0.04414
1.26972	7.58008E-4	0.00783	0.01492	0.04459
1.27022	7.62809E-4	0.00788	0.01501	0.04487
1.27072	7.80282E-4	0.00806	0.01535	0.0459
1.27121	7.80816E-4	0.00807	0.01536	0.04593
1.27171	8.16629E-4	0.00844	0.01607	0.04804
1.27221	7.90286E-4	0.00816	0.01555	0.04649
1.27271	7.78582E-4	0.00804	0.01532	0.0458
1.27321	7.85484E-4	0.00811	0.01546	0.0462
1.27371	7.77181E-4	0.00803	0.01529	0.04572
1.2742	7.85518E-4	0.00811	0.01546	0.04621
1.27471	7.87919E-4	0.00814	0.0155	0.04635
1.2752	8.19164E-4	0.00846	0.01612	0.04819
1.2757	7.97422E-4	0.00824	0.01569	0.04691
1.2762	8.21498E-4	0.00849	0.01616	0.04832
1.2767	8.28434E-4	0.00856	0.0163	0.04873
1.2772	8.15195E-4	0.00842	0.01604	0.04795
1.2777	8.04692E-4	0.00831	0.01583	0.04733
1.2782	8.45006E-4	0.00873	0.01663	0.04971
1.2787	8.51142E-4	0.00879	0.01675	0.05007
1.2792	8.27533E-4	0.00855	0.01628	0.04868
1.2797	8.23298E-4	0.00851	0.0162	0.04843
1.2802	8.17963E-4	0.00845	0.01609	0.04812
1.2807	8.03058E-4	0.0083	0.0158	0.04724
1.2812	8.28034E-4	0.00855	0.01629	0.04871
1.2817	8.20197E-4	0.00847	0.01614	0.04825
1.28219	7.95188E-4	0.00821	0.01565	0.04678
1.28269	8.13928E-4	0.00841	0.01602	0.04788
1.28319	8.02724E-4	0.00829	0.01579	0.04722
1.28369	7.75214E-4	0.00801	0.01525	0.0456
1.28419	7.89619E-4	0.00816	0.01554	0.04645
1.28469	7.57708E-4	0.00783	0.01491	0.04457
1.28519	7.59141E-4	0.00784	0.01494	0.04466
1.28569	7.99756E-4	0.00826	0.01574	0.04704
1.28618	8.20864E-4	0.00848	0.01615	0.04829
1.28669	8.06826E-4	0.00833	0.01588	0.04746
1.28719	7.73247E-4	0.00799	0.01521	0.04549
1.2877	8.27433E-4	0.00855	0.01628	0.04867
1.2882	7.98389E-4	0.00825	0.01571	0.04696
1.2887	7.65577E-4	0.00791	0.01506	0.04503
1.28921	8.06192E-4	0.00833	0.01586	0.04742
1.28972	7.79316E-4	0.00805	0.01533	0.04584
1.29022	7.60642E-4	0.00786	0.01497	0.04474
1.29073	7.71813E-4	0.00797	0.01519	0.0454
1.29123	8.02057E-4	0.00829	0.01578	0.04718
1.29173	7.63009E-4	0.00788	0.01501	0.04488
1.29223	7.45403E-4	0.0077	0.01467	0.04385
1.29272	7.44269E-4	0.00769	0.01464	0.04378
1.29322	7.86885E-4	0.00813	0.01548	0.04629
1.29372	7.82117E-4	0.00808	0.01539	0.04601
1.29422	7.78882E-4	0.00805	0.01533	0.04582
1.29472	7.95155E-4	0.00821	0.01565	0.04677
1.29522	8.03658E-4	0.0083	0.01581	0.04727
