X	Z
µm	µm
0	-0.026
1.388	-0.055
2.775	-0.034
4.163	-0.029
5.551	-0.036
6.938	-0.036
8.326	-0.03
9.714	-0.037
11.101	-0.036
12.489	-0.02
13.877	-0.033
15.264	-0.023
16.652	-0.03
18.04	-0.048
19.427	-0.044
20.815	-0.05
22.203	-0.03
23.59	-0.024
24.978	-0.032
26.366	-0.041
27.753	-0.037
29.141	-0.039
30.529	-0.048
31.916	-0.031
33.304	-0.025
34.692	-0.051
36.079	-0.037
37.467	-0.035
38.855	-0.033
40.242	-0.02
41.63	-0.017
43.018	-0.027
44.405	-0.046
45.793	-0.036
47.181	-0.027
48.568	-0.025
49.956	-0.025
51.344	-0.032
52.731	-0.041
54.119	-0.019
55.507	-0.029
56.894	-0.043
58.282	-0.036
59.67	-0.019
61.057	-0.031
62.445	-0.055
63.833	-0.057
65.22	-0.037
66.608	-0.039
67.996	-0.045
69.383	-0.043
70.771	-0.051
72.159	-0.051
73.546	-0.052
74.934	-0.06
76.322	-0.054
77.709	-0.049
79.097	-0.047
80.485	-0.049
81.872	-0.049
83.26	-0.032
84.648	-0.03
86.035	-0.055
87.423	-0.059
88.811	-0.045
90.198	-0.033
91.586	-0.046
92.974	-0.054
94.361	-0.03
95.749	-0.032
97.137	-0.047
98.524	-0.053
99.912	-0.036
101.3	-0.032
102.687	-0.027
104.075	-0.019
105.463	-0.022
106.85	-0.025
108.238	-0.021
109.626	-0.057
111.013	-0.098
112.401	-0.1
113.789	-0.086
115.176	-0.069
116.564	-0.036
117.952	0.014
119.34	0.019
120.727	-0.003
122.115	-0.012
123.503	-0.013
124.89	0.014
126.278	0.053
127.666	0.059
129.053	0.061
130.441	0.052
131.829	0.053
133.216	0.059
134.604	0.055
135.992	0.054
137.379	0.055
138.767	0.041
140.155	0.053
141.542	0.06
142.93	0.056
144.318	0.072
145.705	0.072
147.093	0.077
148.481	0.083
149.868	0.093
151.256	0.097
152.644	0.098
154.031	0.101
155.419	0.108
156.807	0.086
158.194	0.063
159.582	0.091
160.97	0.105
162.357	0.116
163.745	0.141
165.133	0.135
166.52	0.125
167.908	0.136
169.296	0.153
170.683	0.153
172.071	0.155
173.459	0.155
174.846	0.158
176.234	0.163
177.622	0.145
179.009	0.162
180.397	0.174
181.785	0.157
183.172	0.151
184.56	0.146
185.948	0.127
187.335	0.124
188.723	0.138
190.111	0.148
191.498	0.131
192.886	0.113
194.274	0.129
195.661	0.152
197.049	0.162
198.437	0.155
199.824	0.157
201.212	0.133
202.6	0.125
203.987	0.131
205.375	0.128
206.763	0.116
208.15	0.127
209.538	0.111
210.926	0.102
212.313	0.107
213.701	0.101
215.089	0.098
216.476	0.11
217.864	0.115
219.252	0.12
220.639	0.126
222.027	0.125
223.415	0.135
224.802	0.144
226.19	0.112
227.578	0.106
228.965	0.123
230.353	0.107
231.741	0.091
233.128	0.085
234.516	0.085
235.904	0.077
237.291	0.075
238.679	0.08
240.067	0.084
241.454	0.097
242.842	0.111
244.23	0.109
245.617	0.117
247.005	0.125
248.393	0.121
249.78	0.104
251.168	0.093
252.556	0.097
253.943	0.098
255.331	0.092
256.719	0.089
258.106	0.084
259.494	0.08
260.882	0.083
262.269	0.082
263.657	0.078
265.045	0.092
266.432	0.102
267.82	0.08
269.208	0.074
270.595	0.076
271.983	0.075
273.371	0.074
274.758	0.062
276.146	0.055
277.534	0.075
278.921	0.089
280.309	0.076
281.697	0.079
283.084	0.068
284.472	0.084
285.86	0.09
287.247	0.078
288.635	0.08
290.023	0.084
291.41	0.09
292.798	0.093
294.186	0.08
295.573	0.08
296.961	0.078
298.349	0.07
299.736	0.078
301.124	0.085
302.512	0.083
303.899	0.071
305.287	0.08
306.675	0.068
308.062	0.073
309.45	0.071
310.838	0.075
312.225	0.067
313.613	0.07
315.001	0.067
316.388	0.065
317.776	0.063
319.164	0.058
320.551	0.051
321.939	0.054
323.327	0.062
324.714	0.055
326.102	0.053
327.49	0.055
328.877	0.039
330.265	0.036
331.653	0.049
333.04	0.044
334.428	0.047
335.816	0.038
337.203	0.034
338.591	0.039
339.979	0.035
341.366	0.023
342.754	0.022
344.142	0.039
345.529	0.042
346.917	0.034
348.305	0.04
349.692	0.012
351.08	0.011
352.468	0.017
353.856	-0.002
355.243	0.013
356.631	0.02
358.019	0.009
359.406	-0.028
360.794	-0.006
362.182	-0.005
363.569	-0.023
364.957	0.013
366.345	0.004
367.732	0.004
369.12	-0.008
370.508	-0.009
371.895	-0.01
373.283	-0.017
374.671	-0.005
376.058	-0.006
377.446	-0.012
378.834	-0.008
380.221	-0.019
381.609	-0.03
382.997	-0.03
384.384	-0.021
385.772	-0.044
387.16	-0.04
388.547	-0.03
389.935	-0.035
391.323	-0.035
392.71	-0.023
394.098	-0.033
395.486	-0.04
396.873	-0.026
398.261	-0.027
399.649	-0.028
401.036	-0.024
402.424	-0.03
403.812	-0.034
405.199	-0.043
406.587	-0.048
407.975	-0.043
409.362	-0.034
410.75	-0.026
412.138	-0.042
413.525	-0.053
414.913	-0.046
416.301	-0.041
417.688	-0.028
419.076	-0.037
420.464	-0.05
421.851	-0.049
423.239	-0.04
424.627	-0.028
426.014	-0.042
427.402	-0.042
428.79	-0.029
430.177	-0.034
431.565	-0.048
432.953	-0.037
434.34	-0.04
435.728	-0.042
437.116	-0.031
438.503	-0.036
439.891	-0.039
441.279	-0.052
442.666	-0.051
