X	Z
µm	µm
0	-0.152
0.00139	-0.127
0.00278	-0.069
0.00416	-0.064
0.00555	-0.1
0.00694	-0.109
0.00833	-0.09
0.00972	-0.08
0.0111	-0.093
0.01249	-0.114
0.01388	-0.112
0.01527	-0.068
0.01666	-0.058
0.01804	-0.08
0.01943	-0.084
0.02082	-0.087
0.02221	-0.09
0.0236	-0.093
0.02498	-0.099
0.02637	-0.094
0.02776	-0.088
0.02915	-0.079
0.03054	-0.094
0.03192	-0.106
0.03331	-0.085
0.0347	-0.083
0.03609	-0.091
0.03748	-0.088
0.03886	-0.083
0.04025	-0.091
0.04164	-0.1
0.04303	-0.11
0.04442	-0.105
0.0458	-0.093
0.04719	-0.093
0.04858	-0.104
0.04997	-0.114
0.05136	-0.094
0.05274	-0.105
0.05413	-0.121
0.05552	-0.112
0.05691	-0.122
0.0583	-0.123
0.05968	-0.121
0.06107	-0.112
0.06246	-0.088
0.06385	-0.069
0.06524	-0.06
0.06662	-0.062
0.06801	-0.053
0.0694	-0.025
0.07079	-0.029
0.07218	-0.015
0.07356	0.051
0.07495	0.124
0.07634	0.105
0.07773	0.053
0.07912	0.021
0.0805	-0.007
0.08189	-0.014
0.08328	-0.023
0.08467	0.005
0.08606	0.043
0.08744	0.001
0.08883	0.041
0.09022	0.04
0.09161	-0.088
0.093	-0.106
0.09438	0.027
0.09577	0.122
0.09716	0.007
0.09855	-0.022
0.09994	0.118
0.10132	0.01
0.10271	-0.042
0.1041	0.127
0.10549	0.048
0.10688	0.073
0.10826	0.021
0.10965	-0.009
0.11104	0.087
0.11243	0.037
0.11382	0.026
0.1152	0.199
0.11659	0.185
0.11798	0.02
0.11937	-0.008
0.12076	0.029
0.12214	0.099
0.12353	0.181
0.12492	0.093
0.12631	0.013
0.1277	0.052
0.12908	0.051
0.13047	-0.03
0.13186	0.069
0.13325	0.11
0.13464	0.063
0.13602	0.056
0.13741	0.113
0.1388	0.085
0.14019	-0.031
0.14157	0.001
0.14296	0.058
0.14435	0.078
0.14574	-0.021
0.14713	-0.06
0.14851	-0.001
0.1499	0.112
0.15129	0.173
0.15268	0.106
0.15407	0.177
0.15545	0.14
0.15684	0.006
0.15823	0.062
0.15962	0.177
0.16101	0.143
0.16239	0.187
0.16378	0.037
0.16517	0.085
0.16656	0.225
