X	Z
µm	µm
523.052	-0.103
524.439	-0.046
525.826	-0.129
527.214	0.016
528.601	0.022
529.989	0.02
531.376	0.008
532.763	-0.043
534.151	-0.05
535.538	0.006
536.926	0.005
538.313	0.052
539.701	-0.049
541.088	-0.062
542.475	-0.048
543.863	-0.049
545.25	-0.001
546.638	0.117
548.025	-0.087
549.412	-0.063
550.8	-0.069
552.187	-0.069
553.575	-0.061
554.962	-0.076
556.349	-0.046
557.737	-0.008
559.124	-0.061
560.512	-0.115
561.899	-0.058
563.286	-0.057
564.674	-0.08
566.061	-0.052
567.449	0.001
568.836	-0.012
570.223	0.005
571.611	-0.057
572.998	-0.075
574.386	-0.072
575.773	0.017
577.16	-0.034
578.548	-0.03
579.935	0.008
581.323	-0.004
582.71	-0.029
584.097	-0.075
585.485	-0.058
586.872	-0.063
588.26	-0.06
589.647	0.005
591.034	-0.038
592.422	-0.024
593.809	-0.045
595.197	-0.073
596.584	-0.082
597.972	-0.08
599.359	-0.066
600.746	-0.055
602.134	-0.083
603.521	-0.038
604.909	-0.078
606.296	-0.068
607.683	-0.064
609.071	-0.035
610.458	-0.029
611.846	-0.058
613.233	-0.065
614.62	-0.026
616.008	-0.073
617.395	-0.05
618.783	-0.031
620.17	-0.062
621.557	-0.061
622.945	-0.042
624.332	-0.052
625.72	-0.053
627.107	-0.06
628.494	-0.06
629.882	-0.044
631.269	-0.063
632.657	-0.05
634.044	-0.02
635.431	-0.029
636.819	-0.053
638.206	-0.044
639.594	-0.054
640.981	-0.05
642.368	-0.064
643.756	-0.084
645.143	-0.107
646.531	-0.034
647.918	-0.003
649.306	-0.048
650.693	-0.055
652.08	-0.053
653.468	-0.045
654.855	-0.043
656.243	-0.042
657.63	-0.052
659.017	-0.05
660.405	-0.059
661.792	-0.062
663.18	-0.032
664.567	-0.04
665.954	-0.044
667.342	-0.036
668.729	-0.047
670.117	-0.046
671.504	-0.022
672.891	-0.04
674.279	-0.045
675.666	-0.03
677.054	-0.031
678.441	-0.016
679.828	-0.04
681.216	-0.053
682.603	-0.045
683.991	-0.042
685.378	-0.018
686.765	-0.026
688.153	-0.03
689.54	-0.051
690.928	-0.049
692.315	-0.016
693.702	-0.026
695.09	-0.051
696.477	-0.024
697.865	-0.044
699.252	-0.075
700.639	-0.016
702.027	-0.02
703.414	-0.049
704.802	-0.03
706.189	-0.041
707.577	-0.032
708.964	-0.018
710.351	-0.041
711.739	0.031
713.126	-0.048
714.514	-0.048
715.901	-0.047
717.288	-0.051
718.676	-0.064
720.063	-0.049
721.451	-0.055
722.838	-0.04
724.225	-0.042
725.613	-0.059
727	0.009
728.388	-0.055
729.775	-0.007
731.162	0.032
732.55	-0.037
733.937	-0.022
735.325	-0.047
736.712	-0.053
738.099	0.017
739.487	-0.032
740.874	-0.036
742.262	-0.04
743.649	-0.006
745.036	-0.056
746.424	-0.035
747.811	-0.023
749.199	-0.05
750.586	-0.049
751.973	-0.056
753.361	-0.073
754.748	-0.019
756.136	-0.036
757.523	-0.041
758.91	0.016
760.298	-0.029
761.685	-0.038
763.073	-0.04
764.46	-0.042
765.848	-0.029
767.235	-0.057
768.622	-0.069
770.01	-0.056
771.397	-0.044
772.785	-0.055
774.172	-0.065
775.559	-0.064
776.947	-0.018
778.334	-0.038
779.722	-0.058
781.109	-0.066
782.496	-0.043
783.884	-0.066
785.271	-0.063
786.659	-0.051
788.046	-0.049
789.433	-0.063
790.821	-0.075
792.208	-0.067
793.596	-0.051
794.983	-0.046
796.37	-0.089
797.758	-0.064
799.145	-0.015
800.533	-0.028
801.92	-0.039
803.307	-0.073
804.695	-0.077
806.082	-0.041
807.47	-0.09
808.857	-0.045
810.244	-0.035
811.632	-0.06
813.019	-0.065
814.407	-0.038
815.794	-0.064
817.181	-0.049
818.569	-0.001
819.956	-0.083
821.344	-0.092
822.731	-0.069
824.119	-0.061
825.506	-0.048
826.893	-0.066
828.281	-0.055
829.668	-0.07
831.056	-0.071
832.443	-0.108
833.83	-0.093
835.218	-0.049
836.605	-0.099
837.993	-0.071
839.38	-0.081
840.767	-0.079
842.155	-0.067
843.542	-0.071
844.93	-0.073
846.317	-0.078
847.704	-0.073
849.092	-0.08
850.479	-0.067
851.867	-0.065
853.254	-0.063
854.641	-0.058
856.029	-0.041
857.416	-0.054
858.804	-0.022
860.191	-0.06
861.578	-0.059
862.966	-0.059
864.353	-0.046
865.741	-0.068
867.128	-0.056
868.515	-0.024
869.903	-0.018
871.29	-0.091
872.678	-0.053
874.065	-0.098
875.453	-0.04
876.84	-0.054
878.227	-0.028
879.615	-0.043
881.002	-0.116
882.39	-0.096
883.777	-0.065
885.164	-0.032
886.552	-0.103
887.939	-0.106
889.327	-0.074
890.714	-0.066
892.101	-0.096
893.489	-0.114
894.876	-0.083
896.264	-0.064
897.651	-0.057
899.038	-0.073
900.426	-0.08
901.813	-0.069
903.201	-0.049
904.588	-0.069
905.975	-0.08
