X	Z
µm	µm
0	-0.061
1.388	-0.046
2.776	-0.004
4.165	-0.003
5.553	-0.024
6.941	-0.01
8.329	0.004
9.717	-0.005
11.105	-0.031
12.494	-0.034
13.882	-0.011
15.27	-0.005
16.658	-0.06
18.046	-0.079
19.434	-0.029
20.823	-0.016
22.211	-0.04
23.599	-0.039
24.987	-0.045
26.375	-0.062
27.763	-0.045
29.152	-0.039
30.54	-0.054
31.928	-0.035
33.316	-0.033
34.704	-0.059
36.092	-0.054
37.481	-0.036
38.869	-0.052
40.257	-0.048
41.645	-0.042
43.033	-0.046
44.421	-0.034
45.81	-0.042
47.198	-0.054
48.586	-0.042
49.974	-0.036
51.362	-0.048
52.75	-0.028
54.139	-0.027
55.527	-0.041
56.915	-0.032
58.303	-0.037
59.691	-0.02
61.079	-0.021
62.468	-0.043
63.856	-0.052
65.244	-0.045
66.632	-0.031
68.02	-0.044
69.408	-0.037
70.797	-0.044
72.185	-0.053
73.573	-0.056
74.961	-0.052
76.349	-0.04
77.738	-0.055
79.126	-0.094
80.514	-0.108
81.902	-0.062
83.29	-0.062
84.678	-0.062
86.067	-0.062
87.455	-0.048
88.843	-0.005
90.231	0.021
91.619	0.049
93.007	0.076
94.396	0.089
95.784	0.093
97.172	0.139
98.56	0.166
99.948	0.148
101.336	0.13
102.725	0.11
104.113	0.104
105.501	0.101
106.889	0.094
108.277	0.086
109.665	0.066
111.054	0.056
112.442	0.063
113.83	0.087
115.218	0.095
116.606	0.065
117.994	0.062
119.383	0.082
120.771	0.075
122.159	0.083
123.547	0.094
124.935	0.096
126.323	0.091
127.712	0.094
129.1	0.109
130.488	0.103
131.876	0.092
133.264	0.083
134.652	0.094
136.041	0.101
137.429	0.099
138.817	0.098
140.205	0.102
141.593	0.111
142.981	0.117
144.37	0.102
145.758	0.104
147.146	0.102
148.534	0.096
149.922	0.096
151.311	0.102
152.699	0.107
154.087	0.101
155.475	0.104
156.863	0.112
158.251	0.109
159.64	0.121
161.028	0.135
162.416	0.12
163.804	0.131
165.192	0.127
166.58	0.126
167.969	0.126
169.357	0.147
170.745	0.139
172.133	0.124
173.521	0.125
174.909	0.113
176.298	0.102
177.686	0.105
179.074	0.092
180.462	0.073
181.85	0.041
183.238	0.075
184.627	0.101
186.015	0.102
187.403	0.149
188.791	0.113
190.179	0.087
191.567	0.093
192.956	0.108
194.344	0.107
