Co%,Ir%,Ti%,Overpotential,Dissolution_Ir193 (S001),Dissolution_Co59 (S001),Dissolution_Ti47 (S001),Overpotential_std,Dissolution_Ir193 (S001)_std,Dissolution_Co59 (S001)_std,Dissolution_Ti47 (S001)_std
20.68,59.07,20.25,390.76451469486733,2.1597845819014037,6.09927455624652,2.941794561345916,0.7324470940788141,0.07698222802655241,0.36693115567644724,0.29995222933219756
18.61,58.87,22.51,387.18196925313566,1.9698665920069713,5.625266417797016,3.1457015744476493,4.557418809907462,0.1613720099878022,0.6755305294242967,0.39487453073630974
20.94,56.41,22.65,382.8190785415786,1.939040258886376,5.657391035085203,3.258610298398945,4.037711027830358,0.1417655560233683,0.5967301194882065,0.35133602157510424
20.83,54.17,25.0,379.00146084750844,1.7617525426655882,5.26190027245539,3.4955429487882217,3.803555973195914,0.13355297777324965,0.5639069227871892,0.3386347564019522
18.14,53.54,28.32,378.859850555058,1.551865347094105,4.514780418729491,3.634648665602699,3.2398732111646686,0.11798173387680821,0.5060778432039642,0.3282014564361914
17.27,53.64,29.09,379.54577884063355,1.5181989695253475,4.3427146531149665,3.6265402781870275,3.514909992334914,0.12826549363826306,0.5488438795441786,0.34893551981961607
16.27,52.63,31.1,380.1581219025687,1.4087636192887898,3.8991070049771226,3.63971348781939,0.740855887966963,0.08406305283630941,0.40655357658751234,0.33266960107187094
18.81,49.54,31.65,375.8519965581534,1.313660237369514,3.68417072308583,3.559159426960845,4.034476458463361,0.1415967617407636,0.5972681995164708,0.3539781136630587
17.06,50.71,32.23,377.79549640521117,1.252707815731777,3.6276499547530467,3.5237030529631532,3.7430994538378113,0.1362144673869455,0.5817428519418871,0.36036101666673837
15.12,49.76,35.12,377.37782944341467,0.9425118987740342,3.2742077819017865,3.2599949031967164,4.1809997351709365,0.15196231223832896,0.6434969389572903,0.38855073354011777
15.38,48.21,36.41,376.0358689923807,0.7914998613036801,3.106057079692942,3.1185461206554663,3.22437120935139,0.12708799378199673,0.5504096110162073,0.3561716574165556
21.85,58.4,19.75,381.84976365735116,2.115650101809468,6.274582821616434,3.1341212764147124,2.6221003087752055,0.0994913046717729,0.4330389497736637,0.3006846074088337
21.05,58.33,20.61,387.2552791685326,2.1066071243385074,6.051759053111741,3.0445535165566886,2.614980329200207,0.10480424150748406,0.4585720032523196,0.3135860051253076
21.03,56.65,22.32,383.251300140156,1.9629410207862539,5.717467509640139,3.229676699678113,3.9352504923794736,0.13894695842266377,0.5859426309974487,0.347818537186542
19.65,56.77,23.58,383.8002500690665,1.8868624838488306,5.470319483507371,3.2876040701616476,4.30785501065678,0.15055117187179848,0.6318714672723725,0.3685806943919773
20.51,54.27,25.21,379.19441463054505,1.7463572151334525,5.211140470042285,3.5047830624683316,3.661071705228806,0.12949996900084967,0.5485438349574121,0.334528834292781
19.23,53.85,26.92,379.1295780526765,1.597405163126217,4.822327168068256,3.6246952104465806,0.7012600272623817,0.06780705094723845,0.3259393201693873,0.27914301248505113
18.64,53.64,27.73,378.58940085754233,1.578826713031473,4.6552394722678585,3.634807111196693,2.6748933611058696,0.10232810005957761,0.4466116259847599,0.30882735504543324
19.91,50.23,29.86,375.84027151447134,1.4531106815854482,4.119903347851308,3.6565713120570096,3.7814892559973807,0.1338310277231608,0.5664148161738468,0.3416033772266026
16.83,52.4,30.77,379.5260584333864,1.4156444203650183,3.950964958134584,3.637356734837311,2.43067300088062,0.10632629764735797,0.4762938156506661,0.33903393284157024
17.35,48.4,34.25,375.65700259076397,1.024297647210244,3.2379795110270795,3.2967722693203494,3.7057444751059734,0.1335897175544147,0.56827038509279,0.34684150615795273
17.87,46.86,35.27,374.07848250784826,0.9989886753243508,3.1247299109448843,3.1771938708924923,3.16594831813874,0.1161579342182836,0.4976997350829202,0.3151702128178483
16.34,47.52,36.14,375.57498010405163,0.737696336623404,3.011027919154472,3.0845881260607295,0.7373656758771493,0.08040070760651315,0.3846951383113225,0.30635459164411144
15.82,44.9,39.29,373.2102083820299,0.8935528895035122,3.2318992713809536,2.9754251228779203,3.7002199539834955,0.13468817769068436,0.5699239685776356,0.34777129936228
21.37,59.83,18.8,377.55581060962385,2.1305249279687013,6.458653142156204,3.1478888943592107,0.7284889309272534,0.07517222282396148,0.3582975319796825,0.29993378831695994
21.99,57.26,20.75,381.87833562798204,2.0514752569493684,6.037286700485374,3.1810953119413057,3.2673692280572744,0.11873339706552248,0.5066691269984727,0.3196279231497015
22.57,57.08,20.35,379.2724329947447,2.056299438407001,6.123655054199591,3.2253952678863644,3.1254471697509874,0.1147300911819229,0.49133302444705,0.31414549079724435
22.08,54.55,23.38,378.56776815008635,1.87480773270961,5.578376185959726,3.3991263853572335,4.066689411133844,0.14188275633483446,0.5964450037213812,0.3482973858701689
22.22,55.13,22.65,378.99473185045815,1.91805511121468,5.686344464883416,3.344162073141184,3.894512275995746,0.1374869048463063,0.5800425023892336,0.34326555979396595
19.56,54.22,26.22,378.9355386128379,1.672977663521476,4.995882052541398,3.5734163152620995,2.5418952053550656,0.09972601029448605,0.43773961684036056,0.3053859555693447
18.94,54.19,26.87,377.7431925730196,1.6552099051689335,4.888080086738974,3.618511356596581,0.7039556360410559,0.06898515750443533,0.3317606766065177,0.2833368234437593
18.5,51.54,29.96,377.7043718202162,1.4405976848353528,4.09908778640503,3.6435581882039987,3.690390318275683,0.13132906639204944,0.5575949156376605,0.34254867912195186
18.35,51.38,30.28,377.6817756936281,1.4195920819423755,4.023199167859197,3.6353394842542825,3.695311010417714,0.13198414963567542,0.5609246093518091,0.3449686957462186
19.53,49.3,31.16,375.23581145530324,1.3661671750228683,3.7818493137472116,3.6005336361189126,3.9409034078663066,0.13893810273019894,0.586906428629871,0.349538250845399
18.87,48.58,32.55,375.07390768287814,1.2469275002251088,3.4972966113798134,3.481314553114793,4.037682798052261,0.14168945044359219,0.5973706101464415,0.35251777362682113
17.22,48.33,34.45,375.66053750568557,0.9962363632714905,3.21096378149588,3.274407289715136,3.598189987250217,0.13098115405572455,0.5588174898512729,0.34451708698946737
18.0,45.0,37.0,371.5686259006925,1.016040426638193,3.1891432586998296,3.0613771503435987,0.7189782085927673,0.06880356942067892,0.3233586551733588,0.2584192360762007
17.01,44.33,38.66,371.51290756690184,0.9667646541377419,3.308308328985451,2.9776742528893547,2.3976642208607237,0.09787415276269132,0.4289898339170103,0.2935218129861635
15.34,43.92,40.74,375.87072742287194,0.8929188531019262,3.1924304807955304,2.9485799569458986,4.567389464660586,0.16086304942334043,0.670379576245152,0.38904508883607536
25.85,56.36,17.8,369.00377543099995,2.2411499269876733,6.777382447102135,3.372756401907713,3.542430433590557,0.12916934303008185,0.5515607503816639,0.3462114986861366
22.73,58.68,18.6,374.85827150320057,2.125160228854247,6.568422716948283,3.287660245108204,0.7304994260164859,0.0754052439087551,0.3582226858338042,0.2921914190013678
22.75,57.08,20.17,378.4467813946338,2.0620610158491783,6.16429624724151,3.2377310464965814,3.0686433737643024,0.11322994029888739,0.4857250403060333,0.31253133464015714
24.05,54.43,21.52,374.7203227998349,1.982569679580734,5.929475727303339,3.361499651333473,3.0280332960648852,0.11552010903501737,0.49949023460041886,0.32148144940544204
22.84,54.74,22.41,377.48752777227486,1.9294021775633052,5.7453286768836325,3.3611249144927786,3.7153198142324007,0.1329274269106622,0.5633048198546776,0.33839964553184415
22.55,53.19,24.26,376.74033443578486,1.828224740690865,5.5013247785945785,3.499341476041626,4.09711315886335,0.14273444887949963,0.5998522806737159,0.3495840464973877
22.65,52.14,25.21,375.8376462080469,1.7765685255392436,5.388071962365073,3.5820432654357712,3.9134586617886407,0.138274636154868,0.5838312532632358,0.34583426988931226
21.62,50.9,27.48,375.82729274275624,1.5985363008722195,4.840931972088052,3.6581038682295928,0.7370674979776202,0.07991984442447875,0.3817445356844625,0.30029323450486484
21.08,50.67,28.25,375.7827703361035,1.5545189343344705,4.603361268807551,3.6733821666810766,2.7417523315592303,0.10948018480310093,0.47882672035713697,0.31844996526144376
20.36,49.77,29.86,375.1991525860188,1.4638643115360257,4.125404649783626,3.667550415794984,3.7041660021673244,0.1321170393044599,0.5605536305819989,0.3402790586687642
20.36,48.87,30.77,374.40021282927364,1.4166967527425112,3.8710500574855615,3.6432055651088464,3.671466850294075,0.13216743555060145,0.5621933741025649,0.34260672773693773
18.72,48.77,32.51,375.29264048985556,1.243663801436055,3.50711421402716,3.4842150478710248,4.054971070511969,0.14219883811271083,0.5994303661785846,0.35369349807982814
