Spot,Position [°],Intensity [a.u.]
247,39.64733,1301.37947
248,39.64717,1271.61711
249,39.64545,1294.59011
250,39.64144,1345.82675
251,39.6422,1272.35833
252,39.63925,1286.07934
253,39.6372,1218.55976
254,39.63763,1268.72068
255,39.63434,1223.96558
256,39.63272,1129.1312
257,39.63065,1100.52824
258,39.63016,1067.01406
259,39.62797,1062.60261
260,39.62475,1027.75722
261,39.65377,1084.60157
262,39.65061,1161.51372
263,39.64828,1169.87094
264,39.6462,1213.11217
265,39.64698,1282.43238
266,39.64459,1310.9443
267,39.64234,1255.86008
268,39.6409,1276.11167
269,39.63918,1273.09194
270,39.636,1208.04884
271,39.63656,1265.28872
272,39.63506,1245.03895
273,39.63345,1228.65938
274,39.63156,1195.37915
275,39.62975,1156.21675
276,39.62633,1145.4572
277,39.62728,1097.41143
278,39.62471,1040.58955
279,39.62118,957.80483
280,39.64722,1143.31878
281,39.64601,1161.35929
282,39.64489,1176.52778
283,39.64178,1204.78683
284,39.64133,1236.78033
285,39.63699,1238.71031
286,39.63636,1242.39919
287,39.63469,1289.41339
288,39.63518,1265.3957
289,39.63274,1208.36628
290,39.6311,1220.38174
291,39.62932,1174.93058
292,39.62633,1160.00864
293,39.62539,1126.32589
294,39.62518,1131.45374
295,39.62065,1084.4677
296,39.62197,1014.76129
297,39.64329,1144.30659
298,39.64294,1133.75604
299,39.63914,1165.12823
300,39.63876,1187.71167
301,39.63585,1219.14548
302,39.63495,1221.38719
303,39.63325,1224.75905
304,39.63181,1215.65326
305,39.62962,1208.49169
306,39.62716,1193.43267
307,39.62622,1167.02696
308,39.62454,1185.90998
309,39.62372,1107.17372
310,39.62003,1039.83826
311,39.61901,1047.81801
312,39.64016,1135.49974
313,39.63554,1177.31408
314,39.63404,1151.88081
315,39.63262,1218.87204
316,39.6312,1176.44204
317,39.62935,1196.70285
318,39.62696,1142.57612
319,39.62546,1116.66935
320,39.62355,1167.34186
321,39.62231,1141.17445
322,39.62051,1107.84358
323,39.61845,1077.70573
324,39.61758,1013.68742
325,39.63172,1126.04696
326,39.63084,1121.33338
327,39.62892,1140.53963
328,39.62682,1197.72007
329,39.62559,1174.6896
330,39.62336,1155.14333
331,39.62093,1178.76
332,39.61902,1150.50094
333,39.61798,1100.24045
334,39.61753,1056.44759
335,39.61628,1011.15785
336,39.62629,1082.99489
337,39.62379,1056.23229
338,39.621,1089.4271
339,39.61903,1096.61076
340,39.61757,1105.04124
341,39.61516,1055.32377
342,39.61336,1071.84711
