spot,Co,Ir,Ti
228,38.7,36.96,24.35
229,37.5,37.07,25.43
230,37.95,35.27,26.79
231,36.77,35.43,27.8
232,35.19,33.8,31.02
233,35.38,32.55,32.08
234,35.75,31.4,32.85
235,32.66,30.65,36.68
236,31.12,30.61,38.27
237,31.25,29.17,39.58
238,28.8,28.8,42.41
239,28.65,28.09,43.26
240,27.01,25.86,47.13
241,27.33,25.58,47.09
242,45.27,39.92,14.81
243,46.03,37.3,16.67
244,44.4,36.93,18.67
245,44.44,36.32,19.23
246,43.93,36.4,19.67
247,44.02,34.19,21.79
248,41.59,34.96,23.45
249,39.91,34.21,25.88
250,40.87,33.91,25.22
251,37.99,33.62,28.38
252,36.57,31.94,31.48
253,36.19,31.43,32.38
254,35.71,31.43,32.86
255,34.16,31.19,34.65
256,30.46,29.95,39.59
257,32.16,27.64,40.2
258,30.6,25.68,43.72
259,29.12,26.92,43.96
260,28.57,25.14,46.29
261,48.36,36.48,15.16
262,47.28,35.98,16.74
263,49.14,33.62,17.24
264,46.29,34.06,19.65
265,45.11,34.47,20.43
266,42.8,34.75,22.46
267,43.97,32.33,23.71
268,42.79,32.75,24.45
269,40.74,32.41,26.85
270,38.99,33.03,27.98
271,38.97,30.05,30.99
272,37.73,30.45,31.82
273,36.41,30.1,33.5
274,34.85,29.8,35.35
275,32.64,30.05,37.31
276,33.87,26.34,39.78
277,33.16,25.67,41.18
278,31.43,25.14,43.43
279,30.0,23.53,46.47
280,50.86,33.19,15.95
281,49.78,31.56,18.67
282,48.28,32.33,19.4
283,46.93,32.89,20.18
284,46.43,31.7,21.87
285,45.41,31.0,23.58
286,45.37,29.96,24.67
287,42.27,31.36,26.36
288,40.54,31.08,28.38
289,40.0,30.48,29.52
290,38.92,29.06,32.02
291,36.41,29.13,34.47
292,36.79,26.94,36.27
293,34.02,27.32,38.66
294,34.54,25.77,39.69
295,32.43,25.41,42.16
296,31.64,23.73,44.63
297,52.63,29.82,17.54
298,50.65,30.74,18.61
299,50.0,29.39,20.61
300,47.79,30.09,22.12
301,46.73,30.37,22.9
302,46.19,29.15,24.66
303,42.99,29.86,27.15
304,44.29,28.77,26.94
305,42.16,27.94,29.9
306,39.42,28.85,31.73
307,39.71,26.96,33.33
308,36.55,27.41,36.04
309,35.11,26.06,38.83
310,34.74,25.79,39.47
311,34.43,24.04,41.53
312,52.61,28.26,19.13
313,51.11,28.0,20.89
314,49.78,28.44,21.78
315,50.22,27.27,22.51
316,46.23,28.3,25.47
317,45.45,28.18,26.36
318,43.98,28.7,27.31
319,42.18,27.01,30.81
320,41.87,26.6,31.53
321,38.66,27.32,34.02
322,38.74,25.65,35.6
323,36.96,25.0,38.04
324,36.07,24.04,39.89
325,52.29,27.06,20.64
326,51.87,25.7,22.43
327,49.3,27.44,23.26
328,49.02,25.49,25.49
329,47.85,26.32,25.84
330,45.93,25.84,28.23
331,45.02,25.12,29.86
332,43.72,24.12,32.16
333,41.24,24.74,34.02
334,38.92,24.86,36.22
335,39.11,22.91,37.99
336,51.4,25.23,23.36
337,50.49,24.76,24.76
338,48.8,24.88,26.32
339,48.99,23.74,27.27
340,45.23,23.12,31.66
341,45.36,23.71,30.93
342,41.71,24.06,34.22
