Spot,TiCoO3,Co3O4 (+Ti2O),IrO2
1,0.0,0.0,0.9482477026020559
2,0.0,0.009103740721178661,0.7269276077739137
3,0.0,0.048361224345460314,0.5440376145766748
4,0.0,0.08028059546972319,0.45562126996600577
5,0.0,0.09501708672472092,0.35874649599164904
6,0.0,0.08653361442537896,0.2850788743971835
7,0.0,0.09982522033673864,0.24919143907717028
8,0.0,0.044162299056054406,0.22885994375993293
9,0.0,0.017188598015803153,0.21377297642295973
10,0.0,0.0,0.1958509755511116
11,0.1536761269723781,0.0,0.19364105563993847
12,0.0,0.0031816218770267424,0.9989016375496768
13,0.0,0.04999796855320361,0.7100325574667145
14,0.0,0.09968249238959839,0.478575273625422
15,0.0,0.13278251029642574,0.33298702539501956
16,0.0,0.1429085954275895,0.25498111647382404
17,0.0,0.15517529881077602,0.20268635753200523
18,0.0,0.1438360637483053,0.18073456379250014
19,0.0,0.1475697877213337,0.1699759264363502
20,0.0,0.09536137933732701,0.16773888344798332
21,0.0,0.0739802513275881,0.15534235432219676
22,0.0637833591037539,0.002109619878684998,0.154842898738557
23,0.17644818786375238,0.0,0.15280023780341195
24,0.25434124427745075,0.0,0.13892165242582938
25,0.0,0.04700301406513572,1.0
26,0.0,0.07836238302252199,0.6732683870028169
27,0.0,0.10944539997682647,0.4487732427666907
28,0.0,0.17643589431059473,0.2873566630893527
29,0.0,0.17155350003235267,0.18989153456995017
30,0.0,0.195777901169361,0.16369583448178796
31,0.0,0.1789165918040903,0.1341398661341747
32,0.0,0.1625421525210255,0.12280596297186824
33,0.0,0.12969222828646712,0.10229083709146782
34,0.0,0.10264750184711184,0.10366574497074617
35,0.0,0.06371813449983522,0.11360109919324728
36,0.12681660555992905,0.017407843792274787,0.11378943353331106
37,0.15287661666264166,0.0,0.11731427289627551
38,0.22056709561610124,0.0,0.11693809292024153
39,0.323217789849277,0.0,0.10960313317968476
40,0.0,0.05961408529969861,0.9870162929057757
41,0.0,0.0991461904353466,0.687493952286842
42,0.0,0.17461835133797107,0.43523613937449784
43,0.0,0.19830472002901212,0.2619830243746054
44,0.0,0.20681753544874665,0.16569353464032358
45,0.0,0.253730413467138,0.12009218914021312
46,0.0,0.21503406059128646,0.09925641228641188
47,0.0,0.24017660044150116,0.08993896330223221
48,0.0,0.1958459922564258,0.09395464483918704
49,0.0,0.1536784987156742,0.08872703823816311
50,0.025832102312228773,0.12048759237440017,0.07496146568222113
51,0.08717354418032813,0.10254555331344022,0.07873420019665454
52,0.1960627188264161,0.02205850265818575,0.08172561904147535
53,0.19456223216796667,0.0,0.08938904902093023
54,0.28107661812627616,0.0,0.08756056265479703
55,0.3557692810314023,0.0,0.08934463803642605
56,0.3056889379554909,0.0,0.10368675924677016
57,0.0,0.0889195110683755,0.9652847214484406
58,0.0,0.13254159575412572,0.7556487473536673
59,0.0,0.1650495597779554,0.46293197776591855
60,0.0,0.24291747360247748,0.25085211667517016
61,0.0,0.27226172257659687,0.1295963841761524
62,0.0,0.27926351777365477,0.09755052955975581
63,0.0,0.290842237841791,0.06179510543302114
64,0.0,0.2631629476142539,0.05294723999476108
65,0.0,0.28318195292761583,0.06891711236480001
66,0.0,0.23627366447420894,0.05863068533907266
67,0.0,0.18485819748973367,0.06282333884591551
68,0.06832820538554744,0.18167883277581406,0.06029692194613699
69,0.16734098395961208,0.10236294881807419,0.07114835199205563
70,0.2583353981033389,0.04422850917386325,0.060555507499653015
71,0.33791320229623334,0.0,0.0691638468440467
72,0.3232773806798164,0.0,0.08653367317816002
73,0.33499377432638844,0.0,0.07891508179929119
74,0.3367828060590284,0.0,0.09222237209147759
75,0.40567451070178134,0.0,0.08746557079660722
76,0.0,0.17189756692864808,0.7902105117318304
77,0.0,0.23226546946735468,0.49866864787306203
78,0.0,0.26914337650533976,0.2674035469165704
79,0.0,0.31645125806747715,0.11710309163983681
80,0.0,0.36980570339973917,0.0600602669888204
81,0.0,0.36695332638127104,0.04507501119132374
82,0.0,0.36155464366166035,0.03856357893646261
83,0.0,0.3277303021137581,0.02892108064203989
84,0.0,0.27722003277400836,0.03033929992161186
85,0.0,0.2594913708654415,0.039353996719818124
86,0.015012184756665551,0.24081146518476393,0.04203123992047807
87,0.0939601034162273,0.17618715493619005,0.0457593190983605
88,0.18360039434493475,0.12910363538690034,0.05304901262224933
89,0.32289500618385547,0.07018866874024718,0.056584847827319346
90,0.41268531964207866,0.0,0.05822060151654654
91,0.5061274010138804,0.0,0.06906586167328371
92,0.47525046444256963,0.0,0.08584050750942711
93,0.44847170428729893,0.0,0.07735190066796076
94,0.42968203587368,0.0,0.07894538145309321
95,0.0,0.19126696069978077,0.7664535672466607
96,0.0,0.2667318986804625,0.5697237795592671
97,0.0,0.32892148232415575,0.329348256890239
98,0.0,0.38156785558971407,0.14929439681208548
99,0.0,0.4298286361769075,0.05390662721847223
100,0.0,0.4594185397358518,0.030266788451726784
101,0.0,0.45204529073013217,0.025475350254223872
102,0.0,0.3833306999763751,0.01769371497213409
103,0.0,0.3553245725309269,0.014334729560928693
104,0.0,0.2837007242484023,0.009901877992090812
105,0.03601403207241227,0.27642415706243767,0.023291698188080703
106,0.11032928638412251,0.2513059193350097,0.02273164329683691
107,0.1773901411675412,0.23143558583163676,0.02267330424566568
108,0.22594673625202952,0.1962385881595243,0.03618603352119119
109,0.4128369103513455,0.10596079157205393,0.04613702627468688
110,0.5049089253473258,0.0,0.044954118016174154
111,0.5218936188675025,0.0,0.05609638808578517
112,0.49686181095488563,0.0,0.06454351616730883
113,0.5299948354613533,0.0,0.05930809030078759
114,0.47923886827603734,0.0,0.06355657825032206
115,0.373723371001011,0.0,0.05983747901015919
116,0.0,0.28933309858837025,0.664925963773343
117,0.0,0.34213935424068287,0.43121740343695814
118,0.0,0.3938207150391769,0.2183102884918005
119,0.0,0.45390030261033393,0.06920404275574374
120,0.0,0.5250041005129781,0.035513821040470565
121,0.0,0.5439650230004922,0.0
122,0.0,0.484720059107578,0.0
123,0.0,0.428194675803663,0.0
124,0.0,0.3656712577364266,0.0
125,0.0,0.36310283183683423,0.0
126,0.07299484696133811,0.29709653585654083,0.024355240471736286
127,0.13107917948653613,0.29444391777305284,0.009297106676284361
128,0.21038804085212798,0.27490012053251,0.02318564939977363
129,0.3657604155885431,0.1977128166235549,0.022445079433963372
130,0.43603943658437905,0.09022091607717092,0.04357413983192489
131,0.5716540532742026,0.0,0.055148118880203
132,0.567016423023806,0.0,0.05178675103654138
133,0.608557504628744,0.0,0.05628362284163836
134,0.6157554496859982,0.0,0.05986814519203138
135,0.5343844319477944,0.0,0.05506271783984972
136,0.47174610542558826,0.0,0.0601320454025651
137,0.0,0.34372004556459934,0.5439067640556184
138,0.0,0.4279886720507532,0.3236389102289677
139,0.0,0.4982233869183856,0.11872259591795245
140,0.0,0.5437952843348367,0.02411834116237291
141,0.0,0.6443673247049513,0.0
142,0.0,0.6497297423373076,0.0
143,0.0,0.5861436518792389,0.0
144,0.0,0.45145594544286305,0.0
145,0.0,0.4352650887591773,0.0
146,0.0382249041580809,0.38973013357891273,0.0
147,0.1350129583920094,0.3540154179287971,0.0
148,0.1969254790527776,0.3284479295042819,0.005480327705416992
149,0.25309323455891813,0.29774223498271774,0.010858271903228769
150,0.3833729037357178,0.19723219135927872,0.029257431234446993
151,0.488633310437909,0.12649924535513454,0.03672586828056306
152,0.6125890334053651,0.0,0.04748615501302885
153,0.6626761719268642,0.0,0.05807496769665941
154,0.681885851150469,0.0,0.05182603062806296
155,0.6265915717656555,0.0,0.044202979824340204
156,0.522658629222716,0.0,0.053008511270493795
157,0.5169543753783234,0.0,0.05669230163989545
158,0.0,0.4272128098520656,0.4127013216513507
159,0.0,0.4774856256329463,0.2319474540471541
160,0.0,0.5670373680876262,0.08345880810936025
161,0.0,0.668024726469451,0.03204011234329703
162,0.0,0.7903704907524028,0.0
163,0.0,0.7653262879748884,0.0
164,0.0,0.6761422373903585,0.0
165,0.0,0.5725799073359307,0.0
166,0.0,0.48632076394437757,0.0
167,0.09289008209943724,0.44292740512014883,0.0
168,0.11186584117684574,0.376471482248917,0.0
169,0.1693858903549627,0.36579645505010155,0.0
