Spot,Position [°],Intensity [a.u.]
245,39.83635,2672.88563
246,39.83106,2503.26627
247,39.83077,2406.77421
248,39.82788,2433.19738
249,39.82778,2435.06028
250,39.82408,2292.11949
251,39.82126,2367.39026
252,39.81795,2271.71211
253,39.81599,2318.14817
254,39.80957,2323.55149
255,39.80282,2332.43252
256,39.79869,2410.47678
257,39.79297,2346.1751
258,39.78791,2343.77253
259,39.78298,2274.13102
260,39.77889,2128.81838
261,39.84845,2495.78524
262,39.84736,2593.37493
263,39.84019,2603.08381
264,39.83617,2616.36504
265,39.82904,2587.34031
266,39.82795,2495.99401
267,39.82425,2370.9463
268,39.82234,2384.77017
269,39.81925,2340.49935
270,39.81626,2327.90626
271,39.81475,2451.24317
272,39.80984,2359.24869
273,39.80571,2361.20757
274,39.8017,2384.07079
275,39.79761,2394.53392
276,39.79297,2348.73231
277,39.78835,2246.80484
278,39.78361,2258.21722
279,39.78071,2139.20901
280,39.84684,2550.98605
281,39.84426,2571.00796
282,39.83705,2551.63488
283,39.82993,2619.9592
284,39.82692,2590.6719
285,39.82132,2507.86754
286,39.81939,2450.04684
287,39.81411,2370.84062
288,39.81278,2451.64186
289,39.80897,2345.37163
290,39.8079,2443.55592
291,39.80388,2465.67051
292,39.8015,2451.70601
293,39.79703,2330.2916
294,39.79118,2376.74383
295,39.78744,2362.12694
296,39.78231,2228.43019
297,39.84415,2660.65998
298,39.83946,2678.28108
299,39.83442,2669.12294
300,39.82973,2631.18318
301,39.82315,2477.99461
302,39.81837,2463.04433
303,39.81394,2444.5145
304,39.80936,2515.27456
305,39.80637,2441.01986
306,39.80459,2391.18055
307,39.80184,2393.85975
308,39.80121,2376.88863
309,39.79828,2367.82415
310,39.79126,2283.5799
311,39.78864,2277.02134
312,39.84046,2649.2355
313,39.8377,2684.09741
314,39.83155,2617.98484
315,39.82536,2544.15069
316,39.8187,2534.39295
317,39.81452,2575.46585
318,39.81014,2436.2781
319,39.80584,2464.00198
320,39.80308,2450.61262
321,39.80189,2446.77035
322,39.7993,2459.26714
323,39.795,2391.89163
324,39.79083,2252.40105
325,39.8375,2565.40141
326,39.83035,2583.12342
327,39.82712,2665.44023
328,39.82079,2677.21366
329,39.81436,2562.99128
330,39.81084,2531.47176
331,39.80643,2479.69272
332,39.80289,2399.18431
333,39.79987,2434.18044
334,39.79773,2473.55651
335,39.79193,2310.36202
336,39.82413,2575.1776
337,39.82272,2520.07657
338,39.81594,2502.97791
339,39.81158,2586.10364
340,39.80649,2439.66732
341,39.80162,2489.0244
342,39.79878,2473.73583
