Spot,Ti,Co,Ir,O
313,9.502948,15.396941,8.387259,66.712853
314,10.302441,15.057183,8.141953,66.498424
315,10.744648,14.718684,8.010319,66.526349
316,11.35234,14.425977,7.767441,66.454241
317,11.818304,14.167535,7.523686,66.490475
318,12.634671,13.825341,7.237561,66.302427
319,13.2397,13.524542,6.962803,66.272955
320,13.617248,13.256354,6.75588,66.370517
321,14.238733,12.94465,6.458082,66.358535
322,15.124041,12.541345,6.055504,66.27911
323,15.727905,12.210209,5.717651,66.344235
324,16.529852,11.680402,5.375039,66.414708
325,9.640433,15.707791,7.923676,66.7281
326,10.428252,15.355826,7.681152,66.53477
327,10.770619,15.050767,7.548785,66.629828
328,11.506556,14.692979,7.331736,66.468729
329,11.7336,14.494727,7.105213,66.66646
330,12.758418,14.085401,6.797078,66.359103
331,13.153092,13.830673,6.56675,66.449485
332,13.819516,13.46354,6.337964,66.378981
333,14.625366,13.091285,5.973964,66.309385
334,15.243074,12.755526,5.652433,66.348966
335,15.783071,12.430591,5.360143,66.426195
336,10.682796,15.333259,7.191425,66.79252
337,11.369616,15.013133,6.941168,66.676083
338,12.201906,14.632123,6.688892,66.477079
339,12.873435,14.279191,6.455724,66.391651
340,13.209232,14.048975,6.222597,66.519197
341,13.761489,13.720045,6.003782,66.514683
342,14.655781,13.277668,5.679023,66.387528
