Spot,Ti,Co,Ir
188,32.877118,36.720525,30.402357
189,34.645721,35.828101,29.526179
190,36.472697,34.899907,28.627397
191,38.342136,33.957568,27.700296
192,40.256972,32.993946,26.749083
193,42.226372,32.000573,25.773055
194,44.211652,30.998764,24.789584
195,46.215938,29.974782,23.80928
196,48.236708,28.921867,22.841425
197,50.233611,27.867234,21.899156
198,52.223035,26.800043,20.976922
199,54.211584,25.72241,20.066006
200,18.806607,44.461448,36.731945
201,20.218182,43.918007,35.863811
202,21.667952,43.336159,34.995889
203,23.1524,42.714385,34.133215
204,24.677905,42.042058,33.280037
205,26.234832,41.325863,32.439305
206,27.839436,40.552974,31.607589
207,29.479651,39.736183,30.784166
208,31.159658,38.878173,29.962169
209,32.884423,37.988182,29.127395
210,34.657332,37.059796,28.282872
211,36.479848,36.10505,27.415101
212,38.352485,35.119204,26.528311
213,40.27709,34.113076,25.609834
214,42.234037,33.088207,24.677756
215,44.220305,32.047065,23.732629
216,46.218704,30.987162,22.794134
217,48.228712,29.899153,21.872135
218,50.228807,28.802007,20.969186
219,52.217284,27.694931,20.087785
220,54.189703,26.581446,19.228851
221,18.898003,46.114493,34.987504
222,20.303515,45.526785,34.169701
223,21.740221,44.907645,33.352134
224,23.220253,44.229283,32.550464
225,24.738282,43.50785,31.753867
226,26.28841,42.736701,30.97489
227,27.876045,41.924503,30.199451
228,29.512702,41.066791,29.420507
229,31.189337,40.170309,28.640354
230,32.916559,39.241254,27.842188
231,34.689402,38.276727,27.033871
232,36.511033,37.28406,26.204907
233,38.382558,36.260263,25.357179
234,40.297908,35.218046,24.484047
235,42.250647,34.158004,23.591349
236,44.229337,33.077303,22.693359
237,46.231881,31.97089,21.797229
238,48.233083,30.855125,20.911792
239,50.227602,29.724283,20.048116
240,52.210865,28.583873,19.205263
241,54.171217,27.437087,18.391695
242,20.411476,47.137,32.451524
243,21.844555,46.466159,31.689286
244,23.31192,45.744032,30.944048
245,24.818794,44.974897,30.20631
246,26.361615,44.155472,29.482913
247,27.946074,43.287514,28.766412
248,29.578258,42.385236,28.036506
249,31.248592,41.450693,27.300715
250,32.968365,40.482112,26.549523
251,34.74522,39.472287,25.782493
252,36.564362,38.436451,24.999187
253,38.424688,37.380963,24.194349
254,40.336092,36.298791,23.365117
255,42.28311,35.195142,22.521748
256,44.259333,34.075755,21.664912
257,46.241991,32.946531,20.811478
258,48.239166,31.79338,19.967454
259,50.226326,30.630888,19.142786
260,52.206009,29.454071,18.33992
261,20.543178,48.730519,30.726304
262,21.968688,48.014135,30.017178
263,23.434882,47.241514,29.323604
264,24.931235,46.421586,28.647178
265,26.469374,45.55117,27.979456
266,28.047048,44.639426,27.313526
267,29.670984,43.686047,26.642969
268,31.33765,42.707268,25.955082
269,33.05661,41.689599,25.25379
270,34.819844,40.64782,24.532336
271,36.641109,39.56655,23.792341
272,38.492871,38.468822,23.038307
273,40.391748,37.350426,22.257826
274,42.32446,36.21214,21.463399
275,44.289239,35.061953,20.648807
276,46.270565,33.893229,19.836207
277,48.258355,32.707701,19.033944
278,50.239021,31.512116,18.248863
279,52.207166,30.308422,17.484412
280,22.120801,49.53463,28.344569
281,23.579441,48.7152,27.705359
282,25.074137,47.842981,27.082883
