Spot,Ti,Co,Ir
209,34.331307,36.631934,29.03676
210,36.758162,35.442544,27.799294
211,39.121687,34.194916,26.683397
212,41.365244,32.966313,25.668443
213,43.436931,31.820194,24.742875
214,45.280695,30.821934,23.89737
215,46.866386,30.002046,23.131568
216,48.185111,29.371761,22.443127
217,49.247106,28.924159,21.828735
218,50.079691,28.633132,21.287177
219,50.70831,28.482095,20.809596
220,51.165448,28.444588,20.389964
221,13.986754,38.708385,47.304861
222,16.069393,39.483224,44.447384
223,18.215394,40.072904,41.711702
224,20.424813,40.444309,39.130878
225,22.69247,40.573445,36.734085
226,25.014366,40.443807,34.541827
227,27.38745,40.048374,32.564175
228,29.798536,39.398895,30.802569
229,32.233237,38.520795,29.245968
230,34.670074,37.459583,27.870343
231,37.071811,36.277558,26.650631
232,39.392761,35.039995,25.567244
233,41.575178,33.825218,24.599604
234,43.566494,32.699967,23.733538
235,45.318697,31.720516,22.960787
236,46.799781,30.925943,22.274276
237,48.008594,30.321507,21.669899
238,48.963555,29.895915,21.14053
239,49.693609,29.626154,20.680237
240,50.228151,29.490015,20.281833
241,50.600399,29.461746,19.937855
242,16.438714,40.337465,43.223821
243,18.570868,40.903443,40.525689
244,20.771648,41.258557,37.969795
245,23.039581,41.371972,35.588447
246,25.367443,41.235386,33.397171
247,27.746739,40.837843,31.415418
248,30.16246,40.193848,29.643692
249,32.596868,39.325262,28.077869
250,35.013389,38.285526,26.701085
251,37.383827,37.122139,25.494035
252,39.65207,35.911997,24.435933
253,41.764039,34.726869,23.509092
254,43.667587,33.631733,22.700679
255,45.319361,32.683562,21.997077
256,46.694587,31.916173,21.389241
257,47.797542,31.33488,20.867578
258,48.649624,30.928362,20.422014
259,49.283696,30.672781,20.043524
260,49.733375,30.543126,19.723499
261,16.816026,41.120085,42.063888
262,18.940724,41.668123,39.391153
263,21.141473,42.004001,36.854526
264,23.41304,42.111148,34.475812
265,25.747487,41.973762,32.278751
266,28.133532,41.584312,30.282156
267,30.551548,40.956834,28.491617
268,32.972947,40.12042,26.906633
269,35.368755,39.110477,25.520768
270,37.692445,37.991999,24.315556
271,39.894895,36.826405,23.2787
272,41.925037,35.685981,22.388982
273,43.733952,34.632287,21.633762
274,45.2849,33.719595,20.995504
275,46.557301,32.979326,20.463373
276,47.559964,32.418337,20.0217
277,48.317909,32.024499,19.657592
278,48.866417,31.774911,19.358672
279,49.238362,31.645429,19.11621
280,19.346859,42.372313,38.280828
281,21.551466,42.698691,35.749843
282,23.830241,42.801409,33.368349
283,26.171255,42.668908,31.159837
284,28.559907,42.298672,29.141421
285,30.969991,41.70435,27.325659
286,33.371992,40.90723,25.720779
287,35.728211,39.952575,24.319214
288,37.996102,38.889013,23.114885
289,40.125819,37.782656,22.091525
290,42.06681,36.698836,21.234354
291,43.7771,35.696881,20.526019
292,45.225192,34.825802,19.949006
293,46.399922,34.113671,19.486407
294,47.311218,33.568538,19.120245
295,47.985412,33.180764,18.833824
296,48.457066,32.930333,18.612602
297,22.014259,43.346948,34.638793
298,24.2982,43.452471,32.249329
299,26.640587,43.334461,30.024952
300,29.024003,42.992796,27.983201
301,31.418563,42.435555,26.145882
302,33.789165,41.694938,24.515897
303,36.098566,40.802956,23.098477
304,38.298885,39.811568,21.889547
305,40.346193,38.775757,20.87805
306,42.192914,37.760706,20.04638
307,43.805135,36.814352,19.380513
308,45.154841,35.988398,18.856761
309,46.238799,35.304432,18.456769
310,47.067978,34.772651,18.159371
311,47.668429,34.386572,17.944999
312,24.814936,44.077068,31.107996
313,27.154509,43.978442,28.867049
314,29.521877,43.671207,26.806915
315,31.890051,43.16646,24.943489
316,34.219907,42.48694,23.293153
317,36.47015,41.668491,21.861359
318,38.600313,40.752072,20.647615
319,40.561219,39.795628,19.643153
320,42.313316,38.853239,18.833444
321,43.829653,37.968876,18.20147
322,45.08894,37.187982,17.723078
323,46.089866,36.532737,17.377397
324,46.844814,36.013693,17.141493
325,27.700623,44.609144,27.690233
326,30.047144,44.340535,25.612322
327,32.379113,43.890064,23.730823
328,34.658858,43.279595,22.061547
329,36.846072,42.536041,20.617887
330,38.897806,41.704226,19.397968
331,40.769633,40.832153,18.398214
332,42.432699,39.961744,17.605557
333,43.857505,39.142124,17.000371
334,45.033357,38.407856,16.558787
335,45.960021,37.781053,16.258926
336,32.875858,44.612249,22.511894
337,35.097949,44.070241,20.83181
338,37.217805,43.405915,19.37628
339,39.188923,42.659155,18.151922
340,40.97692,41.867769,17.155311
341,42.55227,41.073897,16.373833
342,43.894473,40.317479,15.788048
