spot,Co,Ir,Ti
228,37.56,39.82,22.62
229,35.27,37.95,26.79
230,33.33,39.19,27.48
231,30.77,39.42,29.81
232,31.58,38.28,30.14
233,31.84,35.82,32.34
234,29.59,35.71,34.69
235,27.75,36.13,36.13
236,26.18,34.55,39.27
237,28.34,31.55,40.11
238,23.3,33.52,43.18
239,25.15,31.74,43.11
240,24.12,31.76,44.12
241,22.84,29.63,47.53
242,40.44,43.56,16.0
243,40.87,41.3,17.83
244,39.44,43.19,17.37
245,38.86,40.61,20.52
246,39.47,39.04,21.49
247,38.81,39.73,21.46
248,37.96,40.28,21.76
249,37.16,38.53,24.31
250,35.41,36.36,28.23
251,33.49,36.32,30.19
252,31.53,37.93,30.54
253,31.03,38.42,30.54
254,30.0,35.5,34.5
255,28.22,36.14,35.64
256,27.78,33.33,38.89
257,29.19,32.97,37.84
258,26.86,30.86,42.29
259,25.71,31.43,42.86
260,21.56,31.14,47.31
261,42.6,40.36,17.04
262,43.67,40.17,16.16
263,43.05,40.36,16.59
264,40.35,39.47,20.18
265,40.18,38.81,21.0
266,39.82,38.5,21.68
267,38.21,38.21,23.58
268,37.91,37.44,24.64
269,36.15,35.21,28.64
270,34.2,37.31,28.5
271,35.5,34.5,30.0
272,31.34,36.32,32.34
273,32.47,34.02,33.51
274,29.44,33.89,36.67
275,30.69,29.63,39.68
276,29.03,31.72,39.25
277,25.73,31.58,42.69
278,26.16,29.07,44.77
279,25.3,28.92,45.78
280,44.0,38.67,17.33
281,45.09,35.71,19.2
282,42.34,37.84,19.82
283,42.27,35.91,21.82
284,40.54,35.14,24.32
285,40.19,36.45,23.36
286,38.79,35.51,25.7
287,38.35,34.95,26.7
288,35.82,35.32,28.86
289,34.17,35.18,30.65
290,34.98,33.0,32.02
291,32.63,33.68,33.68
292,33.52,30.22,36.26
293,28.74,32.76,38.51
294,30.11,30.68,39.2
295,27.33,29.65,43.02
296,26.9,28.65,44.44
297,47.14,35.24,17.62
298,44.39,36.92,18.69
299,43.81,34.76,21.43
300,42.93,36.1,20.98
301,42.51,34.3,23.19
302,41.18,33.82,25.0
303,38.94,34.62,26.44
304,36.68,34.17,29.15
305,37.37,32.32,30.3
306,35.53,32.49,31.98
307,34.43,32.79,32.79
308,32.97,31.89,35.14
309,31.64,30.51,37.85
310,27.91,30.81,41.28
311,29.76,28.57,41.67
312,45.54,35.21,19.25
313,44.76,34.76,20.48
314,43.63,32.84,23.53
315,41.79,33.83,24.38
316,41.18,32.84,25.98
317,41.21,32.16,26.63
318,39.38,31.09,29.53
319,38.34,30.57,31.09
320,37.44,31.28,31.28
321,36.17,30.85,32.98
322,34.1,29.48,36.42
323,34.09,27.84,38.07
324,29.48,28.9,41.62
325,46.8,32.51,20.69
326,45.54,30.69,23.76
327,44.12,31.86,24.02
328,42.21,31.16,26.63
329,43.56,30.69,25.74
330,40.93,29.02,30.05
331,40.96,28.72,30.32
332,37.77,29.79,32.45
333,36.41,28.26,35.33
334,35.96,26.97,37.08
335,35.59,25.99,38.42
336,45.23,31.66,23.12
337,44.5,30.14,25.36
338,42.35,29.08,28.57
339,40.22,29.05,30.73
340,40.98,28.42,30.6
341,38.86,29.14,32.0
342,35.06,29.31,35.63
