Spot,Position [°],Intensity [a.u.]
321,18.25649,43.06267
322,,
323,,
324,,
325,18.35076,107.25525
326,18.32526,110.89714
327,18.30905,106.02626
328,18.29398,96.69971
329,18.26802,86.61326
330,18.27581,77.80708
331,18.27233,67.7162
332,18.25658,53.76123
333,18.26713,42.21215
334,,
335,,
336,18.31674,99.81522
337,18.30586,93.53842
338,18.28907,83.60121
339,18.28191,75.50446
340,18.27011,63.28032
341,18.27454,52.64124
342,18.27763,38.95851
