	[Co Spot (1,1)] Co2p		[IrCo 20:80 Spot (2,1)] Co2p		[IrCo 40:60 Spot (3,1)] Co2p		[IrCo 60:40 Spot (4,1)] Co2p		[IrCo 80:20 Spot (5,1)] Co2p		[Ir Spot (9,6)] Co2p
774.03	1388.16625902	774.11	5110.951367067	774.08	9810.053965534	774.03	12685.868926198	774.16	16466.121564008	774.04	21585.782602815
774.13	1410.48890382	774.21	5119.923117847	774.18	9806.738876354	774.13	12678.033317064	774.26	16461.622066591	774.14	21577.561756015
774.23	1415.64192293	774.31	5127.194311267	774.28	9807.965822934	774.23	12675.783083014	774.36	16460.153367025	774.24	21627.702169885
774.33	1419.07949676	774.41	5134.401823337	774.38	9821.167828714	774.33	12676.133962331	774.46	16464.363716325	774.34	21611.285782815
774.43	1428.31428749	774.51	5131.361051067	774.48	9805.213481974	774.43	12677.797323631	774.56	16463.206442625	774.44	21628.524785215
774.53	1418.98569082	774.61	5145.339375617	774.58	9795.446291354	774.53	12681.658526864	774.66	16466.545774258	774.54	21583.175489885
774.63	1406.7725162	774.71	5145.185442487	774.68	9826.796499754	774.63	12677.470810814	774.76	16455.796767125	774.64	21604.656557355
774.73	1409.75109404	774.81	5124.502029757	774.78	9837.289240844	774.73	12684.286357714	774.86	16454.160133091	774.74	21608.809655755
774.83	1426.62525464	774.91	5109.581944467	774.88	9831.273583194	774.83	12693.094815298	774.96	16456.805138441	774.84	21624.495222685
774.93	1432.10894276	775.01	5127.441424957	774.98	9824.097515114	774.93	12700.850083931	775.06	16462.322529291	774.94	21593.768768285
775.03	1434.30196	775.11	5134.524797397	775.08	9820.326067844	775.03	12692.509757681	775.16	16462.201415858	775.04	21621.031111085
775.13	1438.90354522	775.21	5134.474714137	775.18	9836.368726264	775.13	12689.341193048	775.26	16460.967092708	775.14	21566.173663885
775.23	1452.69960724	775.31	5125.356073197	775.28	9863.876619374	775.23	12698.925075781	775.36	16465.086991575	775.24	21577.089191615
775.33	1443.59513247	775.41	5125.640596087	775.38	9874.603788424	775.33	12701.538361214	775.46	16466.215562775	775.34	21622.967075615
775.43	1433.22465238	775.51	5152.473972307	775.48	9879.447154484	775.43	12704.120982514	775.56	16467.413510508	775.44	21631.810844955
775.53	1455.96855482	775.61	5160.613999937	775.58	9866.976079044	775.53	12697.009508164	775.66	16463.116819125	775.54	21561.358078555
775.63	1462.90469593	775.71	5152.659706737	775.68	9866.632156464	775.63	12701.554577798	775.76	16468.585774525	775.64	21600.499847615
775.73	1463.66205291	775.81	5157.764628687	775.78	9878.583759244	775.73	12707.429594414	775.86	16471.786749291	775.74	21580.663956015
775.83	1458.47779711	775.91	5181.222702177	775.88	9887.207087644	775.83	12707.007682731	775.96	16467.851539791	775.84	21581.358124685
775.93	1467.28470111	776.01	5183.918375707	775.98	9882.926975514	775.93	12709.075587148	776.06	16457.348959558	775.94	21651.331127085
776.03	1478.01670862	776.11	5187.475499537	776.08	9899.005648934	776.03	12707.875905331	776.16	16458.984587141	776.04	21608.863110285
776.13	1505.86093918	776.21	5171.150969597	776.18	9895.209499374	776.13	12707.954476448	776.26	16467.852471275	776.14	21625.511831215
776.23	1506.13137751	776.31	5182.931097157	776.28	9892.108634444	776.23	12713.775840814	776.36	16458.669462291	776.24	21616.719671755
776.33	1500.41593609	776.41	5180.209942247	776.38	9934.536758714	776.33	12719.809169581	776.46	16468.420047341	776.34	21636.116739215
776.43	1505.82262847	776.51	5200.890144107	776.48	9932.987279974	776.43	12711.145627164	776.56	16464.414470475	776.44	21676.258469885
776.53	1504.99158269	776.61	5207.298415777	776.58	9939.290952934	776.53	12722.635634881	776.66	16463.027388375	776.54	21607.113025885
776.63	1492.57571942	776.71	5210.446177307	776.68	9961.779452994	776.63	12710.971298731	776.76	16476.054461391	776.64	21586.457844285
776.73	1503.95952	776.81	5207.195784907	776.78	9972.951961534	776.73	12729.711119631	776.86	16471.706634791	776.74	21611.862111355
776.83	1533.26198067	776.91	5204.715502377	776.88	9993.922699354	776.83	12730.215327698	776.96	16464.278978125	776.84	21582.044460015
776.93	1542.89304587	777.01	5227.608846157	776.98	10025.353051684	776.93	12730.345402431	777.06	16476.694145341	776.94	21582.737988955
777.03	1529.78892071	777.11	5231.415633067	777.08	10035.257468284	777.03	12729.115960048	777.16	16474.292730758	777.04	21595.601514685
777.13	1549.09374167	777.21	5254.978415107	777.18	10057.269042194	777.13	12719.980225881	777.26	16476.715702125	777.14	21650.209408685
777.23	1571.46650031	777.31	5261.392656177	777.28	10142.637367974	777.23	12736.786184214	777.36	16487.236158891	777.24	21548.886390555
777.33	1562.10435956	777.41	5275.973366177	777.38	10190.547550224	777.33	12759.216268631	777.46	16471.476330991	777.34	21598.885421885
777.43	1594.49397091	777.51	5313.274403157	777.48	10253.037651484	777.43	12748.358315731	777.56	16478.970143225	777.44	21633.419461085
777.53	1642.18696664	777.61	5347.233286797	777.58	10309.151085514	777.53	12766.929385698	777.66	16487.059741675	777.54	21605.947513485
777.63	1663.64097671	777.71	5401.663905287	777.68	10408.137920264	777.63	12770.020243998	777.76	16495.394298358	777.64	21652.310619355
777.73	1699.3909178	777.81	5445.446345907	777.78	10514.644689594	777.73	12807.435330001	777.86	16495.151312208	777.74	21600.402026415
777.83	1752.78069927	777.91	5498.925495357	777.88	10658.247192444	777.83	12826.445637411	777.96	16492.200432675	777.84	21528.350061485
777.93	1803.09192424	778.01	5577.287459557	777.98	10784.080196374	777.93	12843.760736961	778.06	16498.479025375	777.94	21578.762019885
778.03	1890.56642144	778.11	5659.306322907	778.08	10981.591360554	778.03	12868.262306981	778.16	16510.237161525	778.04	21573.811123755
778.13	1977.2892286	778.21	5748.865395507	778.18	11190.875179024	778.13	12894.837196481	778.26	16516.916825108	778.14	21606.848561215
778.23	2079.4375794	778.31	5876.398018667	778.28	11432.556230374	778.23	12932.574584451	778.36	16508.314451825	778.24	21620.977390415
778.33	2191.90912856	778.41	6009.496512287	778.38	11681.382992864	778.33	12989.178348151	778.46	16518.161491408	778.34	21652.011667615
778.43	2349.07777924	778.51	6179.049345957	778.48	11914.065909734	778.43	13024.529032381	778.56	16533.022225375	778.44	21535.733993355
778.53	2482.95749696	778.61	6359.114282087	778.58	12158.195714444	778.53	13075.979491231	778.66	16527.402571408	778.54	21603.318603755
778.63	2666.43980207	778.71	6511.466917907	778.68	12290.926079684	778.63	13139.771720461	778.76	16525.948392558	778.64	21552.634324685
778.73	2898.94295638	778.81	6655.416874087	778.78	12432.596663754	778.73	13218.577199081	778.86	16523.050517175	778.74	21586.460306555
778.83	3130.61493809	778.91	6750.971197417	778.88	12511.472719314	778.83	13291.246541631	778.96	16530.690703375	778.84	21604.378362415
778.93	3356.98198773	779.01	6858.242255067	778.98	12490.476918284	778.93	13367.538506431	779.06	16540.782075408	778.94	21593.907531485
779.03	3531.88022742	779.11	6896.550515597	779.08	12474.271822024	779.03	13419.960083151	779.16	16548.209075208	779.04	21600.876421885
779.13	3623.70426029	779.21	6901.207580137	779.18	12379.604287084	779.13	13449.625494481	779.26	16545.166904175	779.14	21553.225001485
779.23	3684.89633584	779.31	6838.414706797	779.28	12315.448715534	779.23	13442.244284431	779.36	16550.647173691	779.24	21591.761305355
779.33	3687.48282793	779.41	6813.134990577	779.38	12262.953876554	779.33	13447.234831911	779.46	16548.769339841	779.34	21622.861156555
779.43	3631.89585642	779.51	6760.598541667	779.48	12239.380630334	779.43	13413.929331751	779.56	16557.750337158	779.44	21565.304258555
779.53	3580.03028982	779.61	6715.211605307	779.58	12200.608569044	779.53	13420.940409581	779.66	16552.730880625	779.54	21624.254256015
779.63	3539.48960944	779.71	6674.677232687	779.68	12157.736670174	779.63	13406.841324351	779.76	16563.817159691	779.64	21591.105086685
779.73	3493.56050398	779.81	6659.775441647	779.78	12126.647422684	779.73	13385.408811811	779.86	16572.805543741	779.74	21634.836054955
779.83	3445.00686633	779.91	6633.617147737	779.88	12100.374557134	779.83	13372.120848901	779.96	16583.816488625	779.84	21671.731241885
779.93	3394.58599798	780.01	6619.242892707	779.98	12042.266260174	779.93	13376.812187181	780.06	16584.690390408	779.94	21601.281305615
780.03	3352.82384307	780.11	6596.088186447	780.08	11974.141372844	780.03	13345.303094811	780.16	16577.144885791	780.04	21582.196140555
780.13	3345.59724209	780.21	6568.918878247	780.18	11921.139589394	780.13	13349.850833481	780.26	16592.364203625	780.14	21585.907276955
780.23	3299.93924791	780.31	6522.861054887	780.28	11879.481121794	780.23	13342.286344781	780.36	16593.054635408	780.24	21657.864554815
780.33	3262.33028991	780.41	6466.832272197	780.38	11810.306495484	780.33	13335.155422711	780.46	16581.348641725	780.34	21546.749535755
780.43	3207.19638238	780.51	6443.867010467	780.48	11727.430305064	780.43	13321.366793561	780.56	16588.586876941	780.44	21626.504291215
780.53	3171.92278067	780.61	6402.944155467	780.58	11686.468677574	780.53	13289.327550911	780.66	16576.575295108	780.54	21632.247259885
780.63	3123.27050933	780.71	6362.703656307	780.68	11610.664979354	780.63	13263.963533781	780.76	16565.248889658	780.64	21555.045830415
780.73	3041.92815144	780.81	6316.746523577	780.78	11539.075217224	780.73	13245.991252611	780.86	16575.486289541	780.74	21565.792314285
780.83	2995.6933794	780.91	6258.010410107	780.88	11500.581202884	780.83	13247.928134861	780.96	16567.546040558	780.84	21640.059370285
780.93	2930.37771358	781.01	6219.923970977	780.98	11445.950871354	780.93	13212.525543561	781.06	16573.556659191	780.94	21625.108161755
781.03	2868.43761007	781.11	6190.439344687	781.08	11377.658046224	781.03	13185.700202831	781.16	16576.944156675	781.04	21606.107052415
