	[Co Spot (1,1)] Co2p		[IrCo 20:80 Spot (2,1)] Co2p		[IrCo 40:60 Spot (3,1)] Co2p		[IrCo 60:40 Spot (4,1)] Co2p		[IrCo 80:20 Spot (5,1)] Co2p		[Ir Spot (9,6)] Co2p
789.43	2077.80267996	789.51	5635.901429357	789.48	10615.264515464	789.43	12923.264475831	789.56	16512.377090191	789.44	21579.460562415
789.53	2104.77275691	789.61	5639.614797597	789.58	10606.950026754	789.53	12913.581604901	789.66	16504.614282191	789.54	21556.098857615
789.63	2097.7888212	789.71	5653.105349777	789.68	10639.938862394	789.63	12909.286481101	789.76	16483.564365708	789.64	21546.538575355
789.73	2117.80290956	789.81	5637.754822617	789.78	10617.751703884	789.73	12919.590111501	789.86	16494.043965675	789.74	21493.121915615
789.83	2067.24733293	789.91	5680.320354937	789.88	10595.948587774	789.83	12894.467868061	789.96	16491.836158808	789.84	21543.506061755
789.93	2096.65506529	790.01	5676.574525107	789.98	10602.774719354	789.93	12896.704980081	790.06	16500.435413841	789.94	21603.358462415
790.03	2074.61365724	790.11	5651.778377357	790.08	10601.292620484	790.03	12903.258088051	790.16	16507.436923125	790.04	21559.892177615
790.13	2100.98622589	790.21	5660.560134907	790.18	10633.384756264	790.13	12899.906256481	790.26	16496.300099575	790.14	21608.026152555
790.23	2089.48572064	790.31	5650.952775977	790.28	10633.720186444	790.23	12919.711046361	790.36	16495.971350741	790.24	21599.683440555
790.33	2086.96586653	790.41	5659.069821557	790.38	10626.355558464	790.33	12910.077455561	790.46	16511.160362958	790.34	21570.756591885
790.43	2086.75461284	790.51	5634.586002937	790.48	10596.180568514	790.43	12906.535976581	790.56	16502.952676658	790.44	21537.770416955
790.53	2075.97781218	790.61	5641.876508447	790.58	10566.890408514	790.53	12907.895679151	790.66	16502.377066341	790.54	21556.843110685
790.63	2068.57681987	790.71	5631.178213847	790.68	10587.458518174	790.63	12895.804369161	790.76	16495.821725091	790.64	21557.955032015
790.73	2054.11026304	790.81	5636.841518217	790.78	10573.370531064	790.73	12896.414909081	790.86	16492.660688808	790.74	21561.501402955
790.83	2051.37148967	790.91	5608.771087647	790.88	10555.136764824	790.83	12891.870066811	790.96	16499.012231225	790.84	21542.208508415
790.93	2069.86131569	791.01	5608.016799847	790.98	10568.485145194	790.93	12889.140368861	791.06	16490.760268025	790.94	21557.117595755
791.03	2057.57152878	791.11	5607.964603557	791.08	10577.136702954	791.03	12885.319470931	791.16	16493.199278158	791.04	21625.875727615
791.13	2040.34187429	791.21	5611.416410707	791.18	10572.022063554	791.13	12882.929017501	791.26	16488.477384908	791.14	21641.146252285
791.23	2024.23556416	791.31	5615.435355087	791.28	10553.699923684	791.23	12891.053770031	791.36	16495.350977925	791.24	21567.440851885
791.33	2007.84493622	791.41	5598.485913557	791.38	10548.985147824	791.33	12882.315726211	791.46	16487.833896258	791.34	21596.489463355
791.43	2043.21160251	791.51	5574.426216137	791.48	10552.457278774	791.43	12891.512158831	791.56	16475.247092341	791.44	21573.633093485
791.53	2044.08544116	791.61	5603.219082157	791.58	10539.043649314	791.53	12896.107071381	791.66	16486.261271908	791.54	21590.147194015
791.63	2027.15139538	791.71	5607.542029647	791.68	10559.581355864	791.63	12892.444175531	791.76	16494.267816308	791.64	21559.317630685
791.73	2019.05176387	791.81	5610.147910557	791.78	10558.014327044	791.73	12883.391280411	791.86	16488.381174291	791.74	21573.979675615
791.83	2005.6751514	791.91	5592.881640777	791.88	10543.511707154	791.83	12872.403315181	791.96	16491.504640108	791.84	21547.347788415
791.93	2038.01904769	792.01	5611.315791667	791.98	10573.092233194	791.93	12897.330346911	792.06	16482.134029475	791.94	21610.683433355
792.03	2008.07470571	792.11	5597.315381867	792.08	10583.253318824	792.03	12885.105151601	792.16	16495.387838308	792.04	21569.195787885
792.13	2007.31559113	792.21	5587.662741247	792.18	10588.111072244	792.13	12898.265814001	792.26	16484.933030275	792.14	21520.365653615
792.23	2033.08162916	792.31	5591.186486667	792.28	10582.987023624	792.23	12877.680674661	792.36	16497.658583641	792.24	21590.516080155
792.33	2026.51064093	792.41	5629.500954617	792.38	10602.769999624	792.33	12887.867860861	792.46	16497.596629991	792.34	21558.235836685
792.43	2033.96663789	792.51	5638.616193157	792.48	10627.322880374	792.43	12879.426314601	792.56	16483.945923908	792.44	21615.673216285
792.53	2032.42259131	792.61	5647.221211977	792.58	10655.682484174	792.53	12893.381919051	792.66	16492.989925225	792.54	21604.655569215
792.63	2051.28005833	792.71	5657.749794687	792.68	10695.561033024	792.63	12892.530786631	792.76	16496.457782675	792.64	21609.075985085
792.73	2063.72044022	792.81	5680.293242467	792.78	10724.241388844	792.73	12895.154215311	792.86	16486.600947208	792.74	21592.235137485
792.83	2049.6229922	792.91	5690.029597047	792.88	10788.944245734	792.83	12906.811284501	792.96	16488.304969958	792.84	21639.422230955
792.93	2079.40145111	793.01	5726.723077937	792.98	10861.364860114	792.93	12916.883223661	793.06	16491.154242308	792.94	21584.413912685
793.03	2134.54949816	793.11	5770.338124667	793.08	10926.386561114	793.03	12932.621708401	793.16	16499.632151058	793.04	21524.754092285
793.13	2178.21008442	793.21	5798.164487777	793.18	11037.337735864	793.13	12951.838357161	793.26	16498.214251058	793.14	21621.591405885
793.23	2215.7782806	793.31	5871.470661487	793.28	11140.499459754	793.23	12951.611154631	793.36	16504.900152558	793.24	21580.786534815
793.33	2255.86337756	793.41	5931.866592017	793.38	11238.198088594	793.33	12969.191160411	793.46	16506.405423875	793.34	21534.838041085
793.43	2306.63529764	793.51	5992.450655507	793.48	11356.063015734	793.43	12984.242838331	793.56	16493.100399791	793.44	21564.932371085
793.53	2387.12484829	793.61	6061.896166217	793.58	11454.126544244	793.53	13022.143219111	793.66	16498.492367658	793.54	21555.015496955
793.63	2488.21167644	793.71	6132.162574937	793.68	11524.478941914	793.63	13041.446724801	793.76	16498.297446125	793.64	21552.839321885
793.73	2580.9137636	793.81	6197.678323647	793.78	11572.786280424	793.73	13068.866102861	793.86	16512.236301141	793.74	21576.842817085
793.83	2651.91279853	793.91	6248.816912577	793.88	11640.577449024	793.83	13109.828081501	793.96	16509.970239425	793.84	21565.774024415
793.93	2734.8914932	794.01	6285.740687757	793.98	11619.733407174	793.93	13142.592500861	794.06	16503.215874775	793.94	21529.937216285
794.03	2816.58900964	794.11	6289.435454997	794.08	11603.446873714	794.03	13166.163552331	794.16	16526.181638208	794.04	21536.116988285
794.13	2876.07595742	794.21	6304.034104847	794.18	11608.117427664	794.13	13186.052919961	794.26	16510.766285225	794.14	21583.915508685
794.23	2915.27497127	794.31	6290.901217417	794.28	11574.135529114	794.23	13192.157844511	794.36	16501.479367308	794.24	21547.096819615
794.33	2928.95051458	794.41	6287.896000337	794.38	11552.068384594	794.33	13194.472954611	794.46	16515.269768558	794.34	21533.767510955
794.43	2912.15104264	794.51	6265.839368907	794.48	11540.974811174	794.43	13178.645152161	794.56	16525.068879991	794.44	21500.045941085
794.53	2883.09350513	794.61	6250.293678937	794.58	11543.638436824	794.53	13168.597241311	794.66	16514.980919041	794.54	21553.831988015
794.63	2878.91725351	794.71	6249.596812797	794.68	11523.811668994	794.63	13164.124548681	794.76	16533.962038875	794.64	21626.552480815
794.73	2858.97373511	794.81	6245.563160357	794.78	11524.823341914	794.73	13162.534017451	794.86	16525.057660741	794.74	21580.989620155
794.83	2849.30044989	794.91	6229.761724487	794.88	11521.711927224	794.83	13150.273452031	794.96	16521.781323425	794.84	21550.969867615
794.93	2871.4231962	795.01	6253.136640777	794.98	11503.708334774	794.93	13138.603174181	795.06	16519.326399641	794.94	21576.067957755
795.03	2822.92616591	795.11	6259.289325177	795.08	11514.975473114	795.03	13164.533717751	795.16	16530.123888875	795.04	21516.075128155
795.13	2802.97257204	795.21	6252.896439957	795.18	11488.203835224	795.13	13163.697913731	795.26	16524.276666608	795.14	21537.599037215
795.23	2825.39881691	795.31	6219.893766217	795.28	11485.127718774	795.23	13148.632029431	795.36	16517.537449325	795.24	21612.591860685
795.33	2812.76091724	795.41	6200.702819447	795.38	11461.919557174	795.33	13144.923446231	795.46	16527.495482175	795.34	21604.373920285
795.43	2802.17179542	795.51	6212.128283907	795.48	11434.274091754	795.43	13143.421849811	795.56	16523.813863325	795.44	21549.001295485
795.53	2764.36581742	795.61	6219.560410867	795.58	11426.797050774	795.53	13139.713134951	795.66	16525.851899175	795.54	21584.167489085
795.63	2764.83091489	795.71	6189.712435197	795.68	11416.116690174	795.63	13141.937281151	795.76	16540.311092441	795.64	21519.763515485
795.73	2764.68666236	795.81	6166.956147447	795.78	11393.583433154	795.73	13142.881481211	795.86	16542.180945408	795.74	21518.315240955
795.83	2763.08213898	795.91	6179.852729267	795.88	11365.063098794	795.83	13145.610140981	795.96	16526.296761308	795.84	21522.436884685
795.93	2747.71456504	796.01	6167.944817137	795.98	11355.210098954	795.93	13147.170909461	796.06	16536.715142091	795.94	21540.658967885
796.03	2724.1629554	796.11	6162.036843067	796.08	11344.369049514	796.03	13131.713265901	796.16	16540.483734558	796.04	21536.105879085
796.13	2708.69097351	796.21	6142.844323757	796.18	11304.935507514	796.13	13124.448314961	796.26	16528.615402708	796.14	21548.777064685
796.23	2708.16634218	796.31	6130.062934287	796.28	11281.128793794	796.23	13119.370840451	796.36	16530.443080575	796.24	21529.807478955
796.33	2687.07725773	796.41	6116.393349357	796.38	11281.884880974	796.33	13107.074315781	796.46	16539.431836625	796.34	21576.077939615
796.43	2664.58505049	796.51	6102.074192507	796.48	11245.024665484	796.43	13102.317780481	796.56	16530.221794341	796.44	21553.984190955
796.53	2665.41228227	796.61	6073.502407417	796.58	11239.950070154	796.53	13106.034388401	796.66	16538.585219108	796.54	21590.785202155
796.63	2626.89998011	796.71	6078.131334307	796.68	11207.937663864	796.63	13104.867180961	796.76	16534.910479491	796.64	21568.589497755
796.73	2605.83134191	796.81	6054.001396397	796.78	11197.384502464	796.73	13079.510135151	796.86	16534.225265675	796.74	21566.118718285
796.83	2607.86073429	796.91	6035.348609777	796.88	11155.600331314	796.83	13073.551669901	796.96	16538.835613458	796.84	21571.870490955
796.93	2578.67986518	797.01	6028.998225487	796.98	11132.778593464	796.93	13070.988348631	797.06	16525.878048725	796.94	21553.106222955
797.03	2567.381147	797.11	6007.290139597	797.08	11100.140354624	797.03	13063.664784151	797.16	16542.996552091	797.04	21517.700552015
797.13	2537.49159862	797.21	6002.099614887	797.18	11092.158036754	797.13	13063.856521461	797.26	16541.195850441	797.14	21592.783956285
797.23	2535.00663824	797.31	5992.522631487	797.28	11069.229430394	797.23	13051.038580681	797.36	16527.495239175	797.24	21595.791836155
797.33	2504.1963846	797.41	5982.056852047	797.38	11065.831076264	797.33	13068.922221101	797.46	16532.268575225	797.34	21596.051512415
797.43	2481.22920691	797.51	5968.741570537	797.48	11065.118136084	797.43	13040.932629081	797.56	16527.941492558	797.44	21592.962670685
797.53	2455.05844473	797.61	5956.574182687	797.58	11068.669180934	797.53	13049.809513981	797.66	16528.979825891	797.54	21569.085736815
797.63	2444.90630453	797.71	5963.041708177	797.68	11047.964913514	797.63	13045.262363481	797.76	16540.380385108	797.64	21561.021858955
797.73	2460.6259842	797.81	5958.340239617	797.78	10982.539055114	797.73	13014.806816331	797.86	16532.420939691	797.74	21537.266769755
797.83	2436.07315604	797.91	5939.668553107	797.88	11015.755073624	797.83	13035.017085711	797.96	16532.881980241	797.84	21538.087663215
797.93	2434.75355358	798.01	5940.417419647	797.98	11015.800693684	797.93	13038.291099131	798.06	16526.179718175	797.94	21527.361213885
798.03	2424.10270211	798.11	5912.428294287	798.08	11003.656297374	798.03	13021.771270351	798.16	16522.301217391	798.04	21568.829483355
798.13	2397.57314898	798.21	5920.749543247	798.18	10993.392270044	798.13	13029.384345351	798.26	16518.741835258	798.14	21555.498178285
798.23	2388.73337327	798.31	5911.651546957	798.28	10994.192690194	798.23	13025.913879801	798.36	16529.112217125	798.24	21559.417576955
798.33	2385.13037129	798.41	5920.833621957	798.38	10967.788641514	798.33	13012.416796681	798.46	16526.767167325	798.34	21557.954060955
798.43	2368.4744798	798.51	5884.071125667	798.48	10964.295040484	798.43	13005.644196801	798.56	16517.863886841	798.44	21573.325176015
798.53	2370.05629078	798.61	5891.654664307	798.58	10968.551413224	798.53	13006.492586351	798.66	16514.917757575	798.54	21536.636796415
798.63	2384.30831902	798.71	5872.562032757	798.68	10983.043591714	798.63	13005.902859961	798.76	16528.158899075	798.64	21530.522057485
798.73	2371.25044164	798.81	5875.240291577	798.78	10983.875089914	798.73	13006.090912261	798.86	16524.514715691	798.74	21568.625314955
798.83	2363.8451238	798.91	5880.975357047	798.88	10982.190921064	798.83	13011.767739181	798.96	16514.879458608	798.84	21492.970641485
798.93	2351.39715351	799.01	5889.953638617	798.98	10974.796216574	798.93	13006.535770481	799.06	16526.022086408	798.94	21552.539795085
799.03	2361.21978869	799.11	5887.123398177	799.08	10952.847133974	799.03	12994.398373311	799.16	16509.933324825	799.04	21595.417964555
799.13	2341.58760858	799.21	5881.419727687	799.18	10940.118453714	799.13	12989.212520311	799.26	16517.866883875	799.14	21616.099719615
799.23	2350.28519478	799.31	5895.375067597	799.28	10949.476609064	799.23	13012.516209851	799.36	16529.688795708	799.24	21566.058041485
799.33	2365.37480142	799.41	5910.953604217	799.38	10957.072034534	799.33	13010.458320031	799.46	16530.966845058	799.34	21524.724443485
799.43	2362.07235704	799.51	5888.551581487	799.48	10958.754926684	799.43	12997.401008731	799.56	16531.399755875	799.44	21541.361948415
799.53	2331.92712398	799.61	5907.779501617	799.58	10961.321357684	799.53	13003.787439101	799.66	16527.630084591	799.54	21537.764609485
799.63	2370.90577578	799.71	5881.227981707	799.68	10964.615598844	799.63	13006.303744501	799.76	16517.680492425	799.64	21555.577706285
799.73	2371.74590276	799.81	5896.514544777	799.78	10962.583606334	799.73	12980.318889151	799.86	16512.061287791	799.74	21575.836259485
799.83	2371.95110682	799.91	5899.378603487	799.88	10954.994977264	799.83	13000.890254731	799.96	16520.750903075	799.84	21514.422330285
799.93	2346.34035878	800.01	5896.692606997	799.98	10961.454867024	799.93	12993.820375481	800.06	16530.634518341	799.94	21560.339670415
800.03	2351.37936389	800.11	5899.122105597	800.08	10974.676694114	800.03	13008.147840381	800.16	16533.691131841	800.04	21557.199472685
800.13	2365.21893436	800.21	5918.933272647	800.18	11008.410269024	800.13	13007.454107061	800.26	16524.453123875	800.14	21556.025502955
800.23	2391.0957396	800.31	5909.114006937	800.28	10997.195303954	800.23	12998.876273801	800.36	16513.946057725	800.24	21549.740869485
800.33	2388.17217982	800.41	5913.803942017	800.38	11023.544072734	800.33	13000.307895381	800.46	16514.742900591	800.34	21624.042228415
800.43	2378.71553822	800.51	5900.499456087	800.48	10999.442128224	800.43	12986.264530931	800.56	16512.697449225	800.44	21589.351411215
800.53	2400.76656209	800.61	5924.145235937	800.58	11031.050772114	800.53	13011.086925531	800.66	16529.238604875	800.54	21494.818520415
800.63	2422.68368507	800.71	5946.310780137	800.68	11034.956160134	800.63	13009.806286561	800.76	16526.282369058	800.64	21568.007143085
800.73	2409.39261418	800.81	5966.613475707	800.78	11044.214719244	800.73	13026.929734301	800.86	16526.481772125	800.74	21598.221246155
800.83	2408.99144831	800.91	5931.462046467	800.88	11004.990121884	800.83	13016.766904481	800.96	16518.965181075	800.84	21571.271977215
800.93	2392.2560962	801.01	5923.970894847	800.98	11030.616088734	800.93	13004.819137451	801.06	16531.917203208	800.94	21537.416783885
801.03	2387.08706091	801.11	5962.972600537	801.08	11071.412120864	801.03	13005.851441281	801.16	16527.228946141	801.04	21561.494785485
801.13	2421.85016644	801.21	5947.831574937	801.18	11075.108075424	801.13	13017.654153701	801.26	16534.192016108	801.14	21554.499827615
801.23	2433.18871776	801.31	5926.938331067	801.28	11072.159134974	801.23	13019.792110711	801.36	16515.111484041	801.24	21536.774987485
801.33	2440.01054718	801.41	5956.565653197	801.38	11063.023234064	801.33	13016.649723301	801.46	16507.501760441	801.34	21528.209494685
801.43	2452.61818573	801.51	5948.897712197	801.48	11055.989612174	801.43	13023.146461461	801.56	16523.655746408	801.44	21587.415503215
801.53	2428.65162627	801.61	5951.330924377	801.58	11099.456170484	801.53	13035.926918981	801.66	16528.846339291	801.54	21581.250154555
801.63	2449.98315102	801.71	5989.373692887	801.68	11101.832722914	801.63	13029.350913551	801.76	16526.903044475	801.64	21559.380712285
801.73	2437.86738013	801.81	5978.628364957	801.78	11064.077634844	801.73	13021.829936831	801.86	16535.709118125	801.74	21532.825518285
801.83	2411.71194624	801.91	5985.097059267	801.88	11098.664096664	801.83	13025.014551231	801.96	16525.418570625	801.84	21576.772779615
801.93	2458.27204173	802.01	5979.564216157	801.98	11084.877754714	801.93	13033.160315911	802.06	16529.896056941	801.94	21534.308353615
802.03	2472.24985707	802.11	5991.311408087	802.08	11130.683862174	802.03	13025.960275811	802.16	16524.056123008	802.04	21520.317232415
802.13	2464.05525676	802.21	6016.689445217	802.18	11104.286144354	802.13	13036.777293601	802.26	16521.677616141	802.14	21546.579852815
802.23	2464.80254518	802.31	6008.071264667	802.28	11114.270895484	802.23	13034.390826701	802.36	16529.354780308	802.24	21600.351502555
802.33	2456.33036838	802.41	5986.504790417	802.38	11121.815565914	802.33	13027.382186501	802.46	16536.771564875	802.34	21586.512152685
802.43	2474.39942764	802.51	5979.552560557	802.48	11141.826702774	802.43	13038.613743011	802.56	16537.099178108	802.44	21539.159184685
802.53	2492.20012311	802.61	5992.160833757	802.58	11150.874713934	802.53	13043.965276651	802.66	16531.779886725	802.54	21533.076968955
802.63	2502.03461604	802.71	5993.101167557	802.68	11167.050425684	802.63	13037.221830961	802.76	16523.553569158	802.64	21552.064072555
802.73	2501.47912949	802.81	6007.208126647	802.78	11156.401304714	802.73	13035.191665011	802.86	16528.025859075	802.74	21567.305504415
802.83	2505.29941247	802.91	6014.558314997	802.88	11152.997728754	802.83	13048.269228201	802.96	16534.222417958	802.84	21550.504312285
802.93	2493.31919982	803.01	6015.609931737	802.98	11107.047718774	802.93	13049.468853431	803.06	16523.340910108	802.94	21563.015308955
803.03	2521.61141282	803.11	6010.242287417	803.08	11141.454178284	803.03	13038.127432081	803.16	16517.496279341	803.04	21470.815616815
803.13	2500.79454033	803.21	6013.728402507	803.18	11160.228098264	803.13	13051.298495701	803.26	16521.912711541	803.14	21500.844072955
803.23	2500.98240396	803.31	5997.268476557	803.28	11157.861360114	803.23	13050.921375911	803.36	16513.094317958	803.24	21595.333322155
803.33	2517.29785827	803.41	6030.507338017	803.38	11172.296165044	803.33	13050.461808911	803.46	16515.161243791	803.34	21541.572044285
803.43	2512.62104187	803.51	6017.280731647	803.48	11158.473274534	803.43	13055.429056551	803.56	16512.548585891	803.44	21545.338619755
803.53	2505.8906008	803.61	6017.351589307	803.58	11147.636855714	803.53	13055.321492381	803.66	16520.733049341	803.54	21558.162756285
803.63	2521.34857193	803.71	6054.377931047	803.68	11180.673004064	803.63	13054.229222181	803.76	16524.968751875	803.64	21562.841415485
803.73	2526.3702682	803.81	6016.347507577	803.78	11186.136110884	803.73	13050.268405761	803.86	16525.688850291	803.74	21547.806243085
803.83	2532.25444264	803.91	6016.071670487	803.88	11173.809351644	803.83	13039.109859661	803.96	16519.616370391	803.84	21597.990667355
803.93	2531.95620122	804.01	6036.390923397	803.98	11175.176561134	803.93	13057.128987061	804.06	16527.164421791	803.94	21542.835497885
804.03	2552.46355793	804.11	6037.319802307	804.08	11174.264403974	804.03	13051.797084851	804.16	16524.627282208	804.04	21555.027027485
804.13	2551.66996807	804.21	6040.263883737	804.18	11186.611346024	804.13	13049.487015531	804.26	16517.133746291	804.14	21561.038119885
804.23	2515.92964962	804.31	6042.550504667	804.28	11187.993957974	804.23	13064.961464401	804.36	16515.345734258	804.24	21588.195607885
804.33	2538.44785124	804.41	6041.429244377	804.38	11184.413393484	804.33	13052.423508011	804.46	16523.404032741	804.34	21571.706573085
804.43	2526.70057004	804.51	6039.320451107	804.48	11193.936151754	804.43	13060.056538201	804.56	16514.963662225	804.44	21577.138989885
804.53	2522.90147611	804.61	6049.728880267	804.58	11157.782741594	804.53	13061.430108501	804.66	16521.974539191	804.54	21515.048165885
804.63	2532.20227093	804.71	6035.593107337	804.68	11160.702520884	804.63	13060.406456131	804.76	16522.842111441	804.64	21515.775691885
804.73	2540.67315771	804.81	6041.263219537	804.78	11183.563156934	804.73	13054.374852251	804.86	16523.213007008	804.74	21496.611383615
804.83	2558.05021453	804.91	6049.658336067	804.88	11214.528688174	804.83	13064.580117401	804.96	16527.110103858	804.84	21444.085888815
804.93	2546.84293207	805.01	6053.727805777	804.98	11182.759153134	804.93	13046.933941081	805.06	16520.691235108	804.94	21504.808651085
805.03	2551.52907482	805.11	6049.929804307	805.08	11170.109176514	805.03	13045.517753901	805.16	16510.595361441	805.04	21537.125362015
805.13	2549.27151982	805.21	6046.256570997	805.18	11160.304311374	805.13	13036.335649911	805.26	16500.164416675	805.14	21509.056483885
805.23	2537.98029896	805.31	6028.583334267	805.28	11164.474947554	805.23	13040.217584401	805.36	16507.537917108	805.24	21541.510091885
805.33	2543.73889724	805.41	6020.986808597	805.38	11185.303113354	805.33	13043.163050531	805.46	16505.701105375	805.34	21566.603598815
805.43	2552.26839731	805.51	6031.161108507	805.48	11183.166976954	805.43	13034.439788631	805.56	16509.894000741	805.44	21536.680934555
805.53	2530.09599169	805.61	6028.336080537	805.58	11166.086134914	805.53	13036.017245711	805.66	16508.362137025	805.54	21582.037762815
805.63	2518.95114142	805.71	6020.092579487	805.68	11134.639476714	805.63	13042.415961951	805.76	16512.898106758	805.64	21531.255347485
805.73	2532.44008158	805.81	6007.893396797	805.78	11153.538596954	805.73	13051.183301801	805.86	16519.081398491	805.74	21556.738242285
805.83	2537.6775272	805.91	6007.516474647	805.88	11179.870830174	805.83	13031.730806711	805.96	16510.247754508	805.84	21535.077728815
805.93	2540.22796142	806.01	6033.929532217	805.98	11160.820637354	805.93	13058.504882311	806.06	16495.465703375	805.94	21509.127704285
806.03	2513.86837533	806.11	6035.423776777	806.08	11157.308895244	806.03	13055.046854931	806.16	16509.608514275	806.04	21555.649482155
806.13	2502.42848218	806.21	6032.635643487	806.18	11162.954477644	806.13	13051.811324101	806.26	16505.573527508	806.14	21540.000919085
806.23	2499.16038389	806.31	6022.843995907	806.28	11161.510036714	806.23	13034.161680661	806.36	16526.793021175	806.24	21494.870921215
806.33	2500.58228867	806.41	6003.812049957	806.38	11141.146625464	806.33	13034.284856101	806.46	16525.771564258	806.34	21576.971883215
806.43	2484.18056087	806.51	6014.086552287	806.48	11125.280565734	806.43	13045.899951711	806.56	16508.117495058	806.44	21544.613337085
806.53	2496.97232998	806.61	6034.286870667	806.58	11129.790887424	806.53	13037.041673201	806.66	16506.826511958	806.54	21512.199632815
806.63	2502.57686524	806.71	6017.719283487	806.68	11126.627817244	806.63	13035.747244711	806.76	16514.188298491	806.64	21537.835376155
806.73	2496.28989689	806.81	6007.963160287	806.78	11145.299424194	806.73	13027.733747451	806.86	16518.204243741	806.74	21555.600675755
806.83	2485.38872053	806.91	6022.884751817	806.88	11147.296929374	806.83	13029.431332261	806.96	16517.051137708	806.84	21561.755408285
806.93	2486.63899382	807.01	6009.908304577	806.98	11155.915885084	806.93	13040.482209711	807.06	16507.378282391	806.94	21602.114762285
807.03	2508.68556131	807.11	6001.722877557	807.08	11131.424019354	807.03	13032.355188751	807.16	16506.089346275	807.04	21578.051197755
807.13	2482.9836632	807.21	5997.303175537	807.18	11134.809655334	807.13	13027.955160561	807.26	16504.038443208	807.14	21500.340329885
807.23	2484.35411384	807.31	5992.062124157	807.28	11138.666399864	807.23	13039.884013481	807.36	16511.418793058	807.24	21507.171004415
807.33	2496.91780267	807.41	5981.312314957	807.38	11130.004410554	807.33	13042.527873751	807.46	16507.389739591	807.34	21545.312104415
807.43	2496.14534509	807.51	6001.172379777	807.48	11095.473996044	807.43	13029.223378481	807.56	16502.540589541	807.44	21577.983586015
807.53	2481.73449729	807.61	6027.945398647	807.58	11133.881523884	807.53	13033.030580311	807.66	16512.451255991	807.54	21519.028618285
807.63	2480.8207392	807.71	6011.735949357	807.68	11132.309438714	807.63	13029.170631381	807.76	16495.569522508	807.64	21560.191171355
807.73	2491.7194132	807.81	5991.090957247	807.78	11117.419355934	807.73	13035.256661931	807.86	16491.718819225	807.74	21548.382116815
807.83	2463.10608547	807.91	5994.625673617	807.88	11136.824191974	807.83	13029.474767251	807.96	16510.972246941	807.84	21556.990290815
807.93	2462.53503782	808.01	6003.521677797	807.98	11121.267337594	807.93	13028.239490581	808.06	16517.274838808	807.94	21539.208065755
808.03	2473.10190602	808.11	5977.650139087	808.08	11124.790553514	808.03	13031.111002181	808.16	16517.331330375	808.04	21540.730612285
808.13	2476.74483413	808.21	5992.501545357	808.18	11108.012183824	808.13	13028.919370751	808.26	16500.756440825	808.14	21550.944622555
808.23	2475.2361806	808.31	5993.320702087	808.28	11129.097782994	808.23	13048.421268201	808.36	16493.883785041	808.24	21526.758502285
808.33	2491.29783551	808.41	5992.947852757	808.38	11140.485582864	808.33	13018.986321281	808.46	16502.331665441	808.34	21540.902144015
808.43	2468.74579353	808.51	5986.828571067	808.48	11135.891155554	808.43	13013.565132481	808.56	16496.231617058	808.44	21574.960654815
808.53	2463.31037922	808.61	5974.796480487	808.58	11118.395484314	808.53	13033.604545401	808.66	16499.347476308	808.54	21551.840274685
808.63	2499.62506276	808.71	5977.114700017	808.68	11139.703406934	808.63	13041.673367161	808.76	16510.384125541	808.64	21563.624807755
808.73	2476.36755364	808.81	6016.063619617	808.78	11121.632686824	808.73	13024.476172181	808.86	16512.823716641	808.74	21553.776331885
808.83	2469.36687089	808.91	6005.597544447	808.88	11129.423078154	808.83	13031.987399461	808.96	16510.543345691	808.84	21585.386205085
808.93	2459.10633016	809.01	5996.762696047	808.98	11123.398774444	808.93	13021.435837161	809.06	16497.729505358	808.94	21521.873269885
809.03	2488.70151162	809.11	6000.523215337	809.08	11127.339116444	809.03	13016.654447181	809.16	16500.433312958	809.04	21539.449591755
809.13	2499.94045738	809.21	6016.196109577	809.18	11137.961824134	809.13	13031.931524651	809.26	16508.783960658	809.14	21528.426241485
809.23	2487.86136918	809.31	6026.313858137	809.28	11143.849663354	809.23	13030.503273661	809.36	16500.054434358	809.24	21521.436057755
809.33	2504.31874267	809.41	6009.394024617	809.38	11129.429642334	809.33	13027.681088661	809.46	16500.797617925	809.34	21551.690268815
809.43	2487.50880529	809.51	6002.380424537	809.48	11106.432981394	809.43	13032.573429801	809.56	16508.249456908	809.44	21521.516498555
809.53	2466.24090522	809.61	6024.289818847	809.58	11093.566379084	809.53	13022.404156551	809.66	16510.248120425	809.54	21548.617189355
809.63	2465.95035267	809.71	6025.222420217	809.68	11133.674508574	809.63	13027.963340231	809.76	16509.078182108	809.64	21547.365147885
809.73	2476.07596076	809.81	6008.842922087	809.78	11136.400983534	809.73	13026.310607551	809.86	16503.434889525	809.74	21500.581379085
809.83	2503.24373618	809.91	6002.003341757	809.88	11106.745422884	809.83	13020.177476451	809.96	16498.711498891	809.84	21563.923875615
809.93	2485.771274	810.01	6003.091310467	809.98	11102.256126484	809.93	13021.671662901	810.06	16495.631047308	809.94	21496.019941485
810.03	2488.57872373	810.11	5990.320302137	810.08	11126.270823154	810.03	13016.583091131	810.16	16505.728650508	810.04	21528.404239215
810.13	2472.62515444	810.21	5991.387391647	810.18	11145.485254644	810.13	13024.927994211	810.26	16511.972630041	810.14	21578.160167485
810.23	2466.8319734	810.31	6010.514864247	810.28	11147.658309024	810.23	13031.711795861	810.36	16506.200023841	810.24	21531.076204015
810.33	2495.35832907	810.41	6014.372446997	810.38	11127.308465864	810.33	13025.188766881	810.46	16496.340705258	810.34	21522.399712155
