	[Ir. spot (1,3)] Co2p		[CoIr (20:80). spot (3,3)] Co2p		[Ir-Co 40:60 Spot (8,9) JP08] Co2p		[Ir-Co 60:40 Spot (6,2) JP08] Co2p		[CoIr (8020). spot (5,3)] Co2p		[Co Spot (5,2)] Co2p
795.025	2601.058422	794.94	3829.49592789	794.95	4337.78371466	795.02	5801.42786164	795.015	8246.73595969	794.97	8838.14830769
795.125	2600.92501203	795.04	3820.00749363	795.05	4345.05214551	795.12	5802.53576479	795.115	8242.45609792	795.07	8828.77896484
795.225	2609.70592103	795.14	3821.77584926	795.15	4342.94327329	795.22	5812.82874244	795.215	8293.21963565	795.17	8825.89993801
795.325	2587.50443847	795.24	3807.94750474	795.25	4345.22697191	795.32	5818.77245994	795.315	8254.75590525	795.27	8817.70614892
795.425	2578.41556167	795.34	3803.62689326	795.35	4356.55987983	795.42	5824.47860129	795.415	8271.07858892	795.37	8797.41456305
795.525	2587.935265	795.44	3809.87256204	795.45	4357.30563088	795.52	5834.90934502	795.515	8290.16572555	795.47	8817.83034292
795.625	2617.32865437	795.54	3820.11088604	795.55	4362.36224414	795.62	5831.57430936	795.615	8281.87507242	795.57	8826.55921511
795.725	2655.1253621	795.64	3819.734732	795.65	4356.50013664	795.72	5823.89492784	795.715	8283.84576215	795.67	8835.17187745
795.825	2617.1582367	795.74	3805.04499959	795.75	4358.13037941	795.82	5826.97215034	795.815	8281.88858542	795.77	8817.42101079
795.925	2600.69438137	795.84	3830.02301459	795.85	4339.58316871	795.92	5825.10081242	795.915	8264.41740039	795.87	8800.32665001
796.025	2601.25829217	795.94	3830.4955327	795.95	4333.48540018	796.02	5837.90582617	796.015	8259.58879729	795.97	8812.06472369
796.125	2616.62297807	796.04	3852.073913	796.05	4342.11875741	796.12	5842.15382619	796.115	8264.10062249	796.07	8808.49900913
796.225	2584.87640343	796.14	3830.16553622	796.15	4356.26310174	796.22	5815.20908727	796.215	8300.12896459	796.17	8816.24395484
796.325	2584.57067217	796.24	3838.93705444	796.25	4343.38158539	796.32	5833.06218204	796.315	8289.43811142	796.27	8837.56355308
796.425	2583.80874027	796.34	3816.65355692	796.35	4354.67133938	796.42	5830.15336799	796.415	8261.16641115	796.37	8841.52981287
796.525	2601.1609057	796.44	3813.12873407	796.45	4357.04554331	796.52	5828.87255022	796.515	8262.30634355	796.47	8828.2533694
796.625	2593.45064373	796.54	3794.86698544	796.55	4350.36599863	796.62	5825.06171779	796.615	8253.34357869	796.57	8838.28542324
796.725	2574.2141457	796.64	3812.07913541	796.65	4349.34357513	796.72	5835.66297902	796.715	8252.74395952	796.67	8842.89520953
796.825	2608.1198568	796.74	3867.96732326	796.75	4351.48740159	796.82	5828.47424406	796.815	8253.69270952	796.77	8849.638755
796.925	2578.29782367	796.84	3842.25110592	796.85	4367.49872394	796.92	5837.87927044	796.915	8279.01623685	796.87	8839.40542143
797.025	2585.79919	796.94	3843.83989244	796.95	4364.06151449	797.02	5824.52529831	797.015	8276.56306969	796.97	8847.67314252
797.125	2633.09762053	797.04	3823.29165022	797.05	4347.19689571	797.12	5828.05440057	797.115	8265.92168352	797.07	8854.36883569
797.225	2625.91282323	797.14	3814.57088285	797.15	4343.67728384	797.22	5832.20648507	797.215	8286.73535539	797.17	8846.75457857
797.325	2595.31072777	797.24	3820.95154541	797.25	4343.11204473	797.32	5839.81605921	797.315	8281.56194639	797.27	8838.19964148
797.425	2595.69107393	797.34	3824.51253885	797.35	4362.88207363	797.42	5830.36930204	797.415	8293.27907039	797.37	8844.48625409
797.525	2613.31845383	797.44	3834.63958826	797.45	4354.26737096	797.52	5835.67809957	797.515	8294.43127422	797.47	8831.06811481
797.625	2577.85185693	797.54	3809.30236122	797.55	4367.25139598	797.62	5839.42403071	797.615	8282.31480129	797.57	8827.97275252
797.725	2553.91869153	797.64	3820.92312404	797.65	4356.68577836	797.72	5842.96637032	797.715	8257.27514729	797.67	8846.01701404
797.825	2597.1349024	797.74	3796.92634789	797.75	4335.83844946	797.82	5822.67915486	797.815	8284.14024142	797.77	8842.32085028
797.925	2576.62786007	797.84	3798.2546317	797.85	4343.97654339	797.92	5831.63195841	797.915	8276.20836679	797.87	8837.98078489
798.025	2579.72920893	797.94	3828.97655537	797.95	4352.89930784	798.02	5831.92346662	798.015	8257.73530625	797.97	8861.47533063
798.125	2569.53711027	798.04	3821.81950518	798.05	4358.85363589	798.12	5839.88535862	798.115	8269.83071709	798.07	8834.13254423
798.225	2614.50497547	798.14	3824.67317381	798.15	4345.76383444	798.22	5824.82462176	798.215	8276.18091342	798.17	8823.53070303
798.325	2587.34650597	798.24	3825.56593848	798.25	4347.69053844	798.32	5824.75941467	798.315	8268.96901982	798.27	8839.45696887
798.425	2592.599601	798.34	3805.78872481	798.35	4342.30309648	798.42	5821.44077844	798.415	8305.35143689	798.37	8842.73907956
798.525	2579.60966233	798.44	3832.72071537	798.45	4331.67539304	798.52	5834.44342329	798.515	8284.19635262	798.47	8840.9677938
798.625	2565.3114188	798.54	3849.33608829	798.55	4342.17891928	798.62	5826.47752212	798.615	8265.36468375	798.57	8828.12118713
798.725	2592.50777427	798.64	3814.02890448	798.65	4340.45434173	798.72	5826.52370967	798.715	8265.25878775	798.67	8852.35057452
798.825	2584.7059738	798.74	3799.364873	798.75	4363.34273384	798.82	5818.79476869	798.815	8294.26128279	798.77	8847.88700497
798.925	2588.8696438	798.84	3777.06019967	798.85	4343.67846903	798.92	5824.63803902	798.915	8284.53806625	798.87	8840.70705129
799.025	2578.79939547	798.94	3828.57850807	798.95	4337.54021693	799.02	5826.45665454	799.015	8289.11208442	798.97	8857.226041
799.125	2604.9982966	799.04	3820.02200622	799.05	4350.75380963	799.12	5829.11815171	799.115	8267.11551799	799.07	8840.65014775
799.225	2593.335399	799.14	3787.63894167	799.15	4339.06154328	799.22	5822.59269632	799.215	8276.82545869	799.17	8835.15323815
799.325	2572.66218593	799.24	3809.11803211	799.25	4329.74313571	799.32	5816.96440674	799.315	8278.70036929	799.27	8808.83036895
799.425	2575.74251117	799.34	3795.33384015	799.35	4342.07842299	799.42	5817.97305817	799.415	8265.90035032	799.37	8831.10615601
799.525	2584.1609599	799.44	3788.87909715	799.45	4347.42255178	799.52	5823.86199204	799.515	8250.81965832	799.47	8832.92996929
799.625	2571.15611433	799.54	3781.24471389	799.55	4336.84437559	799.62	5816.17312087	799.615	8271.62051879	799.57	8863.95501153
799.725	2585.65530727	799.64	3803.71242944	799.65	4333.01678641	799.72	5822.60988446	799.715	8263.35616662	799.67	8850.10644732
799.825	2607.66865503	799.74	3816.96849637	799.75	4336.92104594	799.82	5826.96405256	799.815	8289.92397572	799.77	8843.58737191
799.925	2575.88407297	799.84	3796.61771696	799.85	4351.04166826	799.92	5818.70210164	799.915	8266.06255772	799.87	8842.1106774
800.025	2566.99002523	799.94	3791.29259759	799.95	4343.28956569	800.02	5828.72472591	800.015	8267.27292555	799.97	8841.94616025
800.125	2589.62007503	800.04	3804.90011885	800.05	4338.67136353	800.12	5820.61058877	800.115	8279.96185949	800.07	8829.40769839
800.225	2595.89884873	800.14	3796.94917863	800.15	4330.21304494	800.22	5830.73795646	800.215	8261.81234165	800.17	8828.57467961
800.325	2601.3932198	800.24	3802.76200385	800.25	4352.81208183	800.32	5827.95779027	800.315	8268.72797732	800.27	8840.17515983
800.425	2562.92796983	800.34	3834.77769696	800.35	4347.28329474	800.42	5811.10491222	800.415	8292.04122409	800.37	8851.34855068
800.525	2594.4986259	800.44	3815.20864952	800.45	4345.54480468	800.52	5834.81672829	800.515	8283.98637605	800.47	8845.46221503
800.625	2578.54227243	800.54	3754.24661878	800.55	4337.96556248	800.62	5821.61061634	800.615	8288.13865445	800.57	8853.51585337
800.725	2580.82928183	800.64	3783.54954229	800.65	4345.58692619	800.72	5830.85612034	800.715	8282.64665059	800.67	8850.67017308
800.825	2583.34442853	800.74	3816.96367692	800.75	4350.23833681	800.82	5821.61975724	800.815	8282.79801245	800.77	8839.05756908
800.925	2588.02758553	800.84	3816.55413937	800.85	4354.02774044	800.92	5817.76362846	800.915	8259.95375062	800.87	8818.65193316
801.025	2566.95500737	800.94	3781.48087237	800.95	4340.50081308	801.02	5839.66769939	801.015	8274.25698492	800.97	8834.41327164
801.125	2596.051633	801.04	3798.07592511	801.05	4352.81922686	801.12	5839.72138112	801.115	8293.90909752	801.07	8854.70997695
801.225	2589.70544923	801.14	3828.70398833	801.15	4327.35210241	801.22	5841.92753134	801.215	8292.43446345	801.17	8850.9920526
801.325	2579.19867097	801.24	3825.23846596	801.25	4334.16904076	801.32	5833.99975917	801.315	8306.92966552	801.27	8848.00830625
801.425	2570.26465527	801.34	3807.82804389	801.35	4347.10393069	801.42	5850.12943564	801.415	8276.11798465	801.37	8854.64354865
801.525	2593.77420293	801.44	3828.92747496	801.45	4340.40257056	801.52	5849.02443909	801.515	8286.11732322	801.47	8841.77302479
801.625	2586.91436253	801.54	3814.26018881	801.55	4343.60689034	801.62	5838.85441916	801.615	8283.09826275	801.57	8853.83522999
801.725	2587.59376703	801.64	3806.71475718	801.65	4356.07187119	801.72	5816.58340109	801.715	8302.10109742	801.67	8839.89391551
801.825	2586.9724339	801.74	3810.49835667	801.75	4350.31335964	801.82	5827.72333979	801.815	8271.12256415	801.77	8822.5343678
801.925	2565.2565617	801.84	3810.40385863	801.85	4348.57435408	801.92	5836.29979932	801.915	8293.73387889	801.87	8823.02768721
802.025	2552.17775697	801.94	3787.08800218	801.95	4356.12380609	802.02	5845.35202764	802.015	8286.97696562	801.97	8848.61903428
802.125	2587.87474227	802.04	3810.32671929	802.05	4359.48279059	802.12	5837.11379371	802.115	8277.38559342	802.07	8833.37654351
802.225	2576.09435577	802.14	3811.93579778	802.15	4356.65561071	802.22	5846.59668329	802.215	8295.75793769	802.17	8846.31213452
802.325	2577.8705348	802.24	3818.09502444	802.25	4369.72997473	802.32	5833.62035762	802.315	8275.59037265	802.27	8831.241063
802.425	2580.9144297	802.34	3834.84558592	802.35	4348.14879474	802.42	5838.18577087	802.415	8251.14117475	802.37	8841.25127092
802.525	2556.27580627	802.44	3812.58979333	802.45	4343.42363033	802.52	5825.08232044	802.515	8275.82819262	802.47	8839.66859569
802.625	2564.5893708	802.54	3809.38440522	802.55	4350.66601093	802.62	5827.50825407	802.615	8290.00952415	802.57	8847.72395903
802.725	2586.31699087	802.64	3830.55226329	802.65	4338.09108784	802.72	5822.99968139	802.715	8270.16935922	802.67	8829.74828172
802.825	2561.1040165	802.74	3842.31099352	802.75	4334.77705259	802.82	5832.72968114	802.815	8264.62703905	802.77	8828.9480434
802.925	2536.2945091	802.84	3827.50821778	802.85	4362.99991439	802.92	5824.05756166	802.915	8298.59699925	802.87	8844.87956788
803.025	2572.63659527	802.94	3813.21118741	802.95	4361.77709366	803.02	5834.52198222	803.015	8295.21953302	802.97	8830.41801047
803.125	2585.1296145	803.04	3811.52432037	803.05	4349.45950419	803.12	5830.49589922	803.115	8299.75047922	803.07	8833.54557855
803.225	2572.847139	803.14	3783.70729681	803.15	4352.77430129	803.22	5828.47445149	803.215	8276.35403059	803.17	8858.27333089
803.325	2579.86171713	803.24	3808.59956241	803.25	4345.41075108	803.32	5825.97179192	803.315	8279.76138309	803.27	8855.9485398
803.425	2555.65358767	803.34	3820.51023355	803.35	4349.06409063	803.42	5815.51426307	803.415	8271.48518349	803.37	8825.02040516
803.525	2550.67620613	803.44	3821.73404167	803.45	4357.47906503	803.52	5836.53846109	803.515	8265.13543005	803.47	8854.19604124
803.625	2565.2611582	803.54	3815.52708	803.55	4344.99875356	803.62	5828.75819582	803.615	8276.62454002	803.57	8849.74555977
803.725	2568.3034456	803.64	3791.21129292	803.65	4341.57103276	803.72	5830.87707286	803.715	8272.72965599	803.67	8840.29069151
803.825	2579.81135597	803.74	3799.95223081	803.75	4342.10554631	803.82	5831.30729841	803.815	8294.21890502	803.77	8841.90121196
803.925	2575.03843533	803.84	3780.62836704	803.85	4348.60056083	803.92	5824.69542341	803.915	8232.44381175	803.87	8849.52754815
804.025	2574.24024603	803.94	3801.22729948	803.95	4336.16468808	804.02	5823.54599149	804.015	8279.73538242	803.97	8838.09375753
804.125	2570.86329773	804.04	3796.10001348	804.05	4350.81321834	804.12	5823.57146484	804.115	8298.16587565	804.07	8841.38921612
804.225	2596.16528297	804.14	3798.24152074	804.15	4349.02590123	804.22	5829.35098139	804.215	8266.07196472	804.17	8845.40283828
804.325	2587.33095347	804.24	3790.70721559	804.25	4340.56025501	804.32	5818.23689534	804.315	8289.82148099	804.27	8849.13399001
804.425	2565.39088613	804.34	3801.36464322	804.35	4340.80088258	804.42	5803.73868089	804.415	8264.96575615	804.37	8851.43064239
804.525	2562.64754927	804.44	3809.18752633	804.45	4329.74036549	804.52	5812.29406502	804.515	8281.35932769	804.47	8836.02204644
804.625	2556.51322097	804.54	3822.57512581	804.55	4331.99435124	804.62	5815.72444277	804.615	8282.95612109	804.57	8843.96023652
804.725	2537.48381773	804.64	3825.77136944	804.65	4324.94682728	804.72	5829.15987716	804.715	8275.75496769	804.67	8858.91081879
804.825	2565.08836667	804.74	3815.61379607	804.75	4351.88527114	804.82	5813.87762191	804.815	8308.45250832	804.77	8844.32045313
804.925	2549.2320458	804.84	3816.40705174	804.85	4336.87158854	804.92	5814.76194357	804.915	8294.98088299	804.87	8836.1612782
805.025	2552.92533357	804.94	3806.5550197	804.95	4339.71276371	805.02	5833.01867794	805.015	8249.78257982	804.97	8846.50597852
805.125	2571.80271547	805.04	3778.12516737	805.05	4342.54113724	805.12	5820.56810861	805.115	8277.73432619	805.07	8840.30461823
805.225	2575.66418367	805.14	3793.28052178	805.15	4343.55713843	805.22	5806.66398222	805.215	8275.17161849	805.17	8829.78049945
805.325	2559.1275603	805.24	3813.05630955	805.25	4345.41725781	805.32	5816.32450846	805.315	8259.34054429	805.27	8836.11559372
805.425	2559.22469053	805.34	3825.85428696	805.35	4341.59093139	805.42	5819.66115217	805.415	8267.54515495	805.37	8840.07386092
805.525	2572.50011343	805.44	3818.037256	805.45	4333.08150036	805.52	5812.48596397	805.515	8270.54690492	805.47	8862.51259012
805.625	2579.4999396	805.54	3811.55339878	805.55	4346.12070289	805.62	5808.36754347	805.615	8273.30861805	805.57	8844.83912289
805.725	2550.44936393	805.64	3824.52955011	805.65	4354.76015623	805.72	5810.55862127	805.715	8270.63975522	805.67	8841.51866612
805.825	2556.4216469	805.74	3845.11416667	805.75	4338.56809519	805.82	5790.30364247	805.815	8255.35583752	805.77	8826.21422324
805.925	2551.8917954	805.84	3787.61271133	805.85	4340.35975283	805.92	5812.28120566	805.915	8271.75286969	805.87	8842.58047153
806.025	2575.12208023	805.94	3788.00929233	805.95	4325.89677658	806.02	5811.13390281	806.015	8262.59152549	805.97	8850.57455791
806.125	2565.69885163	806.04	3823.71480859	806.05	4328.20260329	806.12	5804.89756111	806.115	8252.08323162	806.07	8829.79525172
806.225	2569.10063313	806.14	3828.29710955	806.15	4327.92896274	806.22	5812.41642667	806.215	8274.91075102	806.17	8839.97252841
806.325	2588.08593463	806.24	3827.61709952	806.25	4329.86380488	806.32	5831.15101629	806.315	8252.85913532	806.27	8846.02220372
806.425	2574.54820267	806.34	3795.57934022	806.35	4330.09681706	806.42	5823.14670771	806.415	8227.25504032	806.37	8850.0738078
806.525	2564.4002539	806.44	3805.83739726	806.45	4341.29887049	806.52	5800.98320617	806.515	8276.68636402	806.47	8827.59248023
806.625	2562.66135943	806.54	3793.74303685	806.55	4339.85408944	806.62	5820.58328047	806.615	8280.90806675	806.57	8830.09016663
806.725	2541.898606	806.64	3805.16035063	806.65	4338.73358299	806.72	5815.93535609	806.715	8289.74622029	806.67	8814.91701097
806.825	2570.48759363	806.74	3821.42458237	806.75	4337.39877479	806.82	5804.71986379	806.815	8267.61823779	806.77	8832.65247108
806.925	2547.89019567	806.84	3792.81382444	806.85	4327.21890051	806.92	5808.88272632	806.915	8262.48473442	806.87	8849.60580191
807.025	2583.47019287	806.94	3801.58825985	806.95	4326.70114994	807.02	5801.95746627	807.015	8274.68877209	806.97	8822.08714121
807.125	2558.63651203	807.04	3790.25850174	807.05	4345.20736229	807.12	5809.78214337	807.115	8260.01941932	807.07	8825.65402015
807.225	2548.27573197	807.14	3797.46036718	807.15	4333.03386128	807.22	5806.40277609	807.215	8251.45216655	807.17	8842.89137468
807.325	2556.21562937	807.24	3796.21958152	807.25	4346.15322928	807.32	5807.63573456	807.315	8258.13482089	807.27	8852.14117079
807.425	2559.521154	807.34	3765.80902289	807.35	4333.14104204	807.42	5796.22121069	807.415	8270.03224292	807.37	8846.98028897
807.525	2545.92593777	807.44	3774.16982822	807.45	4336.82525539	807.52	5801.14415511	807.515	8265.13524715	807.47	8857.71609833
807.625	2545.11166507	807.54	3807.32318059	807.55	4333.47290659	807.62	5814.61591099	807.615	8254.71308485	807.57	8829.74527196
807.725	2552.5856117	807.64	3801.66487215	807.65	4348.27273439	807.72	5813.12698169	807.715	8256.17720265	807.67	8837.9096838
807.825	2561.5609261	807.74	3792.73033711	807.75	4339.90989856	807.82	5812.01019102	807.815	8253.98266232	807.77	8828.82627177
807.925	2576.67035987	807.84	3811.97526889	807.85	4344.05959294	807.92	5808.23543406	807.915	8254.15277979	807.87	8833.85043033
808.025	2559.52489717	807.94	3791.95661926	807.95	4340.04184326	808.02	5790.81505686	808.015	8260.82241129	807.97	8845.35202948
808.125	2568.57404603	808.04	3800.34693444	808.05	4337.80453219	808.12	5815.71422014	808.115	8260.38293062	808.07	8836.99649401
808.225	2565.8557826	808.14	3772.17772148	808.15	4352.42837608	808.22	5807.48586862	808.215	8242.04869289	808.17	8844.82178204
808.325	2577.70086923	808.24	3778.20147492	808.25	4328.98141851	808.32	5802.22456031	808.315	8253.98402365	808.27	8844.7358598
808.425	2581.56993467	808.34	3761.50603211	808.35	4342.69488248			808.415	8243.81070905	808.37	8850.62114497
808.525	2567.76202263	808.44	3772.45885078	808.45	4351.82496854			808.515	8251.78501932	808.47	8863.80438183
