	[Ir. spot (1,3)] Co2p		[CoIr (20:80). spot (3,3)] Co2p		[Ir-Co 40:60 Spot (8,9) JP08] Co2p		[Ir-Co 60:40 Spot (6,2) JP08] Co2p		[CoIr (8020). spot (5,3)] Co2p		[Co Spot (5,2)] Co2p
779.725	2665.59550517	779.64	3834.2583117	779.65	4356.86839049	779.72	5833.47853641	779.715	8279.21915762	779.67	8810.80742041
779.825	2652.5085663	779.74	3861.95641515	779.75	4367.46412024	779.82	5845.68735331	779.815	8297.82685149	779.77	8809.59581697
779.925	2650.14705503	779.84	3845.36219544	779.85	4358.49768883	779.92	5849.36365997	779.915	8288.25443369	779.87	8817.37355692
780.025	2656.26671107	779.94	3894.91753055	779.95	4364.49061624	780.02	5865.37685364	780.015	8289.89056599	779.97	8812.21639681
780.125	2625.83984113	780.04	3896.89019222	780.05	4356.79626836	780.12	5876.78303887	780.115	8278.56246549	780.07	8837.31949073
780.225	2654.53538667	780.14	3881.99116018	780.15	4365.64941524	780.22	5871.97761826	780.215	8280.51783659	780.17	8835.31336007
780.325	2661.57388513	780.24	3881.58921778	780.25	4378.98596728	780.32	5876.13538116	780.315	8284.06087835	780.27	8841.98305167
780.425	2653.61718907	780.34	3889.54282222	780.35	4386.56990714	780.42	5882.89231454	780.415	8288.20661032	780.37	8828.17908767
780.525	2627.7298005	780.44	3867.50253426	780.45	4361.83017266	780.52	5865.89291634	780.515	8298.68251582	780.47	8827.16537292
780.625	2627.68262243	780.54	3872.56036967	780.55	4357.94430786	780.62	5870.73883709	780.615	8275.77482835	780.57	8840.40323425
780.725	2653.90696813	780.64	3872.08244304	780.65	4377.52402954	780.72	5887.61917667	780.715	8304.26433159	780.67	8849.85206207
780.825	2662.57535933	780.74	3894.39098178	780.75	4380.91337454	780.82	5885.46068151	780.815	8312.27468025	780.77	8853.47721529
780.925	2647.93672443	780.84	3897.84873915	780.85	4378.74328501	780.92	5878.32504107	780.915	8304.92491415	780.87	8865.75983969
781.025	2641.4793189	780.94	3896.89852637	780.95	4366.66634628	781.02	5885.57888271	781.015	8348.28837045	780.97	8854.35787017
781.125	2652.44181823	781.04	3850.18668733	781.05	4386.88066979	781.12	5868.55656732	781.115	8341.44681765	781.07	8870.51381556
781.225	2673.35205993	781.14	3866.66680207	781.15	4379.47328109	781.22	5868.04013164	781.215	8346.13013389	781.17	8849.70945823
781.325	2659.08726107	781.24	3881.295157	781.25	4373.26913186	781.32	5885.44977139	781.315	8332.27504945	781.27	8851.51071372
781.425	2656.69139407	781.34	3885.25583681	781.35	4356.06479033	781.42	5872.35569672	781.415	8326.22696155	781.37	8853.04575924
781.525	2632.6282917	781.44	3849.67199055	781.45	4341.75975754	781.52	5866.22935147	781.515	8354.57279325	781.47	8860.3744814
781.625	2606.82077003	781.54	3838.93866992	781.55	4358.84114304	781.62	5867.90631027	781.615	8345.20075032	781.57	8858.72882916
781.725	2625.62528067	781.64	3870.96996496	781.65	4347.35314751	781.72	5852.37347816	781.715	8326.51323032	781.67	8867.03530207
781.825	2634.84294127	781.74	3871.35490763	781.75	4344.22517099	781.82	5855.07191847	781.815	8313.36190175	781.77	8862.56571527
781.925	2645.7898854	781.84	3880.5415307	781.85	4364.32506069	781.92	5868.57756237	781.915	8302.91812315	781.87	8863.78730652
782.025	2663.13469213	781.94	3859.66684641	781.95	4356.84251714	782.02	5855.61772892	782.015	8329.75988062	781.97	8842.03615807
782.125	2634.20590797	782.04	3877.31134096	782.05	4356.82596874	782.12	5856.95054469	782.115	8320.72783665	782.07	8860.41199631
782.225	2681.1754373	782.14	3869.21342192	782.15	4357.59458718	782.22	5865.39602969	782.215	8333.42561819	782.17	8846.23927015
782.325	2633.96450117	782.24	3846.82776963	782.25	4360.07537309	782.32	5856.07986072	782.315	8329.77343725	782.27	8859.96369713
782.425	2648.47942557	782.34	3871.79475322	782.35	4354.20691198	782.42	5855.86963177	782.415	8310.61721712	782.37	8863.43102425
782.525	2645.23085083	782.44	3874.19558004	782.45	4348.03815469	782.52	5858.63579177	782.515	8316.93566652	782.47	8860.17296487
782.625	2645.0351952	782.54	3864.8030157	782.55	4349.98454704	782.62	5847.42149621	782.615	8310.81441129	782.57	8852.09661497
782.725	2613.86999797	782.64	3850.80577752	782.65	4371.74089316	782.72	5827.71023379	782.715	8317.28613542	782.67	8877.10213548
782.825	2648.81309877	782.74	3849.80701574	782.75	4356.19629869	782.82	5817.69674026	782.815	8296.55677169	782.77	8845.38199473
782.925	2671.8068588	782.84	3868.41688785	782.85	4353.84826548	782.92	5822.64747132	782.915	8300.91237949	782.87	8839.44282313
783.025	2616.0797204	782.94	3862.88409574	782.95	4352.97397739	783.02	5844.57023387	783.015	8294.15575822	782.97	8844.61120815
783.125	2654.37241793	783.04	3858.24603892	783.05	4349.54185099	783.12	5840.56839074	783.115	8318.40925092	783.07	8844.72004065
783.225	2658.61112113	783.14	3833.56685248	783.15	4341.30822663	783.22	5833.48206901	783.215	8305.84844105	783.17	8845.80645777
783.325	2617.53209533	783.24	3843.76150867	783.25	4349.99657353	783.32	5840.26911316	783.315	8297.43241052	783.27	8852.01186868
783.425	2635.93086527	783.34	3853.88663126	783.35	4343.76833159	783.42	5828.34029224	783.415	8295.97917065	783.37	8840.89407841
783.525	2651.41228887	783.44	3855.89510685	783.45	4343.02337438	783.52	5830.39224937	783.515	8272.98421412	783.47	8856.74667703
783.625	2622.25341517	783.54	3872.52837655	783.55	4331.00680946	783.62	5831.82284412	783.615	8288.23288259	783.57	8850.85012873
783.725	2627.69734397	783.64	3856.20335081	783.65	4348.82801938	783.72	5823.08053971	783.715	8296.40908265	783.67	8846.26901279
783.825	2628.95810813	783.74	3838.18646878	783.75	4341.15262299	783.82	5820.24236437	783.815	8320.01693725	783.77	8844.96386092
