Time	Ir	Co
					
s	ng cm-2 s-1	ng cm-2 s-1
-51	4.31949E-4	5.14115E-4
-49.494	1.94908E-4	1.27345E-4
-47.988	2.22797E-5	4.17025E-5
-46.482	2.1555E-4	7.81081E-5
-44.976	2.61756E-4	2.02459E-4
-43.47	1.20287E-4	8.34358E-4
-41.964	2.07821E-4	1.80993E-4
-40.458	5.37438E-5	1.24488E-4
-38.952	6.23098E-4	5.11632E-4
-37.446	5.51894E-5	1.54315E-4
-35.94	8.79703E-5	2.4012E-4
-34.434	3.36949E-4	3.26329E-4
-32.928	5.45544E-4	4.0058E-4
-31.422	1.22544E-4	2.78798E-4
-29.916	4.39715E-4	1.51616E-4
-28.41	1.39594E-4	1.23168E-4
-26.904	2.3424E-4	3.82709E-4
-25.398	1.07565E-4	2.20934E-4
-23.892	6.25225E-6	1.47281E-4
-22.386	1.43981E-4	4.07942E-4
-20.88	4.52741E-4	2.59468E-4
-19.374	2.12258E-4	1.81255E-4
-17.868	1.91165E-4	1.1962E-4
-16.362	2.14021E-4	3.39283E-4
-14.856	8.34951E-5	2.85667E-4
-13.35	2.87938E-4	1.71931E-4
-11.844	3.61944E-4	3.51246E-4
-10.338	1.24003E-4	3.26995E-4
-8.832	1.3964E-4	1.77534E-4
-7.326	3.15E-4	2.89112E-4
-5.82	0	2.10138E-4
-4.314	3.15225E-4	2.94653E-4
-2.808	2.67396E-4	4.10864E-4
-1.302	1.25378E-4	1.71196E-4
0.204	9.4067E-5	1.24028E-4
1.71	1.78767E-4	4.60524E-4
3.216	6.34426E-4	0
4.722	8.12498E-5	2.57024E-4
6.228	1.38711E-4	2.88517E-4
7.734	6.19157E-5	4.81454E-5
9.24	3.68977E-4	5.81051E-4
10.746	1.27314E-4	2.06259E-4
12.252	0.00206	0.03925
13.758	0.00874	0.28353
15.264	0.01613	0.72446
16.77	0.02268	1.08435
18.276	0.02577	1.30169
19.782	0.02658	1.33864
21.288	0.02907	1.56209
22.794	0.02984	1.66009
24.3	0.0306	1.78797
25.806	0.03099	1.9337
27.312	0.02905	2.09008
28.818	0.02972	2.02118
30.324	0.02717	2.057
31.83	0.03078	2.18292
33.336	0.03034	2.18384
34.842	0.02994	2.29325
36.348	0.02918	2.25572
37.854	0.03019	2.2589
39.36	0.02943	2.22037
40.866	0.02591	2.23339
42.372	0.02517	2.20431
43.878	0.02854	2.2335
45.384	0.02477	1.97075
46.89	0.02346	1.91049
48.396	0.02188	1.84892
49.902	0.02055	1.75694
51.408	0.02116	1.64126
52.914	0.01906	1.6196
54.42	0.02011	1.50283
55.926	0.01948	1.41837
57.432	0.01702	1.36451
58.938	0.01806	1.27666
60.444	0.01601	1.16326
61.95	0.01313	1.10893
63.456	0.01428	1.03815
64.962	0.01399	0.96571
66.468	0.01355	0.94873
67.974	0.01016	0.85445
69.48	0.01119	0.84199
70.986	0.00933	0.79106
72.492	0.01035	0.76944
73.998	0.00993	0.72647
75.504	0.00895	0.71878
77.01	0.0083	0.65881
78.516	0.00738	0.62869
80.022	0.00625	0.59601
81.528	0.00626	0.56555
83.034	0.00693	0.55238
84.54	0.00662	0.53253
86.046	0.0059	0.49846
87.552	0.00607	0.49796
89.058	0.00632	0.44755
90.564	0.00607	0.4579
92.07	0.00541	0.44383
93.576	0.00419	0.43572
95.082	0.00423	0.42196
96.588	0.00491	0.41221
98.094	0.0038	0.39578
99.6	0.0041	0.38727
101.106	0.00393	0.37801
102.612	0.00352	0.36245
104.118	0.0045	0.37949
105.624	0.00429	0.36338
107.13	0.00363	0.36942
108.636	0.00396	0.35067
110.142	0.00307	0.34737
111.648	0.00369	0.33092
113.155	0.00337	0.3377
114.661	0.00351	0.33885
116.167	0.00324	0.32783
117.673	0.00305	0.32399
119.179	0.00352	0.33081
120.685	0.00345	0.3124
122.191	0.00278	0.32241
123.697	0.00342	0.31052
125.203	0.00364	0.29552
126.709	0.00368	0.30282
128.215	0.00217	0.28929
129.721	0.00346	0.27527
131.227	0.00249	0.28227
132.733	0.00251	0.25925
134.239	0.00355	0.2604
135.745	0.00358	0.25039
137.251	0.00249	0.24902
138.757	0.00277	0.24382
140.263	0.00336	0.2372
141.769	0.00234	0.23813
143.275	0.0024	0.22875
144.781	0.00289	0.23265
146.287	0.00269	0.22882
147.793	0.00348	0.22506
149.299	0.00269	0.22257
150.805	0.00213	0.21906
152.311	0.00308	0.22361
153.817	0.00285	0.21694
155.323	0.00301	0.21822
156.829	0.00223	0.2086
158.335	0.00271	0.20196
159.841	0.00176	0.20066
161.347	0.00266	0.20669
162.853	0.00233	0.19599
164.359	0.00203	0.20862
165.865	0.00192	0.20518
167.371	0.00282	0.1926
168.877	0.00214	0.19686
170.383	0.00252	0.19925
171.889	0.00174	0.19098
173.395	0.0024	0.19955
174.901	0.00192	0.19258
176.407	0.00243	0.18433
177.913	0.00208	0.18103
179.419	0.00135	0.18669
180.925	0.00206	0.19002
182.431	0.00201	0.17525
183.937	0.00254	0.16675
185.443	0.00218	0.17348
186.949	0.00251	0.17689
188.455	0.00271	0.1682
189.961	0.0019	0.16806
191.467	0.00278	0.17344
192.973	0.00306	0.1678
194.479	0.00242	0.15911
195.985	0.0026	0.15667
197.491	0.00208	0.15742
198.997	0.00178	0.14705
200.503	0.00149	0.1627
202.009	0.00209	0.15224
203.515	0.00207	0.14897
205.021	0.00243	0.14529
206.527	0.00246	0.15847
208.033	0.00223	0.15011
209.539	0.00217	0.14741
211.045	0.00205	0.14573
212.551	0.00214	0.1488
214.057	0.00202	0.13425
215.563	0.00219	0.14127
217.069	0.00241	0.14349
218.575	0.00188	0.14375
220.081	0.00163	0.13873
221.587	0.00205	0.14217
223.093	0.00273	0.13975
224.599	0.00218	0.13688
226.105	0.00188	0.13637
227.611	0.00213	0.12748
229.117	0.00221	0.12842
230.623	0.00191	0.12882
232.129	0.00223	0.12777
233.635	0.00142	0.13119
235.141	0.00167	0.13128
236.647	0.00231	0.12868
238.153	0.00186	0.12641
239.659	0.00229	0.12982
241.165	0.00186	0.12734
242.671	0.00195	0.12595
244.177	0.00213	0.12561
245.683	0.00152	0.12509
247.189	0.00191	0.11908
248.695	0.00183	0.12672
250.201	0.00186	0.13187
251.707	0.00174	0.13092
253.213	0.00201	0.11457
254.719	0.00172	0.11113
256.225	0.00167	0.10915
257.731	0.00197	0.11165
259.237	0.00187	0.11537
260.743	0.00203	0.11796
262.249	0.00179	0.1139
263.755	0.00193	0.10957
265.261	0.0014	0.10942
266.767	0.00158	0.10823
268.273	0.00171	0.11447
269.779	0.00178	0.11363
271.285	0.00166	0.11701
272.791	0.00198	0.11105
274.297	0.00168	0.10318
275.803	0.00168	0.10645
277.309	0.00224	0.10482
278.816	0.00148	0.11017
280.322	0.00212	0.10359
281.828	0.00182	0.10475
283.334	0.00188	0.10881
284.84	0.00197	0.104
286.346	0.00122	0.10734
287.852	0.00189	0.11275
289.358	0.00239	0.10689
290.864	0.00137	0.10835
292.37	0.00226	0.10747
293.876	0.00191	0.10977
295.382	0.00158	0.10117
296.888	0.00154	0.10295
298.394	0.00172	0.10091
299.9	0.00164	0.10233
301.406	0.00134	0.1067
302.912	0.00262	0.12553
304.418	0.00298	0.15777
305.924	0.00297	0.18313
307.43	0.00364	0.19407
308.936	0.00454	0.25416
310.442	0.00576	0.27885
311.948	0.00604	0.33103
313.454	0.00896	0.40544
314.96	0.009	0.44557
316.466	0.00994	0.46786
317.972	0.01022	0.53571
319.478	0.01172	0.57
320.984	0.01269	0.60639
322.49	0.01362	0.63538
323.996	0.01489	0.6703
325.502	0.01339	0.68029
327.008	0.01598	0.71042
328.514	0.0168	0.72795
330.02	0.01629	0.7235
331.526	0.01666	0.76499
333.032	0.01938	0.75252
334.538	0.01874	0.74703
336.044	0.01968	0.73485
337.55	0.01973	0.71588
339.056	0.01833	0.73376
340.562	0.01749	0.68166
342.068	0.01793	0.66434
343.574	0.02086	0.67529
345.08	0.01686	0.63129
346.586	0.01841	0.60251
348.092	0.01982	0.57095
349.598	0.01843	0.56559
351.104	0.01728	0.54454
352.61	0.01641	0.54662
354.116	0.01807	0.53462
355.622	0.01705	0.50662
357.128	0.0162	0.47953
358.634	0.01479	0.45562
360.14	0.01803	0.42921
361.646	0.01654	0.4274
363.152	0.01655	0.40011
364.658	0.0153	0.38455
366.164	0.01502	0.38939
367.67	0.01562	0.36946
369.176	0.01415	0.36947
370.682	0.0124	0.36171
372.188	0.01439	0.33488
373.694	0.01423	0.32873
375.2	0.01351	0.33718
376.706	0.012	0.31698
378.212	0.01357	0.31939
379.718	0.01119	0.30997
381.224	0.01118	0.31236
382.73	0.01067	0.30626
384.236	0.00994	0.30789
385.742	0.00895	0.30104
387.248	0.00899	0.295
388.754	0.00915	0.30004
390.26	0.00941	0.28643
391.766	0.0093	0.29257
393.272	0.009	0.29409
394.778	0.007	0.28587
396.284	0.00849	0.28594
397.79	0.00711	0.27451
399.296	0.00802	0.28642
400.802	0.00754	0.26232
402.308	0.00683	0.26127
403.814	0.00642	0.25159
405.32	0.00519	0.244
406.826	0.00576	0.24565
408.332	0.00482	0.23916
409.838	0.0039	0.23173
411.344	0.00496	0.22763
412.85	0.00455	0.2131
414.356	0.0052	0.21006
415.862	0.00393	0.20379
417.368	0.00369	0.20397
418.874	0.00353	0.18968
420.38	0.00335	0.18559
421.886	0.00302	0.18852
423.392	0.00371	0.18654
424.898	0.00408	0.17528
426.404	0.00313	0.1686
427.91	0.00359	0.16578
429.416	0.00224	0.15818
430.922	0.003	0.16084
432.428	0.0023	0.15422
433.934	0.00246	0.1558
435.44	0.00171	0.14231
436.946	0.00183	0.13233
438.452	0.00196	0.13152
439.958	0.00214	0.12993
441.464	0.00173	0.13247
442.971	0.00216	0.13536
444.477	0.00215	0.13596
445.983	0.00292	0.12734
447.489	0.00196	0.13719
448.995	0.00196	0.13722
450.501	0.00196	0.14084
452.007	0.00213	0.12726
453.513	0.00194	0.13031
455.019	0.00255	0.13038
456.525	0.00318	0.12595
458.031	0.00221	0.12862
459.537	0.00159	0.11676
461.043	0.00253	0.1235
462.549	0.00204	0.11862
464.055	0.00175	0.11718
465.561	0.00168	0.11507
467.067	0.00169	0.11467
468.573	0.00186	0.11017
470.079	0.0015	0.10932
471.585	0.00212	0.10088
473.091	0.00196	0.10927
474.597	0.00214	0.10417
476.103	0.00224	0.1024
477.609	0.00103	0.10064
479.115	0.00152	0.09679
480.621	0.00135	0.09318
482.127	0.00134	0.08925
483.633	0.0015	0.09247
485.139	0.0016	0.08493
486.645	0.00131	0.09325
488.151	0.00118	0.08771
489.657	0.00148	0.08435
491.163	0.00169	0.08762
492.669	0.00131	0.08385
494.175	0.00144	0.08084
495.681	0.00103	0.08134
497.187	0.00134	0.08142
498.693	0.00138	0.08191
500.199	0.00112	0.0837
501.705	0.00142	0.07921
503.211	0.00165	0.07997
504.717	0.00129	0.07851
506.223	0.00168	0.08052
507.729	0.00129	0.08294
509.235	0.00158	0.08306
510.741	0.0011	0.0806
512.247	0.00141	0.08067
513.753	0.00157	0.07467
515.259	0.00145	0.07711
516.765	0.00129	0.07805
518.271	0.00104	0.07391
519.777	0.00106	0.07385
521.283	0.00126	0.07094
522.789	0.00143	0.07313
524.295	0.00132	0.07375
525.801	0.00167	0.07509
527.307	0.00151	0.07341
528.813	0.00156	0.07087
530.319	0.00111	0.06992
531.825	0.00126	0.07092
533.331	0.00144	0.0725
534.837	0.00159	0.07071
536.343	0.00144	0.07019
537.849	9.67839E-4	0.06834
539.355	0.0017	0.07306
540.861	0.00102	0.06474
542.367	0.00107	0.069
543.873	8.65461E-4	0.07015
545.379	0.00124	0.06341
546.885	0.00168	0.06324
548.391	0.0017	0.06129
549.897	0.00121	0.05982
551.403	9.37472E-4	0.06277
552.909	0.00102	0.06201
554.415	9.71877E-4	0.05959
555.921	0.0011	0.06063
557.427	6.64366E-4	0.0628
558.933	0.00129	0.06199
560.439	0.00126	0.06302
561.945	0.00137	0.06425
563.451	0.00164	0.06577
564.957	0.00116	0.06203
566.463	0.00148	0.06556
567.969	0.00102	0.0603
569.475	0.0013	0.05977
570.981	9.21268E-4	0.06383
572.487	7.7356E-4	0.05846
573.993	0.00112	0.05859
575.499	0.00161	0.05569
577.005	0.00138	0.06116
578.511	0.00165	0.06063
580.017	0.00132	0.05772
581.523	0.00112	0.06056
583.029	0.00154	0.05997
584.535	0.00183	0.05683
586.041	0.00101	0.05754
587.547	0.00112	0.05874
589.053	0.00105	0.0593
590.559	0.00111	0.0587
592.065	0.00106	0.05903
593.571	6.63045E-4	0.05571
595.077	9.67706E-4	0.06004
596.583	0.00159	0.05435
598.089	0.0012	0.05923
599.595	7.12313E-4	0.05908
601.101	0.00105	0.05357
602.607	0.00132	0.05711
604.113	0.00112	0.05789
605.619	0.00113	0.06318
607.125	0.00115	0.05797
608.632	0.00157	0.05578
610.138	0.00118	0.05517
611.644	5.83056E-4	0.05733
613.15	7.58973E-4	0.05443
614.656	0.00103	0.05494
616.162	7.83614E-4	0.05553
617.668	9.94347E-4	0.05394
619.174	0.00139	0.05865
620.68	0.00129	0.05994
622.186	0.00137	0.06253
623.692	0.00118	0.05739
625.198	0.00117	0.05969
626.704	0.00109	0.05908
628.21	0.0015	0.05799
629.716	0.00109	0.05966
631.222	0.00121	0.052
632.728	0.00144	0.05557
634.234	8.56553E-4	0.05765
635.74	0.00105	0.05667
637.246	9.51843E-4	0.05267
638.752	0.00112	0.05501
640.258	0.00134	0.0544
641.764	0.00112	0.05232
643.27	0.00149	0.0515
644.776	0.00123	0.04842
646.282	0.00128	0.05345
647.788	0.00108	0.05007
649.294	0.0012	0.0491
650.8	0.00143	0.04876
652.306	0.00123	0.04728
653.812	0.00126	0.04723
655.318	6.88638E-4	0.04813
656.824	0.00158	0.04769
658.33	0.00135	0.04881
659.836	0.00111	0.04904
661.342	9.4248E-4	0.05075
662.848	0.00157	0.05257
664.354	0.00185	0.0539
665.86	0.00186	0.05605
667.366	0.00223	0.06269
668.872	0.00299	0.06733
670.378	0.00356	0.06761
671.884	0.00294	0.06615
673.39	0.00532	0.08123
674.896	0.00581	0.0899
676.402	0.00544	0.09615
677.908	0.00774	0.10753
679.414	0.00714	0.11258
680.92	0.007	0.12376
682.426	0.00828	0.12059
683.932	0.00787	0.11878
685.438	0.00952	0.13398
686.944	0.00892	0.13657
688.45	0.00999	0.14908
689.956	0.0096	0.15502
691.462	0.01072	0.15436
692.968	0.01114	0.15975
694.474	0.01212	0.16444
