Time	Ir	Co
					
s	ng cm-2 s-1	ng cm-2 s-1
-51.5	9.87847E-5	1.10218E-5
-49.994	1.30601E-4	6.36841E-5
-48.488	3.02431E-4	3.24885E-4
-46.982	1.45848E-4	2.25213E-4
-45.476	9.75194E-5	2.03397E-4
-43.97	3.13508E-4	4.79918E-4
-42.464	2.00964E-4	2.93647E-4
-40.958	1.3362E-4	2.95833E-4
-39.452	1.03787E-4	2.66675E-4
-37.946	1.03364E-4	3.06265E-4
-36.44	2.52687E-4	3.8699E-4
-34.934	1.49091E-4	3.724E-4
-33.428	9.70914E-5	1.19042E-4
-31.922	1.19837E-4	2.97696E-4
-30.416	1.84271E-4	2.04009E-4
-28.91	8.32135E-5	1.39284E-4
-27.404	2.44596E-5	3.20628E-4
-25.898	2.45045E-4	0
-24.392	1.52034E-4	5.96363E-5
-22.886	7.17199E-5	2.00235E-4
-21.38	2.62175E-4	2.66911E-4
-19.874	1.68823E-4	2.04676E-4
-18.368	5.81437E-5	2.23686E-4
-16.862	1.71435E-4	3.63626E-4
-15.356	1.90006E-4	1.69429E-4
-13.85	8.10564E-5	1.86144E-4
-12.344	1.74906E-4	1.88034E-4
-10.838	1.96691E-4	1.67219E-4
-9.332	6.13734E-5	2.79678E-4
-7.826	2.43511E-4	1.39168E-4
-6.32	0	6.05425E-4
-4.814	1.27265E-4	2.06109E-4
-3.308	1.31969E-4	3.67231E-4
-1.802	1.07208E-4	7.84648E-5
-0.296	6.39476E-5	1.05512E-4
1.21	2.10095E-5	1.85488E-4
2.716	3.13668E-4	8.16683E-4
4.222	2.93636E-4	2.51727E-4
5.728	1.17797E-4	1.90613E-4
7.234	1.00747E-4	3.05979E-4
8.74	1.89047E-4	2.51032E-4
10.246	1.14593E-4	2.19802E-5
11.752	1.59372E-4	3.66659E-4
13.258	1.1366E-4	3.16114E-4
14.764	6.52901E-5	1.78621E-4
16.27	1.84808E-4	1.99524E-4
17.776	1.92561E-4	2.51487E-4
19.282	2.413E-5	1.16164E-4
20.788	1.39316E-4	2.12978E-5
22.294	4.67955E-5	5.82733E-5
23.8	1.72111E-4	6.15506E-4
25.306	8.50371E-5	8.73028E-5
26.812	8.89606E-5	1.30224E-4
28.318	1.12784E-4	0.02848
29.824	3.40996E-4	0.83611
31.33	8.95014E-4	1.98325
32.836	0.00142	2.80542
34.342	0.00199	3.35582
35.848	0.00197	3.43373
37.354	0.0022	3.54683
38.86	0.00247	3.78227
40.366	0.00294	3.94634
41.872	0.00298	4.0371
43.378	0.00297	3.96938
44.884	0.00287	4.00167
46.39	0.00344	4.1186
47.896	0.00342	4.29233
49.402	0.00398	4.10845
50.908	0.00316	4.01499
52.414	0.00405	3.84043
53.92	0.0037	3.70774
55.426	0.0038	3.37426
56.932	0.00366	3.40205
58.438	0.00437	3.23128
59.944	0.00345	3.25731
61.45	0.00316	2.82955
62.956	0.00361	2.72848
64.462	0.00304	2.53437
65.968	0.00319	2.3798
67.474	0.00308	2.22644
68.98	0.00288	2.28535
70.486	0.00345	2.10774
71.992	0.00234	1.78636
73.498	0.00271	1.54457
75.004	0.00171	1.42991
76.51	0.00236	1.30241
78.016	0.00197	1.10489
79.522	0.00189	1.00915
81.028	0.00165	0.93327
82.534	0.00158	0.85311
84.04	0.00199	0.80949
85.546	0.00171	0.73929
87.052	0.00127	0.67873
88.558	0.0011	0.61317
90.064	9.09475E-4	0.56853
91.57	9.53209E-4	0.52545
93.076	9.63505E-4	0.48124
94.582	9.3621E-4	0.45342
96.088	7.4381E-4	0.4046
97.594	7.89281E-4	0.40275
99.1	0.00107	0.36134
100.606	7.04466E-4	0.34921
102.112	7.37967E-4	0.33768
103.618	7.08702E-4	0.31721
105.124	7.74111E-4	0.29225
106.63	5.04337E-4	0.29752
108.136	8.23321E-4	0.27899
109.642	4.82793E-4	0.27477
111.148	5.77372E-4	0.27747
112.655	6.82649E-4	0.25825
114.161	5.11049E-4	0.2607
115.667	4.86239E-4	0.25495
117.173	7.0331E-4	0.24175
118.679	8.40616E-4	0.22915
120.185	5.49656E-4	0.22459
121.691	6.08824E-4	0.22421
123.197	6.89508E-4	0.22355
124.703	5.30727E-4	0.21293
126.209	8.25937E-4	0.21184
127.715	5.27329E-4	0.20139
129.221	6.34736E-4	0.19337
130.727	5.86605E-4	0.18699
132.233	4.53861E-4	0.17936
133.739	5.64986E-4	0.17048
135.245	6.89874E-4	0.16714
136.751	5.68118E-4	0.1712
138.257	2.9649E-4	0.16064
139.763	4.81976E-4	0.1638
141.269	4.48676E-4	0.15814
142.775	3.61861E-4	0.16106
144.281	5.02114E-4	0.15217
145.787	4.2269E-4	0.15205
147.293	4.20129E-4	0.14504
148.799	3.00684E-4	0.14253
150.305	5.12413E-4	0.14246
151.811	1.70671E-4	0.14683
153.317	5.03714E-4	0.14091
154.823	4.62544E-4	0.13631
156.329	3.6387E-4	0.13853
157.835	5.60943E-4	0.13643
159.341	4.38595E-4	0.13318
160.847	5.24202E-4	0.1288
162.353	4.50369E-4	0.12635
163.859	3.94154E-4	0.12427
165.365	4.35429E-4	0.12073
166.871	1.30963E-4	0.1191
168.377	4.31243E-4	0.11882
169.883	3.06768E-4	0.12143
171.389	7.29391E-4	0.10995
172.895	4.90013E-4	0.11806
174.401	4.9416E-4	0.11558
175.907	2.41998E-4	0.10997
177.413	4.37633E-4	0.11144
178.919	3.22324E-4	0.10956
180.425	3.87143E-4	0.11172
181.931	2.59539E-4	0.11774
183.437	5.15837E-4	0.12161
184.943	4.52705E-4	0.13044
186.449	7.67852E-4	0.15145
187.955	5.69678E-4	0.16124
189.461	1.316E-4	0.18393
190.967	3.21028E-4	0.21094
192.473	7.34467E-4	0.24111
193.979	9.36452E-4	0.27769
195.485	8.21348E-4	0.31459
196.991	7.37997E-4	0.33952
198.497	8.47962E-4	0.37421
200.003	9.38113E-4	0.38753
201.509	0.00127	0.41939
203.015	9.46382E-4	0.43436
204.521	9.13436E-4	0.49287
206.027	0.00107	0.50377
207.533	9.65437E-4	0.54341
209.039	0.0012	0.54901
210.545	0.00164	0.54209
212.051	0.00151	0.56171
213.557	0.00122	0.58565
215.063	0.00122	0.59244
216.569	0.00118	0.57883
218.075	0.00129	0.5604
219.581	0.00135	0.5514
221.087	0.00116	0.49535
222.593	9.66431E-4	0.49198
224.099	0.00144	0.47442
225.605	0.00131	0.48605
227.111	0.0011	0.46807
228.617	0.00115	0.46425
230.123	8.6142E-4	0.42402
231.629	0.00116	0.41567
233.135	0.00108	0.388
234.641	9.23061E-4	0.39216
236.147	0.00103	0.36031
237.653	9.30829E-4	0.33968
239.159	0.00125	0.32525
240.665	7.94E-4	0.3171
242.171	9.70295E-4	0.30142
243.677	9.63645E-4	0.30483
245.183	9.78438E-4	0.2891
246.689	6.87846E-4	0.28631
248.195	7.78724E-4	0.27239
249.701	6.94839E-4	0.26303
251.207	0.00101	0.25361
252.713	8.30952E-4	0.2536
254.219	6.60975E-4	0.25215
255.725	6.5114E-4	0.24692
257.231	8.936E-4	0.24052
258.737	9.55175E-4	0.25627
260.243	9.7883E-4	0.23603
261.749	6.26256E-4	0.25757
263.255	5.55559E-4	0.2598
264.761	7.67334E-4	0.25915
266.267	6.30144E-4	0.24507
267.773	5.87198E-4	0.23935
269.279	6.3435E-4	0.25033
270.785	7.6441E-4	0.24157
272.291	9.33984E-4	0.24799
273.797	7.40329E-4	0.24234
275.303	5.84956E-4	0.24376
276.809	5.98863E-4	0.23601
278.316	6.5389E-4	0.23269
279.822	8.42533E-4	0.21937
281.328	4.5244E-4	0.22193
282.834	8.50846E-4	0.21989
284.34	7.71764E-4	0.22219
285.846	3.79234E-4	0.21242
287.352	5.62272E-4	0.20578
288.858	6.97271E-4	0.19616
290.364	5.9737E-4	0.19356
291.87	3.78987E-4	0.19253
293.376	6.31225E-4	0.17709
294.882	5.28678E-4	0.17825
296.388	3.22875E-4	0.17375
297.894	4.24105E-4	0.1685
299.4	5.40892E-4	0.1715
300.906	4.23828E-4	0.15551
302.412	4.29075E-4	0.15835
303.918	4.52148E-4	0.14991
305.424	4.88817E-4	0.14587
306.93	4.53737E-4	0.13905
308.436	4.15622E-4	0.13766
309.942	4.35485E-4	0.13532
311.448	3.28413E-4	0.13202
312.954	3.5833E-4	0.1362
314.46	1.29612E-4	0.11963
315.966	4.82152E-4	0.12211
317.472	5.15665E-4	0.11773
318.978	6.18388E-4	0.11444
320.484	3.80625E-4	0.10914
321.99	5.04381E-4	0.10836
323.496	6.46384E-4	0.10558
325.002	3.48464E-4	0.09911
326.508	5.79858E-4	0.10589
328.014	4.32048E-4	0.10582
329.52	4.9762E-4	0.11246
331.026	5.04994E-4	0.09791
332.532	4.08539E-4	0.09629
334.038	3.97492E-4	0.09559
335.544	6.17881E-4	0.09274
337.05	3.33841E-4	0.09339
338.556	2.59338E-4	0.09421
340.062	3.37388E-4	0.09213
341.568	3.27331E-4	0.08919
343.074	2.56058E-4	0.08249
344.58	3.15713E-4	0.0778
346.086	3.94874E-4	0.08643
347.592	3.66585E-4	0.08573
349.098	2.94953E-4	0.0819
350.604	2.93921E-4	0.07932
352.11	4.17509E-4	0.08046
353.616	4.28555E-4	0.07714
355.122	5.44991E-4	0.07491
356.628	2.04661E-4	0.0764
358.134	2.28561E-4	0.07409
359.64	2.26849E-4	0.07051
361.146	3.6359E-4	0.07198
362.652	4.17943E-4	0.07058
364.158	4.89136E-4	0.07343
365.664	3.69694E-4	0.06607
367.17	2.69389E-4	0.06646
368.676	2.98713E-4	0.06532
370.182	2.29064E-4	0.06547
371.688	2.27697E-4	0.06254
373.194	5.94117E-4	0.06376
374.7	2.6874E-4	0.06233
376.206	4.55395E-4	0.06257
377.712	4.27427E-4	0.06823
379.218	6.3109E-4	0.06149
380.724	3.33381E-4	0.06434
382.23	2.64638E-4	0.06252
383.736	4.07832E-4	0.05983
385.242	3.65367E-4	0.06037
386.748	3.28031E-4	0.06086
388.254	1.62348E-4	0.06008
389.76	3.96373E-4	0.06259
391.266	5.27834E-4	0.05936
392.772	6.21852E-4	0.06386
394.278	3.60994E-4	0.06067
395.784	4.63731E-4	0.0609
397.29	3.96627E-4	0.06514
398.796	3.32017E-4	0.06638
400.302	4.27381E-4	0.06559
401.808	3.9842E-4	0.06344
403.314	1.97106E-4	0.06582
404.82	2.91432E-4	0.06682
406.326	3.43163E-4	0.06536
407.832	4.50757E-4	0.06557
409.338	2.86909E-4	0.05928
410.844	2.19464E-4	0.0574
412.35	2.55025E-4	0.05592
413.856	5.73889E-4	0.05728
415.362	1.93378E-4	0.06056
416.868	5.49254E-4	0.05941
418.374	3.23151E-4	0.06093
419.88	4.47454E-4	0.05788
421.386	4.51997E-4	0.05888
422.892	5.16536E-4	0.05966
424.398	2.66791E-4	0.06001
425.904	4.06015E-4	0.06606
427.41	2.95616E-4	0.06182
428.916	6.91002E-4	0.0614
430.422	2.59029E-4	0.0572
431.928	3.51949E-4	0.05945
433.434	3.26737E-4	0.05851
434.94	2.96805E-4	0.05891
436.446	2.60215E-4	0.05943
437.952	4.67591E-4	0.05763
439.458	3.51985E-4	0.05642
440.964	2.99181E-4	0.05865
442.471	3.62361E-4	0.05694
443.977	3.88446E-4	0.05352
445.483	3.59055E-4	0.05242
446.989	3.90807E-4	0.05273
448.495	3.63032E-4	0.05146
450.001	4.19878E-4	0.0484
451.507	2.28047E-4	0.04909
453.013	2.9268E-4	0.04762
454.519	2.54464E-4	0.05115
456.025	4.00127E-4	0.04689
457.531	5.27295E-4	0.04931
459.037	3.29678E-4	0.04705
460.543	2.26598E-4	0.04606
462.049	3.71613E-4	0.04722
463.555	3.90429E-4	0.04611
465.061	3.90339E-4	0.04476
466.567	1.32262E-4	0.04472
468.073	3.59502E-4	0.04363
469.579	2.94517E-4	0.04354
471.085	3.00224E-4	0.04312
472.591	2.9642E-4	0.04163
474.097	4.30764E-4	0.04417
475.603	4.16498E-4	0.0452
477.109	5.19927E-4	0.05513
478.615	4.82154E-4	0.05216
480.121	3.42473E-4	0.04449
481.627	1.36455E-4	0.04242
483.133	2.57099E-4	0.04215
484.639	6.45737E-4	0.03913
486.145	4.70153E-4	0.04188
487.651	2.64909E-4	0.04122
489.157	4.09213E-4	0.04043
490.663	2.29962E-4	0.03934
492.169	2.94082E-4	0.03862
493.675	1.9419E-4	0.04144
495.181	2.91128E-4	0.03963
496.687	2.29006E-4	0.04017
498.193	4.48565E-4	0.03931
499.699	5.28205E-4	0.0407
501.205	2.26111E-4	0.04003
502.711	5.24916E-4	0.04076
504.217	3.32973E-4	0.03869
505.723	3.21922E-4	0.03716
507.229	1.96249E-4	0.04068
508.735	2.63317E-4	0.04005
510.241	2.8856E-4	0.03986
511.747	3.38819E-4	0.0412
513.253	3.26276E-4	0.04192
514.759	5.35496E-4	0.04022
516.265	5.51717E-4	0.04065
517.771	3.59032E-4	0.03913
519.277	4.72395E-4	0.04145
520.783	1.33312E-4	0.04393
522.289	2.99315E-4	0.04203
523.795	2.22688E-4	0.04149
525.301	3.84222E-4	0.04143
526.807	2.59501E-4	0.04132
528.313	4.50223E-4	0.04064
529.819	5.10375E-4	0.04032
531.325	3.1865E-4	0.03924
532.831	5.52192E-4	0.03991
534.337	3.40031E-4	0.03584
535.843	3.71426E-4	0.03913
537.349	3.20868E-4	0.03665
538.855	2.27263E-4	0.03701
540.361	2.91786E-4	0.03608
541.867	2.56211E-4	0.03601
543.373	3.91325E-4	0.03577
544.879	3.92366E-4	0.03679
546.385	3.87168E-4	0.03447
547.891	3.57991E-4	0.03418
549.397	1.97173E-4	0.03342
550.903	4.26919E-4	0.03231
552.409	4.54889E-4	0.03293
553.915	5.08641E-4	0.03254
555.421	3.67796E-4	0.03185
556.927	5.94903E-4	0.03213
558.433	4.72036E-4	0.0302
559.939	4.28363E-4	0.02826
561.445	5.53178E-4	0.03025
562.951	4.98924E-4	0.03029
564.457	2.97947E-4	0.02866
565.963	3.03716E-4	0.02799
567.469	3.32708E-4	0.02923
568.975	7.283E-4	0.02838
570.481	6.32486E-4	0.02639
571.987	7.53142E-4	0.02645
573.493	7.43924E-4	0.02628
574.999	6.28986E-4	0.02541
576.505	8.03714E-4	0.02532
578.011	7.65839E-4	0.02564
579.517	4.59214E-4	0.02613
581.023	8.38603E-4	0.02894
582.529	6.68158E-4	0.02615
584.035	8.25304E-4	0.02532
585.541	6.57943E-4	0.02884
587.047	7.00087E-4	0.0271
588.553	5.28126E-4	0.02731
590.059	7.69718E-4	0.02635
