Time	E	j
s	V RHE	mA cm-2
27.20005	1.04535	-3.2769E-6
27.30005	1.04535	-2.89956E-6
27.40005	1.04535	1.35551E-6
27.50005	1.04535	2.7468E-7
27.60005	1.04537	-2.42308E-6
27.70005	1.04537	1.25008E-6
27.80005	1.04538	3.03159E-6
27.90006	1.0454	-6.41704E-7
28.00006	1.0454	-2.62563E-7
28.10005	1.04542	-1.75625E-6
28.20005	1.04543	-3.2769E-6
28.30005	1.04542	-1.47959E-6
28.40006	1.04542	1.96396E-6
28.50006	1.04544	-2.81451E-6
28.60006	1.04544	-3.2769E-6
28.70006	1.04543	-2.50909E-6
28.80006	1.04543	-2.93038E-6
28.90006	1.04543	-3.2769E-6
29.00006	1.04543	-3.21877E-6
29.10006	1.04542	-6.00534E-7
29.20006	1.04541	3.27685E-6
29.30006	1.04541	3.27685E-6
29.40006	1.0454	3.27685E-6
29.50006	1.04541	3.27685E-6
29.60006	1.04541	3.03913E-6
29.70006	1.04542	5.32747E-7
29.80006	1.04541	1.06901E-6
29.90006	1.04543	-2.82169E-6
30.00006	1.04544	-3.21731E-6
30.10006	1.04543	-2.37352E-6
30.20006	1.04543	-2.0225E-6
30.30006	1.04544	-3.15436E-6
30.40006	1.04544	-3.2769E-6
30.50006	1.04543	-1.22368E-6
30.60006	1.04543	2.15196E-6
30.70006	1.04544	1.22328E-7
30.80006	1.04545	-3.26814E-6
30.90006	1.04543	2.20845E-6
31.00006	1.04545	3.27685E-6
31.10006	1.04546	3.17933E-6
31.20006	1.04547	-1.85989E-6
31.30006	1.04547	-2.41232E-6
31.40006	1.04546	-1.26677E-6
31.50006	1.04546	3.06527E-6
31.60006	1.04547	3.20649E-6
31.70006	1.04548	-2.89109E-6
31.80006	1.04545	-2.49977E-6
31.90006	1.04543	3.27685E-6
32.00006	1.04543	2.1664E-6
32.10006	1.04544	-3.15303E-6
32.20006	1.04544	-3.22224E-6
32.30006	1.04544	-3.27287E-6
32.40006	1.04544	-2.74463E-6
32.50006	1.04544	-3.16243E-6
32.60007	1.04545	-3.2769E-6
32.70006	1.04544	-3.27688E-6
32.80006	1.04544	-1.94528E-6
32.90006	1.04544	-2.91541E-7
33.00006	1.04544	-1.27256E-6
33.10007	1.04544	1.47636E-6
33.20006	1.04544	1.50405E-6
33.30007	1.04544	3.27685E-6
33.40006	1.04545	3.27685E-6
33.50007	1.04545	3.27685E-6
33.60007	1.04546	3.20912E-6
33.70006	1.04546	1.72836E-6
33.80007	1.04547	-3.2769E-6
33.90006	1.04546	-3.2769E-6
34.00007	1.04546	-2.28167E-6
34.10007	1.04545	2.78905E-6
34.20007	1.04546	3.27685E-6
34.30007	1.04547	3.14469E-6
34.40007	1.04548	3.22247E-6
34.50007	1.04548	3.27685E-6
34.60007	1.04549	1.19174E-7
34.70007	1.04551	-3.20516E-6
34.80007	1.04549	-2.53406E-6
34.90007	1.04551	-3.2769E-6
35.00007	1.04552	-3.2769E-6
35.10007	1.04551	-2.76531E-6
35.20007	1.04551	-2.31715E-6
35.30007	1.04553	-3.2769E-6
35.40007	1.04551	-2.86638E-6
35.50007	1.04548	2.78655E-7
35.60007	1.04548	3.27685E-6
35.70007	1.04549	3.27685E-6
35.80007	1.04549	2.85504E-6
35.90007	1.04549	3.27685E-6
36.00007	1.0455	3.27685E-6
36.10007	1.0455	1.28931E-6
36.20007	1.04551	-3.2769E-6
36.30007	1.0455	-3.2769E-6
36.40007	1.04548	-7.93984E-7
36.50007	1.04548	3.2655E-6
36.60007	1.04547	3.27685E-6
36.70007	1.04549	-2.29375E-6
36.80007	1.04549	-3.05106E-6
36.90007	1.04546	7.2023E-7
37.00007	1.04545	1.68405E-6
37.10007	1.04544	-1.52901E-6
37.20007	1.04542	3.14321E-6
37.30007	1.04542	3.27685E-6
37.40007	1.04541	3.26214E-6
37.50007	1.0454	2.96566E-6
37.60007	1.0454	3.27685E-6
37.70008	1.04539	3.27685E-6
37.80007	1.04539	3.27685E-6
37.90007	1.04539	3.24235E-6
38.00007	1.04539	1.21713E-6
38.10007	1.04538	2.43262E-6
38.20008	1.04539	-9.19902E-7
38.30007	1.04538	2.73109E-6
38.40008	1.04539	-2.05571E-6
38.50007	1.04539	-3.2769E-6
38.60008	1.04538	-3.2769E-6
38.70008	1.04537	-3.05191E-6
38.80008	1.04538	-3.2769E-6
38.90008	1.04538	-3.2769E-6
39.00007	1.04538	-3.2769E-6
39.10008	1.04538	-3.19993E-6
39.20008	1.04537	3.39994E-7
39.30008	1.04539	-2.88032E-7
39.40008	1.0454	2.15433E-6
39.50008	1.04542	3.27685E-6
39.60008	1.04542	2.75606E-6
39.70008	1.04542	1.18676E-7
39.80008	1.04543	3.27685E-6
39.90008	1.04547	1.79527E-6
40.00008	1.04549	-3.2769E-6
40.10008	1.04545	-3.2769E-6
40.20008	1.04542	-2.2366E-6
40.30008	1.0454	-2.99133E-6
40.40008	1.04538	-3.2769E-6
40.50008	1.04534	1.47554E-6
40.60008	1.04533	3.27685E-6
40.70008	1.04533	1.05465E-6
40.80008	1.04533	-3.10541E-6
40.90008	1.04532	2.33427E-6
41.00008	1.04533	3.27685E-6
41.10008	1.04534	2.8674E-6
41.20008	1.04535	-2.03126E-6
41.30008	1.04535	-2.04148E-6
41.40008	1.04535	-3.2769E-6
41.50008	1.04535	-2.11225E-6
41.60008	1.04535	2.78488E-6
41.70008	1.04536	1.27183E-6
41.80008	1.04537	-3.25128E-6
41.90008	1.04537	-2.14458E-6
42.00008	1.04536	9.91888E-7
42.10008	1.04538	-3.23996E-6
42.20008	1.04538	-3.2769E-6
42.30008	1.04538	-3.1498E-6
42.40008	1.04538	-1.3274E-6
42.50008	1.04538	1.36705E-6
42.60008	1.04539	-2.38617E-6
42.70008	1.04538	1.89843E-6
42.80009	1.04538	3.27685E-6
42.90008	1.0454	3.27685E-6
43.00008	1.0454	2.90191E-6
43.10008	1.0454	3.24799E-6
43.20008	1.0454	1.14207E-6
43.30009	1.04539	3.27685E-6
43.40008	1.04539	3.25342E-6
43.50009	1.0454	-3.06534E-6
43.60008	1.04539	-3.2769E-6
43.70009	1.04537	-3.07019E-6
43.80009	1.04537	-1.30421E-6
43.90009	1.04537	-2.96569E-6
44.00009	1.04537	-3.26919E-6
44.10008	1.04536	-3.2769E-6
44.20009	1.04535	-2.74549E-6
44.30009	1.04535	-3.27616E-6
44.40009	1.04535	-3.2769E-6
44.50009	1.04534	-2.9701E-6
44.60009	1.04534	-1.64144E-6
44.70009	1.04534	-2.60344E-6
44.80009	1.04533	2.55429E-6
44.90009	1.04533	2.07043E-6
45.00009	1.04533	-3.19545E-6
45.10009	1.04532	-3.23373E-6
45.20009	1.04531	-1.95814E-6
45.30009	1.04531	-2.13124E-6
45.40009	1.04531	-2.95366E-6
45.50009	1.04529	1.67861E-6
45.60009	1.04529	3.27685E-6
45.70009	1.04529	3.24195E-6
45.80009	1.04528	2.39983E-6
45.90009	1.04528	3.27685E-6
46.00009	1.04528	3.27685E-6
46.10009	1.04528	3.27685E-6
46.20009	1.04528	3.27685E-6
46.30009	1.04528	3.09011E-6
46.40009	1.04528	-2.81602E-6
46.50009	1.04527	-2.13283E-6
46.60009	1.04527	3.21758E-6
46.70009	1.04528	-9.43899E-7
46.80009	1.04526	-3.2769E-6
46.90009	1.04525	-1.01897E-6
47.00009	1.04524	3.27685E-6
47.10009	1.04524	1.1994E-6
47.20009	1.04524	-5.00747E-7
47.30009	1.04523	-9.33858E-8
47.40009	1.04522	3.27685E-6
47.50009	1.04522	2.13316E-6
47.60009	1.04522	-2.59076E-6
47.70009	1.0452	3.10566E-6
47.80009	1.04521	3.27685E-6
47.9001	1.04522	-1.28075E-6
48.00009	1.04521	-1.32792E-6
48.10009	1.0452	3.27685E-6
48.20009	1.04521	1.15192E-6
48.30009	1.04521	-3.46499E-7
48.4001	1.0452	3.25231E-6
48.50009	1.04519	3.15489E-6
48.6001	1.0452	-3.2716E-6
48.70009	1.04519	-3.10667E-6
48.8001	1.04519	-3.2769E-6
48.9001	1.04519	-3.2769E-6
49.0001	1.04518	-2.80695E-6
49.1001	1.04517	2.576E-6
49.20009	1.04517	3.27685E-6
49.3001	1.04517	3.27685E-6
