Time	E	j
s	V RHE	mA cm-2
25.40005	0.90773	2.65292E-6
25.50005	0.90781	2.59114E-6
25.60005	0.90791	2.49781E-6
25.70005	0.90802	2.44747E-6
25.80005	0.90811	2.37468E-6
25.90005	0.90821	2.2329E-6
26.00005	0.90829	2.27583E-6
26.10005	0.90838	2.50032E-6
26.20005	0.90845	2.47614E-6
26.30005	0.90851	2.56682E-6
26.40005	0.90859	2.42944E-6
26.50005	0.90867	2.47797E-6
26.60005	0.90877	2.26229E-6
26.70005	0.90887	2.28783E-6
26.80005	0.90897	2.08692E-6
26.90005	0.90906	2.41288E-6
27.00005	0.90915	2.51808E-6
27.10005	0.90923	2.36661E-6
27.20005	0.9093	2.39206E-6
27.30005	0.90938	2.30544E-6
27.40005	0.90946	2.3171E-6
27.50005	0.90954	1.97672E-6
27.60005	0.90964	2.09795E-6
27.70005	0.90974	2.19391E-6
27.80005	0.90983	2.54135E-6
27.90006	0.9099	3.30166E-6
28.00006	0.91	3.45675E-6
28.10005	0.91012	2.12258E-6
28.20005	0.91021	-3.26643E-6
28.30005	0.9103	-1.72929E-6
28.40006	0.91038	9.44931E-7
28.50006	0.91057	3.44618E-6
28.60006	0.9107	3.45675E-6
28.70006	0.91083	3.45675E-6
28.80006	0.91099	3.44434E-6
28.90006	0.91108	1.88119E-7
29.00006	0.91117	-1.53276E-6
29.10006	0.91123	-3.24815E-6
29.20006	0.91129	-2.05316E-6
29.30006	0.91136	-2.59526E-6
29.40006	0.91143	1.53179E-7
29.50006	0.9115	3.45264E-6
29.60006	0.91163	1.12848E-6
29.70006	0.91169	2.57839E-6
29.80006	0.9118	-1.49386E-6
29.90006	0.91186	-1.50319E-6
30.00006	0.91191	1.66443E-6
30.10006	0.91199	-1.00195E-6
30.20006	0.91211	2.66247E-6
30.30006	0.91223	3.20216E-6
30.40006	0.91232	3.26892E-6
30.50006	0.91239	5.80458E-8
30.60006	0.91246	2.19535E-6
30.70006	0.91254	-7.72166E-7
30.80006	0.9126	1.73063E-6
30.90006	0.91266	-2.42397E-6
31.00006	0.91271	2.17285E-6
31.10006	0.91285	3.16336E-6
31.20006	0.91292	1.81446E-6
31.30006	0.91306	2.38647E-6
31.40006	0.91311	-2.33105E-7
31.50006	0.9132	1.82536E-6
31.60006	0.91325	-2.81448E-6
31.70006	0.9133	3.46977E-7
31.80006	0.91338	-2.23772E-6
31.90006	0.91343	2.37563E-6
32.00006	0.91355	2.09628E-6
32.10006	0.9136	-1.25729E-6
32.20006	0.91367	-9.52107E-8
32.30006	0.91369	-1.41786E-6
32.40006	0.91376	-8.93331E-7
32.50006	0.91383	-1.34249E-6
32.60007	0.91391	1.719E-6
32.70006	0.914	-5.7297E-7
32.80006	0.914	3.34902E-6
32.90006	0.9141	3.01987E-6
33.00006	0.91416	3.4036E-6
33.10007	0.91432	-2.22956E-6
33.20006	0.91432	8.22743E-7
33.30007	0.91444	-3.04535E-7
33.40006	0.91449	-2.18656E-6
33.50007	0.91455	6.58076E-7
33.60007	0.91464	3.41361E-6
33.70006	0.91475	1.57795E-6
33.80007	0.91479	3.24386E-6
33.90006	0.91493	-8.05956E-7
34.00007	0.91499	-2.34768E-6
34.10007	0.91503	-2.98204E-6
34.20007	0.91507	-2.97799E-6
34.30007	0.91512	-2.34591E-6
34.40007	0.9151	1.14023E-6
34.50007	0.91517	1.3415E-6
34.60007	0.91527	1.64791E-6
34.70007	0.91544	1.44972E-7
34.80007	0.91547	-1.77198E-6
34.90007	0.91553	1.5001E-7
35.00007	0.91558	-7.28221E-7
35.10007	0.91565	-2.1036E-6
35.20007	0.91568	-2.29288E-6
35.30007	0.91566	2.88343E-6
35.40007	0.9158	8.69628E-7
35.50007	0.91591	-8.55226E-7
35.60007	0.9159	2.15753E-6
35.70007	0.916	2.21486E-6
35.80007	0.91614	-2.83383E-6
35.90007	0.91615	-7.6184E-7
36.00007	0.91626	-2.99472E-6
36.10007	0.91626	1.75872E-6
36.20007	0.91641	-1.82198E-7
36.30007	0.91647	-6.45418E-7
36.40007	0.91649	8.92774E-7
36.50007	0.91656	1.97917E-7
36.60007	0.91664	-1.35986E-6
36.70007	0.91668	-3.44378E-6
36.80007	0.91668	-1.60828E-6
36.90007	0.91666	2.64586E-6
37.00007	0.91675	3.09894E-6
37.10007	0.91689	-7.66869E-7
37.20007	0.91693	3.26971E-6
37.30007	0.91703	4.02245E-8
37.40007	0.91709	-2.47157E-6
37.50007	0.91711	-1.81084E-6
37.60007	0.91716	1.18025E-6
37.70008	0.91718	3.0053E-6
37.80007	0.91724	3.15129E-6
37.90007	0.91734	2.25823E-6
38.00007	0.9174	2.90841E-6
38.10007	0.91753	-1.02145E-6
38.20008	0.91751	-3.56164E-7
38.30007	0.9176	-2.11834E-6
38.40008	0.91765	-2.28955E-6
38.50007	0.91769	-7.06485E-7
38.60008	0.91776	3.31694E-6
38.70008	0.91787	1.90325E-6
38.80008	0.91793	2.75417E-6
38.90008	0.91795	3.45465E-6
39.00007	0.91809	-1.55936E-6
39.10008	0.91809	-1.42138E-6
39.20008	0.91813	5.30706E-8
39.30008	0.91815	5.92965E-7
39.40008	0.91817	2.98857E-6
39.50008	0.91826	1.43913E-6
