Time	E	j
s	V RHE	mA cm-2
10.00002	3.5628	1.0538E-7
10.10002	3.5628	7.04311E-8
10.20002	3.5628	9.63853E-8
10.30002	3.5628	6.35021E-8
10.40002	3.5628	9.05235E-8
10.50002	3.5628	6.84224E-8
10.60002	3.5628	8.37763E-8
10.70002	3.5628	1.00507E-7
10.80002	3.5628	9.30075E-8
10.90002	3.5628	1.21268E-7
11.00002	3.5628	9.54216E-8
11.10002	3.5628	1.23435E-7
11.20002	3.5628	9.497E-8
11.30002	3.5628	8.9136E-8
11.40002	3.5628	9.74352E-8
11.50002	3.5628	1.07002E-7
11.60002	3.5628	1.17243E-7
11.70002	3.5628	1.20189E-7
11.80002	3.5628	1.39314E-7
11.90002	3.5628	1.02353E-7
12.00002	3.5628	1.00161E-7
12.10002	3.5628	8.90623E-8
12.20002	3.5628	1.03683E-7
12.30002	3.5628	1.37307E-7
12.40002	3.5628	1.26127E-7
12.50002	3.5628	1.69754E-7
12.60002	3.5628	1.48762E-7
12.70002	3.5628	1.78813E-7
12.80003	3.5628	1.27925E-7
12.90003	3.5628	1.14673E-7
13.00002	3.5628	7.24916E-8
13.10003	3.5628	7.93347E-8
13.20003	3.5628	8.2397E-8
13.30003	3.5628	7.56748E-8
13.40003	3.5628	9.80875E-8
13.50003	3.5628	7.33633E-8
13.60003	3.5628	1.05457E-7
13.70003	3.5628	8.59372E-8
13.80003	3.5628	9.3389E-8
13.90003	3.5628	8.49462E-8
14.00003	3.5628	1.02079E-7
14.10003	3.5628	1.16783E-7
14.20003	3.5628	1.25042E-7
14.30003	3.5628	1.4236E-7
14.40003	3.5628	1.12422E-7
14.50003	3.5628	1.18026E-7
14.60003	3.5628	5.78496E-7
14.70003	3.5628	-2.79699E-6
14.80003	3.5628	-2.91032E-6
14.90003	3.5628	-2.71477E-6
15.00003	3.5628	-2.46303E-6
15.10003	3.5628	-2.17626E-6
15.20003	3.5628	-1.4972E-6
15.30003	3.5628	-1.23932E-6
15.40003	3.5628	-1.07157E-6
15.50003	3.5628	-1.04791E-6
15.60003	3.5628	-1.13699E-6
15.70003	3.5628	-1.30296E-6
15.80003	3.47482	-1.06827E-6
15.90003	1.73049	-2.15714E-7
16.00003	-0.85733	1.06597E-6
16.10003	-0.52259	1.73676E-6
16.20003	-0.21199	1.95288E-6
16.30003	-0.23106	1.97743E-6
16.40003	0.88744	1.27451E-6
16.50003	1.08139	1.2412E-6
16.60003	1.08223	1.39005E-6
16.70003	1.08303	1.58277E-6
16.80003	1.08379	1.61463E-6
16.90003	1.08452	1.47195E-6
17.00003	1.0852	1.32694E-6
17.10003	1.08585	1.21351E-6
17.20003	1.08646	1.16073E-6
17.30003	1.08705	1.22053E-6
