Time	E	j
s	V RHE	mA cm-2
10.00002	3.5628	-2.91714E-6
10.10002	3.55063	-1.43105E-6
10.20002	3.55008	9.11572E-7
10.30002	3.5628	2.79978E-6
10.40002	2.18848	3.56064E-6
10.50002	1.18738	3.73795E-6
10.60002	1.18881	3.73795E-6
10.70002	1.19146	3.73795E-6
10.80002	1.19418	3.73795E-6
10.90002	1.19574	3.73795E-6
11.00002	1.19695	3.73795E-6
11.10002	1.19808	3.73006E-6
11.20002	1.19911	3.6414E-6
11.30002	1.20001	3.52678E-6
11.40002	1.20085	3.37128E-6
11.50002	1.20161	3.19274E-6
11.60002	1.20232	3.00535E-6
11.70002	1.20295	2.77426E-6
11.80002	1.20356	2.58735E-6
11.90002	1.20413	2.39788E-6
12.00002	1.20467	2.42425E-6
12.10002	1.20521	2.25857E-6
12.20002	1.20566	2.25646E-6
12.30002	1.20609	2.13422E-6
12.40002	1.20646	2.13198E-6
12.50002	1.20686	1.93224E-6
12.60002	1.20717	1.86052E-6
12.70002	1.20757	1.75077E-6
12.80003	1.20785	1.71761E-6
12.90003	1.20815	1.7182E-6
13.00002	1.20845	1.65377E-6
13.10003	1.20873	1.73605E-6
13.20003	1.20916	1.65276E-6
13.30003	1.20945	1.61583E-6
13.40003	1.2098	1.47283E-6
13.50003	1.21009	1.37583E-6
13.60003	1.21031	1.41208E-6
13.70003	1.21054	1.42225E-6
13.80003	1.21075	1.50122E-6
13.90003	1.21091	1.51312E-6
14.00003	1.2111	1.52655E-6
14.10003	1.2113	1.55496E-6
14.20003	1.2115	1.56342E-6
14.30003	1.21169	1.61346E-6
14.40003	1.21182	1.69985E-6
14.50003	1.21198	1.96099E-6
14.60003	1.21216	2.10474E-6
14.70003	1.21233	2.31362E-6
14.80003	1.21244	2.22309E-6
14.90003	1.21252	2.14881E-6
15.00003	1.21259	1.73796E-6
15.10003	1.21263	1.27068E-6
15.20003	1.21264	5.19014E-7
15.30003	1.21262	4.04285E-7
15.40003	1.21259	7.08149E-7
15.50003	1.21255	1.06251E-6
15.60003	1.2125	1.28913E-6
15.70003	1.21245	9.61933E-7
15.80003	1.21242	8.13115E-7
15.90003	1.21241	6.31216E-7
16.00003	1.21239	5.67946E-7
16.10003	1.21241	6.7031E-7
16.20003	1.21243	7.51878E-7
16.30003	1.21246	8.12118E-7
16.40003	1.2125	7.7777E-7
16.50003	1.21254	8.16115E-7
16.60003	1.21259	7.58368E-7
16.70003	1.21263	7.25474E-7
16.80003	1.21269	6.83432E-7
16.90003	1.21276	7.17321E-7
17.00003	1.21285	8.3514E-7
17.10003	1.21294	8.58328E-7
17.20003	1.21304	1.00379E-6
17.30003	1.21314	8.75819E-7
17.40003	1.21324	9.75194E-7
17.50003	1.21332	8.41209E-7
17.60003	1.2134	8.86926E-7
