Time	E	j
s	V RHE	mA cm-2
10.00002	3.5628	-5.61024E-8
10.10002	3.5628	-5.67615E-8
10.20002	3.5628	-7.36157E-8
10.30002	3.5628	-6.83468E-8
10.40002	3.5628	-7.1686E-8
10.50002	3.5628	-5.13601E-8
10.60002	3.5628	-3.30388E-8
10.70002	3.5628	-9.6617E-9
10.80002	3.5628	1.06809E-8
10.90002	3.5628	3.16235E-8
11.00002	3.5628	3.12259E-8
11.10002	3.5628	1.25675E-8
11.20002	3.5628	2.61108E-8
11.30002	3.5628	3.60551E-8
11.40002	3.5628	8.83301E-8
11.50002	3.5628	7.58085E-8
11.60002	3.5628	1.1409E-7
11.70002	3.5628	9.39557E-8
11.80002	3.5628	1.13014E-7
11.90002	3.5628	7.11846E-8
12.00002	3.5628	7.8112E-8
12.10002	3.5628	7.9151E-8
12.20002	3.5628	1.10262E-7
12.30002	3.5628	1.26709E-7
12.40002	3.5628	1.29896E-7
12.50002	3.5628	1.47907E-7
12.60002	3.5628	1.3207E-7
12.70002	3.5628	1.41507E-7
12.80003	3.5628	1.26707E-7
12.90003	3.5628	1.03741E-7
13.00002	3.5628	1.38203E-7
13.10003	3.5628	1.61853E-7
13.20003	3.5628	1.71757E-7
13.30003	3.5628	1.72327E-7
13.40003	3.5628	1.52981E-7
13.50003	3.5628	1.43046E-7
13.60003	3.5628	1.34668E-7
13.70003	3.5628	1.41526E-7
13.80003	3.5628	1.37745E-7
13.90003	3.5628	1.86242E-7
14.00003	3.5628	1.64939E-7
14.10003	3.5628	2.20191E-7
14.20003	3.5628	1.89835E-7
14.30003	3.5628	1.98748E-7
14.40003	3.5628	1.6477E-7
14.50003	3.5628	1.90448E-7
14.60003	3.5628	1.74611E-7
14.70003	3.5628	1.93267E-7
14.80003	3.5628	1.86571E-7
14.90003	3.5628	1.80516E-7
15.00003	3.5628	2.024E-7
15.10003	3.5628	1.98031E-7
15.20003	3.5628	2.1275E-7
15.30003	3.5628	1.92482E-7
15.40003	3.5628	1.94363E-7
15.50003	3.5628	1.90751E-7
15.60003	3.5628	1.99511E-7
15.70003	3.5628	2.22198E-7
15.80003	3.5628	2.18341E-7
15.90003	3.5628	2.21469E-7
16.00003	3.5628	2.00521E-7
16.10003	3.5628	2.12948E-7
16.20003	3.5628	2.06193E-7
16.30003	3.5628	2.20212E-7
16.40003	3.5628	2.48042E-7
16.50003	3.5628	2.13741E-7
16.60003	3.5628	2.54353E-7
16.70003	3.5628	2.19086E-7
16.80003	3.5628	2.55259E-7
16.90003	3.5628	2.08112E-7
17.00003	3.5628	2.3038E-7
17.10003	3.5628	1.99069E-7
17.20003	3.5628	2.10707E-7
17.30003	3.5628	2.28162E-7
17.40003	3.5628	2.22938E-7
17.50003	3.5628	2.36013E-7
17.60003	3.5628	1.97098E-7
17.70004	3.5628	2.17166E-7
17.80004	3.5628	1.87509E-7
17.90003	3.5628	1.92929E-7
18.00003	3.5628	2.03365E-7
18.10003	3.5628	2.18669E-7
18.20004	3.5628	2.29568E-7
18.30004	3.5628	2.26741E-7
18.40004	3.5628	2.42819E-7
18.50004	3.5628	1.99338E-7
18.60004	3.5628	2.02044E-7
18.70004	3.5628	1.95215E-7
18.80004	3.5628	2.08725E-7
18.90004	3.5628	2.57249E-7
19.00004	3.5628	2.28711E-7
19.10004	3.5628	2.84611E-7
19.20004	3.5628	2.42383E-7
19.30004	3.5628	2.75134E-7
19.40004	3.5628	2.08928E-7
19.50004	3.5628	2.30307E-7
19.60004	3.5628	2.07222E-7
19.70004	3.5628	2.38578E-7
19.80004	3.5628	2.64776E-7
19.90004	3.5628	2.49437E-7
20.00004	3.5628	2.70007E-7
20.10004	3.5628	2.28247E-7
20.20004	3.5628	2.5727E-7
20.30004	3.5628	2.23789E-7
20.40004	3.5628	2.11711E-7
20.50004	3.5628	2.21221E-7
20.60004	3.5628	2.36258E-7
20.70004	3.5628	2.56666E-7
20.80004	3.5628	2.47917E-7
20.90004	3.5628	2.68137E-7
21.00004	3.5628	2.28163E-7
21.10004	3.5628	2.34459E-7
21.20004	3.5628	2.23634E-7
21.30004	3.5628	2.27121E-7
21.40004	3.5628	2.62472E-7
21.50004	3.5628	2.46083E-7
21.60004	3.5628	2.9235E-7
21.70004	3.5628	2.52222E-7
21.80004	3.5628	2.96141E-7
21.90004	3.5628	2.49046E-7
22.00004	3.5628	2.68605E-7
22.10004	3.5628	2.45827E-7
22.20004	3.5628	2.45547E-7
22.30004	3.5628	2.47788E-7
22.40004	3.5628	2.41965E-7
22.50004	3.5628	2.79067E-7
22.60004	3.5628	2.40015E-7
22.70004	3.5628	2.61335E-7
22.80005	3.5628	2.13665E-7
22.90005	3.5628	2.16149E-7
23.00004	3.5628	2.31568E-7
23.10004	3.5628	2.28446E-7
23.20004	3.5628	2.41799E-7
23.30005	3.5628	2.43079E-7
23.40005	3.5628	2.61037E-7
23.50005	3.5628	2.27968E-7
23.60005	3.5628	2.26959E-7
23.70005	3.5628	2.14369E-7
